index,dataset,network_type,depth,branch_factors,split,feedback_family,relative_step,field_scaled_capture_mean,field_scaled_capture_std,field_scaled_capture_count,gradient_scaled_capture_mean,gradient_scaled_capture_std,gradient_scaled_capture_count,gradient_cosine_mean,gradient_cosine_std,gradient_cosine_count,norm_matched_fraction_of_exact_mean,norm_matched_fraction_of_exact_std,norm_matched_fraction_of_exact_count
0,mnist,dendritic_additive,1,2,test,ancestry_available,1e-06,0.3047762101272543,0.030745569084390894,10,0.39080801147232097,0.026534595557586766,10,0.6248282329276866,0.02102139863471669,10,0.6790971728500814,0.11758580940573302,10
1,mnist,dendritic_additive,1,2,test,ancestry_available,1e-05,0.3047762101272543,0.030745569084390894,10,0.39080801147232097,0.026534595557586766,10,0.6248282329276866,0.02102139863471669,10,0.6435427837105729,0.042515356343519,10
2,mnist,dendritic_additive,1,2,test,ancestry_available,0.0001,0.3047762101272543,0.030745569084390894,10,0.39080801147232097,0.026534595557586766,10,0.6248282329276866,0.02102139863471669,10,0.6718928793330867,0.03661070067732864,10
3,mnist,dendritic_additive,1,2,test,ancestry_available,0.001,0.3047762101272543,0.030745569084390894,10,0.39080801147232097,0.026534595557586766,10,0.6248282329276866,0.02102139863471669,10,0.8215033436206415,0.18322025713605128,10
4,mnist,dendritic_additive,1,2,test,ancestry_exact_soma,1e-06,0.304776220725134,0.030745569381664072,10,0.39080803081073545,0.026534592003963603,10,0.6248282365243216,0.02102140816068162,10,0.6790971728500814,0.11758580940573302,10
5,mnist,dendritic_additive,1,2,test,ancestry_exact_soma,1e-05,0.304776220725134,0.030745569381664072,10,0.39080803081073545,0.026534592003963603,10,0.6248282365243216,0.02102140816068162,10,0.6435412415571932,0.04251324325041774,10
6,mnist,dendritic_additive,1,2,test,ancestry_exact_soma,0.0001,0.304776220725134,0.030745569381664072,10,0.39080803081073545,0.026534592003963603,10,0.6248282365243216,0.02102140816068162,10,0.6718928034505954,0.03661044822406025,10
7,mnist,dendritic_additive,1,2,test,ancestry_exact_soma,0.001,0.304776220725134,0.030745569381664072,10,0.39080803081073545,0.026534592003963603,10,0.6248282365243216,0.02102140816068162,10,0.8215031331968159,0.18322097737049017,10
8,mnist,dendritic_additive,1,2,test,exact_transport,1e-06,0.9999999999999944,7.183447068284314e-15,10,0.9999999999999611,8.08085098921899e-15,10,1.0000000096501087,8.64702408240201e-08,10,1.0,0.0,10
9,mnist,dendritic_additive,1,2,test,exact_transport,1e-05,0.9999999999999944,7.183447068284314e-15,10,0.9999999999999611,8.08085098921899e-15,10,1.0000000096501087,8.64702408240201e-08,10,1.0,0.0,10
10,mnist,dendritic_additive,1,2,test,exact_transport,0.0001,0.9999999999999944,7.183447068284314e-15,10,0.9999999999999611,8.08085098921899e-15,10,1.0000000096501087,8.64702408240201e-08,10,1.000000067159529,4.006793614075693e-07,10
11,mnist,dendritic_additive,1,2,test,exact_transport,0.001,0.9999999999999944,7.183447068284314e-15,10,0.9999999999999611,8.08085098921899e-15,10,1.0000000096501087,8.64702408240201e-08,10,1.0000000401646365,1.267998186838609e-07,10
12,mnist,dendritic_additive,1,2,test,global_scalar_available,1e-06,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-1.3503735213609251,4.560197404063175,10
13,mnist,dendritic_additive,1,2,test,global_scalar_available,1e-05,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-0.1008808863857988,0.44311266425693846,10
14,mnist,dendritic_additive,1,2,test,global_scalar_available,0.0001,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-0.04667107101565457,0.0793522552770481,10
15,mnist,dendritic_additive,1,2,test,global_scalar_available,0.001,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,0.010159493246236792,0.1260317799787318,10
16,mnist,dendritic_additive,1,2,test,submitted_mw,1e-06,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-1.3503735213609251,4.560197404063175,10
17,mnist,dendritic_additive,1,2,test,submitted_mw,1e-05,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-0.1008808863857988,0.44311266425693846,10
18,mnist,dendritic_additive,1,2,test,submitted_mw,0.0001,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,-0.04667107101565457,0.0793522552770481,10
19,mnist,dendritic_additive,1,2,test,submitted_mw,0.001,0.00418775606968294,0.00506285271757069,10,0.0034446813397410033,0.003972511904462811,10,0.03194454364317454,0.05189957163201969,10,0.010159493246236792,0.1260317799787318,10
20,mnist,dendritic_additive,2,2x2,test,ancestry_available,1e-06,0.27182714540439673,0.05242797267487906,10,0.3676094204901786,0.10307270716066491,10,0.6017502084700063,0.07821719748403075,10,0.5340589297295606,0.1876254775059418,10
21,mnist,dendritic_additive,2,2x2,test,ancestry_available,1e-05,0.27182714540439673,0.05242797267487906,10,0.3676094204901786,0.10307270716066491,10,0.6017502084700063,0.07821719748403075,10,0.644538496003158,0.12635144895311157,10
22,mnist,dendritic_additive,2,2x2,test,ancestry_available,0.0001,0.27182714540439673,0.05242797267487906,10,0.3676094204901786,0.10307270716066491,10,0.6017502084700063,0.07821719748403075,10,0.6974642839439353,0.09228005786208304,10
23,mnist,dendritic_additive,2,2x2,test,ancestry_available,0.001,0.27182714540439673,0.05242797267487906,10,0.3676094204901786,0.10307270716066491,10,0.6017502084700063,0.07821719748403075,10,-16.97832900267294,33.27071991992864,10
24,mnist,dendritic_additive,2,2x2,test,ancestry_exact_soma,1e-06,0.271827161412625,0.052427943147636324,10,0.36760943908783444,0.10307272267021825,10,0.601750182599609,0.07821717596864247,10,0.5340609194229489,0.18762026275186505,10
25,mnist,dendritic_additive,2,2x2,test,ancestry_exact_soma,1e-05,0.271827161412625,0.052427943147636324,10,0.36760943908783444,0.10307272267021825,10,0.601750182599609,0.07821717596864247,10,0.6445384171023265,0.1263506981023492,10
26,mnist,dendritic_additive,2,2x2,test,ancestry_exact_soma,0.0001,0.271827161412625,0.052427943147636324,10,0.36760943908783444,0.10307272267021825,10,0.601750182599609,0.07821717596864247,10,0.6974641358383188,0.09228015749783261,10
27,mnist,dendritic_additive,2,2x2,test,ancestry_exact_soma,0.001,0.271827161412625,0.052427943147636324,10,0.36760943908783444,0.10307272267021825,10,0.601750182599609,0.07821717596864247,10,-16.978302669389834,33.270660697249376,10
28,mnist,dendritic_additive,2,2x2,test,exact_transport,1e-06,0.9999999999999851,1.76142169137218e-14,10,0.999999999999944,1.1999485757963745e-14,10,0.9999999986973563,8.438802829942767e-08,10,1.0,0.0,10
29,mnist,dendritic_additive,2,2x2,test,exact_transport,1e-05,0.9999999999999851,1.76142169137218e-14,10,0.999999999999944,1.1999485757963745e-14,10,0.9999999986973563,8.438802829942767e-08,10,0.9999998762703937,3.9126736984373505e-07,10
30,mnist,dendritic_additive,2,2x2,test,exact_transport,0.0001,0.9999999999999851,1.76142169137218e-14,10,0.999999999999944,1.1999485757963745e-14,10,0.9999999986973563,8.438802829942767e-08,10,1.0000000670376912,1.1630405677509837e-07,10
