family,task,core,depth,contrast,n_pairs,mean_difference,ci95_low,ci95_high,wins,ties,wilcoxon_p_two_sided
feedback,mnist,dendritic_additive,1,neuron-indexed - scalar,10,0.05110000371932986,0.04804000258445742,0.05446001291275021,10,0,0.001953125
feedback,mnist,dendritic_additive,1,exact - neuron-indexed,10,0.0006400048732757679,-0.00042999386787415713,0.001570004224777255,8,0,0.322265625
local_minus_bp,mnist,dendritic_additive,1,per_soma - backprop,10,-0.05063000321388246,-0.054030250906944285,-0.04736000880599027,0,0,0.001953125
local_minus_bp,mnist,dendritic_additive,1,per_soma_shared - backprop,10,0.0004700005054473988,-0.0005800008773803822,0.0015799999237060224,6,0,0.556640625
local_minus_bp,mnist,dendritic_additive,1,path_transport - backprop,10,0.0011100053787231668,0.0002800045907497528,0.0019700111448765012,7,0,0.064453125
feedback,mnist,dendritic_additive,2,neuron-indexed - scalar,10,0.049180006980895974,0.04586998820304868,0.05296026408672328,10,0,0.001953125
feedback,mnist,dendritic_additive,2,exact - neuron-indexed,10,0.0012600123882293257,0.0005500137805937722,0.0020600140094756193,9,0,0.009765625
local_minus_bp,mnist,dendritic_additive,2,per_soma - backprop,10,-0.049830001592636085,-0.05293999910354612,-0.04700974315404893,0,0,0.001953125
local_minus_bp,mnist,dendritic_additive,2,per_soma_shared - backprop,10,-0.0006499946117401123,-0.0017699898779392556,0.0004300057888031117,4,0,0.4296875
local_minus_bp,mnist,dendritic_additive,2,path_transport - backprop,10,0.0006100177764892134,-0.00041998624801640235,0.0015400111675261674,7,0,0.275390625
feedback,mnist,dendritic_additive,3,neuron-indexed - scalar,10,0.06152999997138979,0.056370007991790816,0.06639999747276304,10,0,0.001953125
feedback,mnist,dendritic_additive,3,exact - neuron-indexed,10,0.0008000075817108266,-6.999373435974121e-05,0.0015100121498108244,8,0,0.126953125
local_minus_bp,mnist,dendritic_additive,3,per_soma - backprop,10,-0.062479996681213436,-0.06730999350547792,-0.057320004701614455,0,0,0.001953125
local_minus_bp,mnist,dendritic_additive,3,per_soma_shared - backprop,10,-0.0009499967098236417,-0.002029985189437966,0.00019000768661495804,4,0,0.16015625
local_minus_bp,mnist,dendritic_additive,3,path_transport - backprop,10,-0.00014998912811281517,-0.0009700000286102298,0.0007600010931491743,3,0,0.82421875
feedback,mnist,dendritic_additive,4,neuron-indexed - scalar,10,0.06315999031066893,0.05878999814391138,0.06774997740983955,10,0,0.001953125
feedback,mnist,dendritic_additive,4,exact - neuron-indexed,10,0.0011299908161163219,2.9987096786499025e-05,0.0021699966490268587,8,0,0.10546875
local_minus_bp,mnist,dendritic_additive,4,per_soma - backprop,10,-0.06459998488426212,-0.06909998655319215,-0.06008999332785611,0,0,0.001953125
local_minus_bp,mnist,dendritic_additive,4,per_soma_shared - backprop,10,-0.001439994573593184,-0.002309995889663785,-0.00060000419616698,1,1,0.01171875
local_minus_bp,mnist,dendritic_additive,4,path_transport - backprop,10,-0.00031000375747686215,-0.00087000131607059,0.00028998866677281885,4,0,0.431640625
feedback,mnist,dendritic_shunting,1,neuron-indexed - scalar,10,0.06988999843597414,0.06514001473784448,0.07461999058723452,10,0,0.001953125
feedback,mnist,dendritic_shunting,1,exact - neuron-indexed,10,-0.0002399861812592108,-0.001329982280731268,0.001240020990371671,3,0,0.322265625
local_minus_bp,mnist,dendritic_shunting,1,per_soma - backprop,10,-0.0703900158405304,-0.07560000434517856,-0.06519002899527553,0,0,0.001953125
local_minus_bp,mnist,dendritic_shunting,1,per_soma_shared - backprop,10,-0.0005000174045562522,-0.002000010162592008,0.0009099842607975766,5,0,0.6953125
local_minus_bp,mnist,dendritic_shunting,1,path_transport - backprop,10,-0.000740003585815463,-0.001730013042688435,0.0002499939501285861,5,0,0.275390625
feedback,mnist,dendritic_shunting,2,neuron-indexed - scalar,10,0.06814998984336855,0.06254999622702608,0.07381025478243827,10,0,0.001953125
feedback,mnist,dendritic_shunting,2,exact - neuron-indexed,10,-0.00015999674797055884,-0.0012600183486938255,0.00078001022338865,6,0,0.76953125
local_minus_bp,mnist,dendritic_shunting,2,per_soma - backprop,10,-0.06828999519348145,-0.0740002566576004,-0.06292999371886253,0,0,0.001953125
local_minus_bp,mnist,dendritic_shunting,2,per_soma_shared - backprop,10,-0.00014000535011289285,-0.001050007343292214,0.0008299829065800133,5,0,0.67578125
local_minus_bp,mnist,dendritic_shunting,2,path_transport - backprop,10,-0.0003000020980834517,-0.000850009918212813,0.00030999779701237353,2,1,0.27734375
feedback,mnist,dendritic_shunting,3,neuron-indexed - scalar,10,0.06528000235557553,0.060860013961791956,0.07003024756908412,10,0,0.001953125
feedback,mnist,dendritic_shunting,3,exact - neuron-indexed,10,-0.00015999674797056995,-0.0010300159454345599,0.0006500124931335454,6,0,0.921875
local_minus_bp,mnist,dendritic_shunting,3,per_soma - backprop,10,-0.06491000056266784,-0.06932000517845147,-0.06073000431060791,0,0,0.001953125
local_minus_bp,mnist,dendritic_shunting,3,per_soma_shared - backprop,10,0.00037000179290769264,-0.0005099952220916859,0.00121000424027445,6,0,0.556640625
local_minus_bp,mnist,dendritic_shunting,3,path_transport - backprop,10,0.0002100050449371227,-0.0005699992179870719,0.0009600163996219626,6,0,0.556640625
feedback,mnist,dendritic_shunting,4,neuron-indexed - scalar,10,0.06985000371932984,0.06568000316619872,0.07394000306725505,10,0,0.001953125
feedback,mnist,dendritic_shunting,4,exact - neuron-indexed,10,6.999969482419654e-05,-0.000499999523162831,0.0006399929523467351,5,1,0.84375
local_minus_bp,mnist,dendritic_shunting,4,per_soma - backprop,10,-0.06975999474525453,-0.07434999942779541,-0.06530999526381494,0,0,0.001953125
local_minus_bp,mnist,dendritic_shunting,4,per_soma_shared - backprop,10,9.000897407531738e-05,-0.0006099879741668926,0.0008002628386020637,5,0,0.921875
local_minus_bp,mnist,dendritic_shunting,4,path_transport - backprop,10,0.00016000866889951393,-0.00041999220848089075,0.0006899952888488553,6,0,0.6953125
core,mnist,shunting - additive,1,shunting - additive (per_soma),10,-0.01592999696731564,-0.0232099951803684,-0.008659982532262746,2,0,0.009765625
core,mnist,shunting - additive,1,shunting - additive (per_soma_shared),10,0.0028599977493286464,0.0016100049018859864,0.003940004110336371,9,0,0.005859375
core,mnist,shunting - additive,1,shunting - additive (path_transport),10,0.0019800066947936678,0.0006400108337402105,0.0034300029277801293,8,0,0.02734375
feedback_conditioning,mnist,shunting - additive,1,(shunting - additive) scalar - exact,10,-0.01791000366210931,-0.02583001285791386,-0.00998000487685198,1,0,0.005859375
core,mnist,shunting - additive,2,shunting - additive (per_soma),10,-0.017589986324310358,-0.02354998007416724,-0.012079722583294091,0,0,0.001953125
core,mnist,shunting - additive,2,shunting - additive (per_soma_shared),10,0.0013799965381622204,0.00019000172615053464,0.0026499986648559236,7,0,0.130859375
