seed,family,structure,optimizer,rate,rule,step,test_nmse,population_nmse,variance,gradient_cosine,field_relative_squared_error,gradient_clipped_steps,parameter_projected_steps,parameter_norm,max_abs_parameter,centered_cut_bound,parameters,edges,depth,elapsed_seconds
127212,matching,compatible,sgd,0.003,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037151659023948014
127212,matching,compatible,sgd,0.003,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03717292798683047
127212,matching,compatible,sgd,0.003,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03718746802769601
127212,matching,compatible,sgd,0.003,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037199976039119065
127212,matching,compatible,sgd,0.003,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037212071008980274
127212,matching,compatible,sgd,0.01,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03722371195908636
127212,matching,compatible,sgd,0.01,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03723509795963764
127212,matching,compatible,sgd,0.01,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037246107938699424
127212,matching,compatible,sgd,0.01,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03725700895301998
127212,matching,compatible,sgd,0.01,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037268516956828535
127212,matching,compatible,sgd,0.03,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03727992495987564
127212,matching,compatible,sgd,0.03,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037290868000127375
127212,matching,compatible,sgd,0.03,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037307298043742776
127212,matching,compatible,sgd,0.03,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.0373181359609589
127212,matching,compatible,sgd,0.03,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03733518999069929
127212,matching,compatible,adam,0.003,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03734667703974992
127212,matching,compatible,adam,0.003,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03735749004408717
127212,matching,compatible,adam,0.003,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03736872202716768
127212,matching,compatible,adam,0.003,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037379579967819154
127212,matching,compatible,adam,0.003,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037390436977148056
127212,matching,compatible,adam,0.01,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037401173962280154
127212,matching,compatible,adam,0.01,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.037411776022054255
127212,matching,compatible,adam,0.01,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03742253698874265
127212,matching,compatible,adam,0.01,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03743320005014539
127212,matching,compatible,adam,0.01,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03744373994413763
127212,matching,compatible,adam,0.03,exact,0,1.4486263749907555,1.385434046057432,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03745444503147155
127212,matching,compatible,adam,0.03,broadcast,0,1.4486263749907555,1.385434046057432,1.0,-0.3800626892885772,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03746499598491937
127212,matching,compatible,adam,0.03,global_projection,0,1.4486263749907555,1.385434046057432,1.0,0.7331970991274769,0.356161495703318,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03747571201529354
127212,matching,compatible,adam,0.03,subtree_projection,0,1.4486263749907555,1.385434046057432,1.0,0.8179728731770526,0.24113191347528043,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03748643002472818
127212,matching,compatible,adam,0.03,shuffled_projection,0,1.4486263749907555,1.385434046057432,1.0,0.840825369266008,0.3125504360182879,0,0,2.611165469045136,1.0196095527683384,0.0,28,14,3,0.03749704593792558
127212,matching,assignment_shuffled,sgd,0.003,exact,0,1.4513495887642844,1.4222150992890874,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.037510399939492345
127212,matching,assignment_shuffled,sgd,0.003,broadcast,0,1.4513495887642844,1.4222150992890874,1.0,-0.32336539462233904,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03752148197963834
127212,matching,assignment_shuffled,sgd,0.003,global_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7552854611669226,0.35616149570331807,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.037531971000134945
127212,matching,assignment_shuffled,sgd,0.003,subtree_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.8421012871433817,0.24113191347528037,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03754295001272112
127212,matching,assignment_shuffled,sgd,0.003,shuffled_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7989429948028616,0.31255043601828797,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03755369794089347
127212,matching,assignment_shuffled,sgd,0.01,exact,0,1.4513495887642844,1.4222150992890874,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.0375642329454422
127212,matching,assignment_shuffled,sgd,0.01,broadcast,0,1.4513495887642844,1.4222150992890874,1.0,-0.32336539462233904,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03757490694988519
127212,matching,assignment_shuffled,sgd,0.01,global_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7552854611669226,0.35616149570331807,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.037585687008686364
127212,matching,assignment_shuffled,sgd,0.01,subtree_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.8421012871433817,0.24113191347528037,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.037596695008687675
127212,matching,assignment_shuffled,sgd,0.01,shuffled_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7989429948028616,0.31255043601828797,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03760751895606518
127212,matching,assignment_shuffled,sgd,0.03,exact,0,1.4513495887642844,1.4222150992890874,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03761851997114718
127212,matching,assignment_shuffled,sgd,0.03,broadcast,0,1.4513495887642844,1.4222150992890874,1.0,-0.32336539462233904,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03762931900564581
127212,matching,assignment_shuffled,sgd,0.03,global_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7552854611669226,0.35616149570331807,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.0376398500520736
127212,matching,assignment_shuffled,sgd,0.03,subtree_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.8421012871433817,0.24113191347528037,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.037650414975360036
127212,matching,assignment_shuffled,sgd,0.03,shuffled_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7989429948028616,0.31255043601828797,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.0376608349615708
127212,matching,assignment_shuffled,adam,0.003,exact,0,1.4513495887642844,1.4222150992890874,1.0,1.0,0.0,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03767139895353466
127212,matching,assignment_shuffled,adam,0.003,broadcast,0,1.4513495887642844,1.4222150992890874,1.0,-0.32336539462233904,4.622087623737687,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03768195793963969
127212,matching,assignment_shuffled,adam,0.003,global_projection,0,1.4513495887642844,1.4222150992890874,1.0,0.7552854611669226,0.35616149570331807,0,0,2.611165469045136,1.0196095527683384,0.25,28,14,3,0.03769242996349931
