panel,source,series,label,regime,architecture,mechanism,credit,depth,n_seeds,mean,ci_low,ci_high,contrast,mean_pp,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,alignment_alpha,estimand,n_pairs,arm,metric,epoch,ci95_low,ci95_high,budget,recipe,positive_seeds,negative_seeds,seed,epochs_run,best_validation_loss
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_bp,exact BP,aligned,serial_tree,shunting,full_bp,1.0,10.0,0.5962499856948853,0.5937199890613556,0.5998599827289581,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_bp,exact BP,aligned,serial_tree,shunting,full_bp,2.0,10.0,0.7111899793148041,0.708249980211258,0.7144699811935424,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_bp,exact BP,aligned,serial_tree,shunting,full_bp,3.0,10.0,0.867089968919754,0.8589799642562866,0.8743399679660797,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_bp,exact BP,aligned,serial_tree,shunting,full_bp,4.0,10.0,0.8525099813938141,0.8459399759769439,0.8582899868488312,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_path,exact path,aligned,serial_tree,shunting,local_path,1.0,10.0,0.5966299831867218,0.5943999767303467,0.5995999872684479,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_path,exact path,aligned,serial_tree,shunting,local_path,2.0,10.0,0.6764399886131287,0.6734499871730805,0.6796499907970428,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_path,exact path,aligned,serial_tree,shunting,local_path,3.0,10.0,0.7586899816989898,0.7487799823284149,0.7695299804210662,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,exact_path,exact path,aligned,serial_tree,shunting,local_path,4.0,10.0,0.7647099733352661,0.7567299722135067,0.7736199796199799,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,shared_soma,shared soma,aligned,serial_tree,shunting,local_shared,1.0,10.0,0.5967599868774414,0.5944197303056717,0.6000599920749664,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,shared_soma,shared soma,aligned,serial_tree,shunting,local_shared,2.0,10.0,0.6300199866294861,0.6274899840354919,0.6324299871921539,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,shared_soma,shared soma,aligned,serial_tree,shunting,local_shared,3.0,10.0,0.6609599828720093,0.6579399824142456,0.6639399826526642,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,shared_soma,shared soma,aligned,serial_tree,shunting,local_shared,4.0,10.0,0.7136599779129028,0.7072497139871121,0.7199299696087837,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,grouped_point,grouped point,aligned,grouped_point,shunting,full_bp,1.0,10.0,0.5962499797344207,0.593729990720749,0.5998599709570408,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,grouped_point,grouped point,aligned,grouped_point,shunting,full_bp,2.0,10.0,0.5963799893856049,0.5940799951553345,0.5997399866580964,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,grouped_point,grouped point,aligned,grouped_point,shunting,full_bp,3.0,10.0,0.5961799919605255,0.5938999950885773,0.5996099889278412,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,grouped_point,grouped point,aligned,grouped_point,shunting,full_bp,4.0,10.0,0.596479994058609,0.5940100014209747,0.5999300004541873,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,raw_additive,raw additive,aligned,serial_tree,raw_additive,full_bp,1.0,10.0,0.5564399838447571,0.5326297403872013,0.5780499935150146,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,raw_additive,raw additive,aligned,serial_tree,raw_additive,full_bp,2.0,10.0,0.5357799828052521,0.5255599854886532,0.5480299830436707,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,raw_additive,raw additive,aligned,serial_tree,raw_additive,full_bp,3.0,10.0,0.5339299857616424,0.5225399911403656,0.5446999730169773,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,raw_additive,raw additive,aligned,serial_tree,raw_additive,full_bp,4.0,10.0,0.5283799886703491,0.513619989156723,0.544289976656437,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,reversed,reversed,rewired_tree,serial_tree,shunting,full_bp,1.0,10.0,0.5980599820613861,0.5954099893569946,0.6011299729347229,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,reversed,reversed,rewired_tree,serial_tree,shunting,full_bp,2.0,10.0,0.5971699774265289,0.5945399761199951,0.6005599856376648,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,reversed,reversed,rewired_tree,serial_tree,shunting,full_bp,3.0,10.0,0.6059399902820587,0.6030799925327301,0.6095199884474277,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/condition_summary.csv,reversed,reversed,rewired_tree,serial_tree,shunting,full_bp,4.0,10.0,0.5949699819087982,0.5921299755573273,0.5983899772167206,,,,,,,,,,,,,,,,,,,,,
C,source_data/physical_depth_h4_factorial/paired_contrasts.csv,,,,,,,,10.0,,,,depth__serial_bp__aligned__d4_d3,-1.4579987525939941,-1.7429983615875242,-1.1649978160858154,0.0,10.0,,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,1.0,10.0,0.5793699860499999,0.5755199967215,0.5834399878800001,,,,,,,0.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,2.0,10.0,0.5795499861200001,0.5760597295962501,0.58346998691,,,,,,,0.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,3.0,10.0,0.57955998184,0.5761699795899999,0.5833799839199999,,,,,,,0.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,1.0,10.0,0.5822699964046478,0.5787199854850769,0.5860099971294404,,,,,,,0.25,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,2.0,10.0,0.5834399938583374,0.5797699987888336,0.5871499896049499,,,,,,,0.25,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,3.0,10.0,0.5843399822711944,0.5812899827957153,0.5875799894332886,,,,,,,0.25,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,1.0,10.0,0.5860499858856201,0.5820899844169617,0.5902699768543244,,,,,,,0.5,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,2.0,10.0,0.5930599808692932,0.5900799810886384,0.5962399780750275,,,,,,,0.5,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,3.0,10.0,0.5942499876022339,0.5915097242593765,0.5970699787139893,,,,,,,0.5,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,1.0,10.0,0.5941799879074097,0.5906399844586849,0.5978299798071384,,,,,,,0.75,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,2.0,10.0,0.6122899770736694,0.6093899786472321,0.6151899695396423,,,,,,,0.75,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,3.0,10.0,0.625439989566803,0.6231999933719635,0.6275599896907806,,,,,,,0.75,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,1.0,10.0,0.6096299767599999,0.6069299757600002,0.61217997671,,,,,,,1.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,2.0,10.0,0.6752199828700001,0.67226998211,0.6781399905899999,,,,,,,1.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/condition_summary.csv,,,,,,,3.0,10.0,0.91817997694,0.9143599748600002,0.9223199725200001,,,,,,,1.0,,,,,,,,,,,,,,
D,source_data/physical_alignment_dose/paired_contrasts.csv,,,,,,,,,,,,,0.01899957899999971,-0.16600012500000094,0.18099904202499964,6.0,,0.0,depth_effect_alpha_0.00,10.0,,,,,,,,,,,,
D,source_data/physical_alignment_dose/paired_contrasts.csv,,,,,,,,,,,,,0.20699858665466309,0.007998943328857422,0.35899877548217773,8.0,,0.25,depth_effect_alpha_0.25,10.0,,,,,,,,,,,,
D,source_data/physical_alignment_dose/paired_contrasts.csv,,,,,,,,,,,,,0.8200001716613771,0.5680012553930283,1.0749995708465576,10.0,,0.5,depth_effect_alpha_0.50,10.0,,,,,,,,,,,,
D,source_data/physical_alignment_dose/paired_contrasts.csv,,,,,,,,,,,,,3.1260001659393315,2.86099910736084,3.3939993381500244,10.0,,0.75,depth_effect_alpha_0.75,10.0,,,,,,,,,,,,
D,source_data/physical_alignment_dose/paired_contrasts.csv,,,,,,,,,,,,,30.855000018000002,30.445000513125,31.305000183999994,10.0,,1.0,depth_effect_alpha_1.00,10.0,,,,,,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5088299989700318,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,1.0,0.5,0.5234899997711182,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5098100006580353,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,2.0,0.5023699998855591,0.5179199993610382,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5424900054931641,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,3.0,0.5232592593133449,0.5612902517616749,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5509599983692169,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,4.0,0.5330792497098447,0.5681202526390553,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5710399925708771,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,5.0,0.5557497325539589,0.5844802492856979,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5738399922847748,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,6.0,0.5651599942147733,0.581339985281229,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5781499922275544,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,7.0,0.5658499954640867,0.5876499894261361,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5801299929618835,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,8.0,0.5689087349176406,0.5899800002574921,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5881999850273132,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,9.0,0.5824899850785733,0.5937199951708316,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5920799851417542,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,10.0,0.5891599833965302,0.5950599849224091,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5919699907302857,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,11.0,0.5893199801445008,0.5949299931526184,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5922599971294403,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,12.0,0.5883099912106992,0.596729993969202,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5933299899101258,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,13.0,0.589469987154007,0.5979504875838756,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5942999958992005,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,14.0,0.5915599940717221,0.597159993648529,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.595169997215271,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,15.0,0.5925700008869171,0.5978702598810196,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.594980001449585,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,16.0,0.5922599971294403,0.5980202551186085,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5943099915981293,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,17.0,0.5914797489345073,0.5974502322077752,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5938699960708618,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,18.0,0.5907500088214874,0.5975299896299839,,,,,,,
E,source_data/physical_depth_followup/condition_trajectory_summary.csv,,,,,,,1.0,10.0,0.5957999944686889,,,,,,,,,,,,exact_autograd_bp_recipe,test_accuracy,19.0,0.592489987462759,0.5996500015258789,,,,,,,
