candidate_id,shape,restart,fit_seed,validation_mse,test_nmse,noisy_test_mse,exact_population_nmse,status,fit_seconds,training_curve,dead_coordinate_blocks,minimum_coordinate_rank,final_parameter_norm,maximum_parameter_norm,selected_by_validation,seed,family,family_index,oracle_cut_candidate,parameters,edges
balanced_p0,balanced,0,72091200,0.41217981895257205,0.31055492422941144,0.40534464436471807,0.30682372448740114,completed,0.11881083191838115,"{""0"": 1.3386809240143838, ""2"": 0.3404172146710551, ""8"": 0.32645769639647987, ""32"": 0.3264576963611499}",0,4,2.6055858465977906,5.265537525937014,True,720912,matching,0,mixed_p0,28,14
balanced_p0,balanced,1,72091201,0.4121798189525721,0.3105549242294115,0.40534464436471807,0.30682372448740114,completed,0.11688308999873698,"{""0"": 1.020851948485247, ""2"": 0.32688940600147015, ""8"": 0.32645769636198957, ""32"": 0.3264576963611499}",0,4,2.605585846597791,9.250232925135318,False,720912,matching,0,mixed_p0,28,14
balanced_p1,balanced,0,72091200,0.6924103379163901,0.6064369319013031,0.6936422300044156,0.600631116983769,completed,0.11650482704862952,"{""0"": 1.2218832297620998, ""2"": 0.6418315723187308, ""8"": 0.60417628593651, ""32"": 0.6041762701510751}",0,4,2.546906653410774,3.451475459617423,True,720912,matching,0,mixed_p0,28,14
balanced_p1,balanced,1,72091201,0.6924103379163901,0.6064369319013031,0.6936422300044156,0.600631116983769,completed,0.10982580599375069,"{""0"": 1.0060817381316705, ""2"": 0.6481569737420259, ""8"": 0.6041769985269609, ""32"": 0.6041762701510751}",0,4,2.5469066534107743,10.078090241032863,False,720912,matching,0,mixed_p0,28,14
balanced_p2,balanced,0,72091200,0.5096972327641373,0.4253779244347523,0.5116278881791378,0.4314054724736872,completed,0.10988604999147356,"{""0"": 1.3170992193655833, ""2"": 0.8454407223042756, ""8"": 0.45210122128604446, ""32"": 0.4521012186251126}",0,4,2.5706662377199385,10.040319773938144,True,720912,matching,0,mixed_p0,28,14
balanced_p2,balanced,1,72091201,0.5096972327641374,0.4253779244347523,0.5116278881791378,0.43140547247368727,completed,0.11293341300915927,"{""0"": 1.0268185974943305, ""2"": 0.4526075212802255, ""8"": 0.4521012186474529, ""32"": 0.4521012186251126}",0,4,2.5706662377199385,8.10710528558369,False,720912,matching,0,mixed_p0,28,14
balanced_p3,balanced,0,72091200,0.8527289229850614,0.7719129569350935,0.8525728322563841,0.7750135038964185,completed,0.1178977700183168,"{""0"": 1.1846093042027601, ""2"": 0.8653646334069437, ""8"": 0.7483454068210742, ""32"": 0.7464340671080838}",0,4,2.505571077313985,2.656562281743818,False,720912,matching,0,mixed_p0,28,14
balanced_p3,balanced,1,72091201,0.41093973724412614,0.30865029105155894,0.40269596140328606,0.30562951752858986,completed,0.11887226696126163,"{""0"": 1.0156809568016787, ""2"": 0.32796542678192736, ""8"": 0.3270271272678675, ""32"": 0.3270271272677982}",0,4,2.602960616390385,10.251106134267708,True,720912,matching,0,mixed_p0,28,14
comb_p0,comb,0,72091200,0.7566892741852362,0.6808669878940727,0.7675331058739998,0.6741509140422941,completed,0.11710944399237633,"{""0"": 1.4160229802394364, ""2"": 0.7464301441829692, ""8"": 0.6672120380558605, ""32"": 0.6671766929756243}",0,4,2.532675737447329,5.261462924160608,False,720912,matching,0,mixed_p0,28,14
comb_p0,comb,1,72091201,0.718729090415482,0.6632272774201486,0.7532926403846758,0.6489682778914161,completed,0.11451948503963649,"{""0"": 1.2786849582678617, ""2"": 0.7138067371406999, ""8"": 0.6534448474623031, ""32"": 0.6506137058145774}",0,4,2.5281477930606155,722.1826441569929,True,720912,matching,0,mixed_p0,28,14
comb_p1,comb,0,72091200,0.7599084078900245,0.6664543528248792,0.7527093804406734,0.6686879876719807,completed,0.11235440301243216,"{""0"": 1.5654414447326672, ""2"": 0.6727209616083584, ""8"": 0.6715654604444631, ""32"": 0.671565416886646}",0,4,2.5130618486630802,11.443909126411704,False,720912,matching,0,mixed_p0,28,14
comb_p1,comb,1,72091201,0.7599084078369959,0.6664543528324116,0.752709380443431,0.6686879876581107,completed,0.11109266302082688,"{""0"": 1.2917997451633916, ""2"": 0.851158034295842, ""8"": 0.6716482508665502, ""32"": 0.6715654168866458}",0,4,2.513061848688095,343.73881465136776,True,720912,matching,0,mixed_p0,28,14
comb_p2,comb,0,72091200,0.7201008625103036,0.6632102862078136,0.7522565778843684,0.6509590027349149,completed,0.11156706104520708,"{""0"": 1.5108461206186146, ""2"": 0.6512940953474424, ""8"": 0.6506516745567855, ""32"": 0.6506516745475087}",0,4,2.5304023993086866,12.641752719639163,True,720912,matching,0,mixed_p0,28,14
comb_p2,comb,1,72091201,0.7201008625103036,0.6632102862078137,0.7522565778843684,0.6509590027349149,completed,0.11247547704260796,"{""0"": 1.2607640261421442, ""2"": 0.8393559047434316, ""8"": 0.6508401760768617, ""32"": 0.6506516745475088}",0,4,2.530402399308687,652.4435942047946,False,720912,matching,0,mixed_p0,28,14
comb_p3,comb,0,72091200,0.7418655635349801,0.6400160156108315,0.725013761756854,0.6537132316183205,completed,0.11441494594328105,"{""0"": 1.4364678409635978, ""2"": 0.6836325474878214, ""8"": 0.6314534935024599, ""32"": 0.6266545143961898}",0,4,2.529199935411308,11.665204071834152,True,720912,matching,0,mixed_p0,28,14
comb_p3,comb,1,72091201,0.7447927238940699,0.6406227706811256,0.7254338310858295,0.6553653900321676,completed,0.11152620194479823,"{""0"": 1.2787076801675001, ""2"": 0.72103966083364, ""8"": 0.6798633199296563, ""32"": 0.6271096975511887}",0,4,2.5294211888072744,415.3623447898987,False,720912,matching,0,mixed_p0,28,14
mixed_p0,mixed,0,72091200,0.41065927644720923,0.30656222673934325,0.4010156918570672,0.30347170090592956,completed,0.11200637405272573,"{""0"": 1.1821862192695471, ""2"": 0.5629549218922538, ""8"": 0.32877609806558206, ""32"": 0.32876779438440734}",0,4,2.6024359770725773,5.78637924253077,True,720912,matching,0,mixed_p0,28,14
mixed_p0,mixed,1,72091201,0.4106592764472158,0.3065622267393401,0.40101569185706315,0.3034717009059198,completed,0.11028102703858167,"{""0"": 0.9607660088466144, ""2"": 0.38966094075670993, ""8"": 0.3287685105340378, ""32"": 0.3287677943844073}",0,4,2.602435977072575,2.9258848903922514,False,720912,matching,0,mixed_p0,28,14
mixed_p1,mixed,0,72091200,0.7301783158349875,0.6673665060740367,0.7561138405204852,0.6595096046332868,completed,0.11150489503052086,"{""0"": 1.158931865515548, ""2"": 0.7803871924834006, ""8"": 0.6450150197399882, ""32"": 0.6439873220910525}",0,4,2.5337723865026067,2.7527687381987045,True,720912,matching,0,mixed_p0,28,14
mixed_p1,mixed,1,72091201,0.741976046206255,0.6621646950966183,0.7521327235055122,0.6580383315736329,completed,0.11417160194832832,"{""0"": 1.070901173875369, ""2"": 0.9353115501036696, ""8"": 0.6518226609144224, ""32"": 0.6396433301969665}",0,4,2.5317661904081676,4.21235979992736,False,720912,matching,0,mixed_p0,28,14
mixed_p2,mixed,0,72091200,0.7403766449068022,0.6637522070776889,0.7517561657603954,0.6628973636244775,completed,0.11165973800234497,"{""0"": 1.1958264858079697, ""2"": 0.8575548806543193, ""8"": 0.6509966433790192, ""32"": 0.6370766482999105}",0,4,2.5306023331686283,3.175055020814405,False,720912,matching,0,mixed_p0,28,14
mixed_p2,mixed,1,72091201,0.7403372511148316,0.6637330799009444,0.7517374121932037,0.662870314151031,completed,0.11359222105238587,"{""0"": 1.0822853540291248, ""2"": 0.7009466125356806, ""8"": 0.6392912932540028, ""32"": 0.6370766304939455}",0,4,2.5306130639687683,3.0227443529214404,True,720912,matching,0,mixed_p0,28,14
mixed_p3,mixed,0,72091200,0.7394742149849991,0.6466837391935588,0.7293365975216446,0.655106766711212,completed,0.11169875401537865,"{""0"": 1.2470842861163343, ""2"": 0.6680164589456012, ""8"": 0.6305988260327097, ""32"": 0.6205455240459418}",0,4,2.5237596614148674,4.691181693422292,True,720912,matching,0,mixed_p0,28,14
mixed_p3,mixed,1,72091201,0.7395253635028333,0.6466603368185263,0.7293146478044107,0.6551079830177239,completed,0.12022166093811393,"{""0"": 1.038001730361109, ""2"": 0.6696436309233812, ""8"": 0.6407572885150726, ""32"": 0.6205458347759637}",0,4,2.523761437511884,10.340788651315616,False,720912,matching,0,mixed_p0,28,14
balanced_p0,balanced,0,72091210,0.5844544962142608,0.4777867923212097,0.5581652405401691,0.4773123220069299,completed,0.1207634590100497,"{""0"": 1.0775600371686085, ""2"": 0.9817879820477342, ""8"": 0.5139656797687656, ""32"": 0.5136439071672471}",0,4,2.554241809171526,3.3729046731235726,True,720912,quartet,1,mixed_p2,28,14
balanced_p0,balanced,1,72091211,0.5844544962142608,0.4777867923212097,0.5581652405401691,0.4773123220069299,completed,0.12087456998415291,"{""0"": 1.5021536784641891, ""2"": 0.9879508315752017, ""8"": 0.513651864645707, ""32"": 0.5136439071672471}",0,4,2.554241809171526,4.212530286426663,False,720912,quartet,1,mixed_p2,28,14
balanced_p1,balanced,0,72091210,0.6255011270809024,0.5329662381120892,0.6130248692997488,0.5348672913941888,completed,0.1201836810214445,"{""0"": 1.100516681577157, ""2"": 0.5949208536206526, ""8"": 0.5790081432418069, ""32"": 0.5790081431891462}",0,4,2.541094255628912,4.6486715933099605,False,720912,quartet,1,mixed_p2,28,14
balanced_p1,balanced,1,72091211,0.586172683669972,0.4792936707274913,0.5585626919972906,0.47838171893510306,completed,0.11975926603190601,"{""0"": 1.5424876669584209, ""2"": 0.9903740140772285, ""8"": 0.5128520210086382, ""32"": 0.512850569603373}",0,4,2.5542280772527644,3.1929183096095994,True,720912,quartet,1,mixed_p2,28,14
