seed,family,family_index,calibration_rows,calibration_noise_sd,alpha_scale,candidate_id,estimated_max_tail,estimated_sum_tail,pilot_gate_mse,pilot_status
720913,matching,0,64,0.0,0.15,balanced_p0,0.46066990972956845,1.3409023340733655,1.096461465953418,completed
720913,matching,0,64,0.0,0.15,balanced_p1,0.2262684555866111,0.9047006015816104,1.016241307345242,completed
720913,matching,0,64,0.0,0.15,balanced_p2,0.46066990972956856,1.2139736924096625,0.3503403675444685,completed
720913,matching,0,64,0.0,0.15,balanced_p3,0.30076687150687187,0.7866514000039219,1.5424357696891344,completed
720913,matching,0,64,0.0,0.15,comb_p0,0.4932276820426354,1.6326161515698514,3.9101873931260736,completed
720913,matching,0,64,0.0,0.15,comb_p1,0.30076687150687187,1.246245050920081,1.4604858512169534,completed
720913,matching,0,64,0.0,0.15,comb_p2,0.46066990972956856,1.448331743071527,0.7983592846293728,completed
720913,matching,0,64,0.0,0.15,comb_p3,0.4606265062484757,1.6303029714710426,1.041245181163773,completed
720913,matching,0,64,0.0,0.15,mixed_p0,0.2677924749478781,1.2147201339393308,1.1932857178579153,completed
720913,matching,0,64,0.0,0.15,mixed_p1,0.22589523482177706,0.7122397910458468,1.6791569498076586,completed
720913,matching,0,64,0.0,0.15,mixed_p2,0.2677924749478781,0.9889117060797393,1.411307311510721,completed
720913,matching,0,64,0.0,0.15,mixed_p3,0.30076687150687187,0.8286354470922087,0.8149621344171503,completed
720913,matching,0,64,0.0,0.35,balanced_p0,0.3666760734324932,1.0398354993879462,1.096461465953418,completed
720913,matching,0,64,0.0,0.35,balanced_p1,0.15436089942970485,0.6152772643232111,1.016241307345242,completed
720913,matching,0,64,0.0,0.35,balanced_p2,0.3666760734324932,0.889951492631141,0.3503403675444685,completed
720913,matching,0,64,0.0,0.35,balanced_p3,0.2145536203392381,0.5254417525942562,1.5424357696891344,completed
720913,matching,0,64,0.0,0.35,comb_p0,0.36443762709604344,1.1940521729359683,3.9101873931260736,completed
720913,matching,0,64,0.0,0.35,comb_p1,0.2145536203392381,0.8856909387807657,1.4604858512169534,completed
720913,matching,0,64,0.0,0.35,comb_p2,0.3666760734324932,1.102194553693088,0.7983592846293728,completed
720913,matching,0,64,0.0,0.35,comb_p3,0.3666039604916518,1.2225799955121543,1.041245181163773,completed
720913,matching,0,64,0.0,0.35,mixed_p0,0.2145536203392381,0.8942841594223577,1.1932857178579153,completed
720913,matching,0,64,0.0,0.35,mixed_p1,0.15428878648886346,0.4653932575664057,1.6791569498076586,completed
720913,matching,0,64,0.0,0.35,mixed_p2,0.2145536203392381,0.742233819269944,1.411307311510721,completed
720913,matching,0,64,0.0,0.35,mixed_p3,0.2145536203392381,0.5879450327810806,0.8149621344171503,completed
720913,matching,0,64,0.0,0.65,balanced_p0,0.15192675712618017,0.4345746576935764,1.096461465953418,completed
720913,matching,0,64,0.0,0.65,balanced_p1,0.06536057172060805,0.2614422868824322,1.016241307345242,completed
720913,matching,0,64,0.0,0.65,balanced_p2,0.15192675712618017,0.3692140859729684,0.3503403675444685,completed
720913,matching,0,64,0.0,0.65,balanced_p3,0.08656618540557211,0.2172873288467882,1.5424357696891344,completed
720913,matching,0,64,0.0,0.65,comb_p0,0.15192675712618017,0.4999352294141845,3.9101873931260736,completed
720913,matching,0,64,0.0,0.65,comb_p1,0.08656618540557211,0.3692140859729684,1.4604858512169534,completed
720913,matching,0,64,0.0,0.65,comb_p2,0.15192675712618017,0.45578027137854055,0.7983592846293728,completed
720913,matching,0,64,0.0,0.65,comb_p3,0.15192675712618017,0.4981914987484686,1.041245181163773,completed
720913,matching,0,64,0.0,0.65,mixed_p0,0.08656618540557211,0.3692140859729684,1.1932857178579153,completed
720913,matching,0,64,0.0,0.65,mixed_p1,0.06536057172060805,0.19608171516182415,1.6791569498076586,completed
720913,matching,0,64,0.0,0.65,mixed_p2,0.08656618540557211,0.30385351425236035,1.411307311510721,completed
720913,matching,0,64,0.0,0.65,mixed_p3,0.08656618540557211,0.23849294253175227,0.8149621344171503,completed
720913,matching,0,64,0.5,0.15,balanced_p0,0.3458172646017168,1.114782448339767,0.9914963894020996,completed
720913,matching,0,64,0.5,0.15,balanced_p1,0.2519627529525224,0.8343900324564661,0.7602317140321411,completed
720913,matching,0,64,0.5,0.15,balanced_p2,0.3611461343094712,0.9245658965907624,0.6996532253443384,completed
720913,matching,0,64,0.5,0.15,balanced_p3,0.1595711929567156,0.5261153752915138,1.1889531089817214,completed
720913,matching,0,64,0.5,0.15,comb_p0,0.36490691329854497,1.4667151543059453,3.838353761898494,completed
720913,matching,0,64,0.5,0.15,comb_p1,0.25200493890773057,1.0964460085969416,0.7968164821577578,completed
720913,matching,0,64,0.5,0.15,comb_p2,0.3611461343094712,1.1676688460528613,0.992735241100386,completed
720913,matching,0,64,0.5,0.15,comb_p3,0.3589587188207024,0.984963164481457,1.1211682251844404,completed
720913,matching,0,64,0.5,0.15,mixed_p0,0.25086433814991793,1.0299113956984423,1.5602161574925895,completed
720913,matching,0,64,0.5,0.15,mixed_p1,0.25200493890773057,0.8143483366102512,1.71173316431199,completed
720913,matching,0,64,0.5,0.15,mixed_p2,0.2471586630377102,0.8209453977368321,5.423593581775513,completed
720913,matching,0,64,0.5,0.15,mixed_p3,0.15313716424599627,0.5193333895925618,1.8018917545195827,completed
720913,matching,0,64,0.5,0.35,balanced_p0,0.2980427539806147,0.9184568399402202,0.9914963894020996,completed
720913,matching,0,64,0.5,0.35,balanced_p1,0.20581496450517936,0.6460050395011915,0.7602317140321411,completed
720913,matching,0,64,0.5,0.35,balanced_p2,0.3101696068216066,0.7373300856429568,0.6996532253443384,completed
720913,matching,0,64,0.5,0.35,balanced_p3,0.11708035916385806,0.3632556300455642,1.1889531089817214,completed
720913,matching,0,64,0.5,0.35,comb_p0,0.3099553251642598,1.2129046494279152,3.838353761898494,completed
720913,matching,0,64,0.5,0.35,comb_p1,0.20581496450517936,0.8631831016378928,0.7968164821577578,completed
720913,matching,0,64,0.5,0.35,comb_p2,0.3101696068216066,0.9432170034564662,0.992735241100386,completed
720913,matching,0,64,0.5,0.35,comb_p3,0.3099553251642598,0.776877120651839,1.1211682251844404,completed
720913,matching,0,64,0.5,0.35,mixed_p0,0.20560079335360215,0.8263414612575564,1.5602161574925895,completed
720913,matching,0,64,0.5,0.35,mixed_p1,0.20581496450517936,0.6186627797521811,1.71173316431199,completed
720913,matching,0,64,0.5,0.35,mixed_p2,0.20581507501094903,0.63375867143407,5.423593581775513,completed
720913,matching,0,64,0.5,0.35,mixed_p3,0.11672472176425285,0.3630018787086236,1.8018917545195827,completed
720913,matching,0,64,0.5,0.65,balanced_p0,0.13712388060430694,0.41137164181292085,0.9914963894020996,completed
720913,matching,0,64,0.5,0.65,balanced_p1,0.11775835975360747,0.2742477612086139,0.7602317140321411,completed
720913,matching,0,64,0.5,0.65,balanced_p2,0.13712388060430694,0.29361328205931336,0.6996532253443384,completed
720913,matching,0,64,0.5,0.65,balanced_p3,0.019365520850699473,0.05809656255209843,1.1889531089817214,completed
720913,matching,0,64,0.5,0.65,comb_p0,0.13712388060430694,0.6275228404694364,3.838353761898494,completed
720913,matching,0,64,0.5,0.65,comb_p1,0.11775835975360747,0.3920061209622214,0.7968164821577578,completed
720913,matching,0,64,0.5,0.65,comb_p2,0.13712388060430694,0.4113716418129209,0.992735241100386,completed
720913,matching,0,64,0.5,0.65,comb_p3,0.13712388060430694,0.21458596400710486,1.1211682251844404,completed
720913,matching,0,64,0.5,0.65,mixed_p0,0.11775835975360747,0.3920061209622214,1.5602161574925895,completed
720913,matching,0,64,0.5,0.65,mixed_p1,0.11775835975360747,0.3532750792608224,1.71173316431199,completed
720913,matching,0,64,0.5,0.65,mixed_p2,0.11775835975360747,0.27424776120861394,5.423593581775513,completed
720913,matching,0,64,0.5,0.65,mixed_p3,0.019365520850699473,0.05809656255209843,1.8018917545195827,completed
720913,matching,0,256,0.0,0.15,balanced_p0,0.48389124949605894,1.4334440486550586,0.8132630276178074,completed
720913,matching,0,256,0.0,0.15,balanced_p1,0.26731019035685544,1.0692407614274217,0.8996434972686427,completed
720913,matching,0,256,0.0,0.15,balanced_p2,0.48389124949605894,1.3730103514505136,0.6124305114051214,completed
720913,matching,0,256,0.0,0.15,balanced_p3,0.3544987212407438,0.9580779330052248,0.6316217148915408,completed
720913,matching,0,256,0.0,0.15,comb_p0,0.552850080546829,1.8386719011134542,0.7842567288252282,completed
720913,matching,0,256,0.0,0.15,comb_p1,0.3544987212407437,1.4419691825012835,0.7697700679649786,completed
720913,matching,0,256,0.0,0.15,comb_p2,0.48389124949605894,1.5895914105897173,1.0750592820137352,completed
720913,matching,0,256,0.0,0.15,comb_p3,0.48389124949605894,1.8329273034082638,0.8173339344955151,completed
720913,matching,0,256,0.0,0.15,mixed_p0,0.2855398901899736,1.3730103514505136,1.079419623213696,completed
720913,matching,0,256,0.0,0.15,mixed_p1,0.26731019035685544,0.8708894021213365,0.6541345511090114,completed
720913,matching,0,256,0.0,0.15,mixed_p2,0.2855398901899736,1.1057001610936583,0.8284117213073672,completed
720913,matching,0,256,0.0,0.15,mixed_p3,0.3544987212407438,0.9763076328383431,0.45230948546892946,completed
720913,matching,0,256,0.0,0.35,balanced_p0,0.4742299980069069,1.3809743204006124,0.8132630276178074,completed
720913,matching,0,256,0.0,0.35,balanced_p1,0.2454946816257877,0.9819787265031508,0.8996434972686427,completed
720913,matching,0,256,0.0,0.35,balanced_p2,0.4742299980069069,1.310904755369155,0.6124305114051214,completed
720913,matching,0,256,0.0,0.35,balanced_p3,0.3456853941106727,0.8951497962270248,0.6316217148915408,completed
720913,matching,0,256,0.0,0.35,comb_p0,0.5327050368716837,1.7434190797559537,0.7842567288252282,completed
720913,matching,0,256,0.0,0.35,comb_p1,0.3456853941106728,1.3693797942339319,0.7697700679649786,completed
720913,matching,0,256,0.0,0.35,comb_p2,0.4742299980069069,1.5396400717502743,1.0750592820137352,completed
720913,matching,0,256,0.0,0.35,comb_p3,0.4742299980069069,1.798496535584821,0.8173339344955151,completed
720913,matching,0,256,0.0,0.35,mixed_p0,0.28721035524589594,1.310904755369155,1.079419623213696,completed
720913,matching,0,256,0.0,0.35,mixed_p1,0.2454946816257877,0.7949590837421399,0.6541345511090114,completed
720913,matching,0,256,0.0,0.35,mixed_p2,0.28721035524589594,1.0654100737433674,0.8284117213073672,completed
720913,matching,0,256,0.0,0.35,mixed_p3,0.3456853941106727,0.9368654698471331,0.45230948546892946,completed
720913,matching,0,256,0.0,0.65,balanced_p0,0.45408427869188506,1.2783215099633631,0.8132630276178074,completed
720913,matching,0,256,0.0,0.65,balanced_p1,0.20518793633906218,0.8207517453562487,0.8996434972686427,completed
720913,matching,0,256,0.0,0.65,balanced_p2,0.45408427869188506,1.193802333919895,0.6124305114051214,completed
720913,matching,0,256,0.0,0.65,balanced_p3,0.3293421825498856,0.7799409753265414,0.6316217148915408,completed
720913,matching,0,256,0.0,0.65,comb_p0,0.4943071987904164,1.5639552864994881,0.7842567288252282,completed
720913,matching,0,256,0.0,0.65,comb_p1,0.3293421825498856,1.2340252540184262,0.7697700679649786,completed
720913,matching,0,256,0.0,0.65,comb_p2,0.45408427869188506,1.4426986762727179,1.0750592820137352,completed
720913,matching,0,256,0.0,0.65,comb_p3,0.45408427869188495,1.7312300887928957,0.8173339344955151,completed
720913,matching,0,256,0.0,0.65,mixed_p0,0.2891192624513542,1.193802333919895,1.079419623213696,completed
