family,formula,raw_mean_rational,raw_variance_rational,raw_mean,raw_variance,exact_compatible_trees,exact_compatible_balanced_trees,minimum_exact_depth,minimum_balanced_normalized_mse_lower_bound,max_coefficient_across_exact_constructions,input_gradient_rank_exact,input_gradient_second_moment_raw_rational,input_gradient_second_moment_eigenvalues_raw,input_gradient_second_moment_eigenvalues_normalized,input_gradient_participation_rank
and4,a AND b AND c AND d,1/16,15/256,0.0625,0.05859375,15,3,2,0.0,1.0327955589886444,4,"[[""1/32"", ""1/64"", ""1/64"", ""1/64""], [""1/64"", ""1/32"", ""1/64"", ""1/64""], [""1/64"", ""1/64"", ""1/32"", ""1/64""], [""1/64"", ""1/64"", ""1/64"", ""1/32""]]","[0.015624999999999993, 0.015625, 0.015625, 0.078125]","[0.26666666666666655, 0.26666666666666666, 0.26666666666666666, 1.3333333333333333]",2.2857142857142856
or4,a OR b OR c OR d,15/16,15/256,0.9375,0.05859375,15,3,2,0.0,1.0327955589886444,4,"[[""1/32"", ""1/64"", ""1/64"", ""1/64""], [""1/64"", ""1/32"", ""1/64"", ""1/64""], [""1/64"", ""1/64"", ""1/32"", ""1/64""], [""1/64"", ""1/64"", ""1/64"", ""1/32""]]","[0.015624999999999993, 0.015625, 0.015625, 0.078125]","[0.26666666666666655, 0.26666666666666666, 0.26666666666666666, 1.3333333333333333]",2.2857142857142856
parity4,a XOR b XOR c XOR d,1/2,1/4,0.5,0.25,15,3,2,0.0,1.0,4,"[[""1/4"", ""0"", ""0"", ""0""], [""0"", ""1/4"", ""0"", ""0""], [""0"", ""0"", ""1/4"", ""0""], [""0"", ""0"", ""0"", ""1/4""]]","[0.25, 0.25, 0.25, 0.25]","[1.0, 1.0, 1.0, 1.0]",4.0
or_of_ands,(a AND b) OR (c AND d),7/16,63/256,0.4375,0.24609375,1,1,2,0.0,0.629940788348712,4,"[[""3/32"", ""3/64"", ""1/64"", ""1/64""], [""3/64"", ""3/32"", ""1/64"", ""1/64""], [""1/64"", ""1/64"", ""3/32"", ""3/64""], [""1/64"", ""1/64"", ""3/64"", ""3/32""]]","[0.04687499999999994, 0.046875, 0.10937499999999994, 0.17187499999999994]","[0.19047619047619022, 0.19047619047619047, 0.4444444444444442, 0.6984126984126982]",3.0638297872340425
xor_of_ands,(a AND b) XOR (c AND d),3/8,15/64,0.375,0.234375,1,1,2,0.0,1.0327955589886444,4,"[[""1/8"", ""1/16"", ""0"", ""0""], [""1/16"", ""1/8"", ""0"", ""0""], [""0"", ""0"", ""1/8"", ""1/16""], [""0"", ""0"", ""1/16"", ""1/8""]]","[0.0625, 0.0625, 0.1875, 0.1875]","[0.26666666666666666, 0.26666666666666666, 0.8, 0.8]",3.2
and_of_xors,(a XOR b) AND (c XOR d),1/4,3/16,0.25,0.1875,1,1,2,0.0,1.0,4,"[[""1/8"", ""0"", ""0"", ""0""], [""0"", ""1/8"", ""0"", ""0""], [""0"", ""0"", ""1/8"", ""0""], [""0"", ""0"", ""0"", ""1/8""]]","[0.125, 0.125, 0.125, 0.125]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",4.0
nested,a AND (b OR (c AND d)),5/16,55/256,0.3125,0.21484375,1,0,3,0.1254605659901545,0.5393598899705937,4,"[[""5/32"", ""3/64"", ""1/64"", ""1/64""], [""3/64"", ""3/32"", ""1/64"", ""1/64""], [""1/64"", ""1/64"", ""1/32"", ""1/64""], [""1/64"", ""1/64"", ""1/64"", ""1/32""]]","[0.015624999999999998, 0.03796429744281923, 0.07119136992927524, 0.1877193326279055]","[0.07272727272727272, 0.17670654809748584, 0.33136346730717203, 0.8737481664135237]",2.325581395348838
