family,mask,support,order,coefficient_raw_rational,coefficient_raw,coefficient_normalized
and4,0,constant,0,1/16,0.0625,0.0
and4,1,a,1,1/16,0.0625,0.2581988897471611
and4,2,b,1,1/16,0.0625,0.2581988897471611
and4,3,ab,2,1/16,0.0625,0.2581988897471611
and4,4,c,1,1/16,0.0625,0.2581988897471611
and4,5,ac,2,1/16,0.0625,0.2581988897471611
and4,6,bc,2,1/16,0.0625,0.2581988897471611
and4,7,abc,3,1/16,0.0625,0.2581988897471611
and4,8,d,1,1/16,0.0625,0.2581988897471611
and4,9,ad,2,1/16,0.0625,0.2581988897471611
and4,10,bd,2,1/16,0.0625,0.2581988897471611
and4,11,abd,3,1/16,0.0625,0.2581988897471611
and4,12,cd,2,1/16,0.0625,0.2581988897471611
and4,13,acd,3,1/16,0.0625,0.2581988897471611
and4,14,bcd,3,1/16,0.0625,0.2581988897471611
and4,15,abcd,4,1/16,0.0625,0.2581988897471611
or4,0,constant,0,15/16,0.9375,0.0
or4,1,a,1,1/16,0.0625,0.2581988897471611
or4,2,b,1,1/16,0.0625,0.2581988897471611
or4,3,ab,2,-1/16,-0.0625,-0.2581988897471611
or4,4,c,1,1/16,0.0625,0.2581988897471611
or4,5,ac,2,-1/16,-0.0625,-0.2581988897471611
or4,6,bc,2,-1/16,-0.0625,-0.2581988897471611
or4,7,abc,3,1/16,0.0625,0.2581988897471611
or4,8,d,1,1/16,0.0625,0.2581988897471611
or4,9,ad,2,-1/16,-0.0625,-0.2581988897471611
or4,10,bd,2,-1/16,-0.0625,-0.2581988897471611
or4,11,abd,3,1/16,0.0625,0.2581988897471611
or4,12,cd,2,-1/16,-0.0625,-0.2581988897471611
or4,13,acd,3,1/16,0.0625,0.2581988897471611
or4,14,bcd,3,1/16,0.0625,0.2581988897471611
or4,15,abcd,4,-1/16,-0.0625,-0.2581988897471611
parity4,0,constant,0,1/2,0.5,0.0
parity4,1,a,1,0,0.0,0.0
parity4,2,b,1,0,0.0,0.0
parity4,3,ab,2,0,0.0,0.0
parity4,4,c,1,0,0.0,0.0
parity4,5,ac,2,0,0.0,0.0
parity4,6,bc,2,0,0.0,0.0
parity4,7,abc,3,0,0.0,0.0
parity4,8,d,1,0,0.0,0.0
parity4,9,ad,2,0,0.0,0.0
parity4,10,bd,2,0,0.0,0.0
parity4,11,abd,3,0,0.0,0.0
parity4,12,cd,2,0,0.0,0.0
parity4,13,acd,3,0,0.0,0.0
parity4,14,bcd,3,0,0.0,0.0
parity4,15,abcd,4,-1/2,-0.5,-1.0
or_of_ands,0,constant,0,7/16,0.4375,0.0
or_of_ands,1,a,1,3/16,0.1875,0.3779644730092272
or_of_ands,2,b,1,3/16,0.1875,0.3779644730092272
or_of_ands,3,ab,2,3/16,0.1875,0.3779644730092272
or_of_ands,4,c,1,3/16,0.1875,0.3779644730092272
or_of_ands,5,ac,2,-1/16,-0.0625,-0.1259881576697424
or_of_ands,6,bc,2,-1/16,-0.0625,-0.1259881576697424
or_of_ands,7,abc,3,-1/16,-0.0625,-0.1259881576697424
or_of_ands,8,d,1,3/16,0.1875,0.3779644730092272
or_of_ands,9,ad,2,-1/16,-0.0625,-0.1259881576697424
or_of_ands,10,bd,2,-1/16,-0.0625,-0.1259881576697424
or_of_ands,11,abd,3,-1/16,-0.0625,-0.1259881576697424
or_of_ands,12,cd,2,3/16,0.1875,0.3779644730092272
or_of_ands,13,acd,3,-1/16,-0.0625,-0.1259881576697424
or_of_ands,14,bcd,3,-1/16,-0.0625,-0.1259881576697424
or_of_ands,15,abcd,4,-1/16,-0.0625,-0.1259881576697424
xor_of_ands,0,constant,0,3/8,0.375,0.0
xor_of_ands,1,a,1,1/8,0.125,0.2581988897471611
xor_of_ands,2,b,1,1/8,0.125,0.2581988897471611
xor_of_ands,3,ab,2,1/8,0.125,0.2581988897471611
xor_of_ands,4,c,1,1/8,0.125,0.2581988897471611
xor_of_ands,5,ac,2,-1/8,-0.125,-0.2581988897471611
xor_of_ands,6,bc,2,-1/8,-0.125,-0.2581988897471611
xor_of_ands,7,abc,3,-1/8,-0.125,-0.2581988897471611
xor_of_ands,8,d,1,1/8,0.125,0.2581988897471611
xor_of_ands,9,ad,2,-1/8,-0.125,-0.2581988897471611
xor_of_ands,10,bd,2,-1/8,-0.125,-0.2581988897471611
xor_of_ands,11,abd,3,-1/8,-0.125,-0.2581988897471611
xor_of_ands,12,cd,2,1/8,0.125,0.2581988897471611
xor_of_ands,13,acd,3,-1/8,-0.125,-0.2581988897471611
xor_of_ands,14,bcd,3,-1/8,-0.125,-0.2581988897471611
xor_of_ands,15,abcd,4,-1/8,-0.125,-0.2581988897471611
