gate,left,right,output,d_output_d_left,d_output_d_right
AND,0.0,0.0,0.0,0.0,0.0
AND,0.0,1.0,0.0,1.0,0.0
AND,1.0,0.0,0.0,0.0,1.0
AND,1.0,1.0,1.0,1.0,1.0
OR,0.0,0.0,0.0,1.0,1.0
OR,0.0,1.0,1.0,0.0,1.0
OR,1.0,0.0,1.0,1.0,0.0
OR,1.0,1.0,1.0,0.0,0.0
XOR,0.0,0.0,0.0,1.0,1.0
XOR,0.0,1.0,1.0,-1.0,1.0
XOR,1.0,0.0,1.0,1.0,-1.0
XOR,1.0,1.0,0.0,-1.0,-1.0
