family,subset,outside,centered_rank,raw_mse_lower_bound,normalized_mse_lower_bound,squared_singular_values_raw,centered_matrix_raw_rational
xor_of_ands,a,bcd,1,0.0,0.0,[0.12500000000000003],"[[""1/8"", ""1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,b,acd,1,0.0,0.0,[0.12500000000000003],"[[""1/8"", ""1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,ab,cd,1,0.0,0.0,"[0.18749999999999997, 3.851859888774471e-34, 6.951280260054516e-97]","[[""1/8"", ""-1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,c,abd,1,0.0,0.0,[0.12500000000000003],"[[""1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,ac,bd,3,0.125,0.5333333333333333,"[0.06250000000000003, 0.0625, 0.0625]","[[""1/8"", ""1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""1/8"", ""-1/8""], [""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,bc,ad,3,0.125,0.5333333333333333,"[0.06250000000000003, 0.0625, 0.0625]","[[""1/8"", ""1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""1/8"", ""-1/8""], [""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,abc,d,2,0.09375000000000001,0.4000000000000001,"[0.12499999999999994, 0.09375000000000001]","[[""1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""1/8"", ""1/8""], [""-1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""-1/8"", ""-1/8""]]"
xor_of_ands,d,abc,1,0.0,0.0,[0.12500000000000003],"[[""1/8"", ""-1/8"", ""-1/8"", ""-1/8"", ""1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,ad,bc,3,0.125,0.5333333333333333,"[0.06250000000000003, 0.0625, 0.0625]","[[""1/8"", ""1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""1/8"", ""-1/8""], [""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,bd,ac,3,0.125,0.5333333333333333,"[0.06250000000000003, 0.0625, 0.0625]","[[""1/8"", ""1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""1/8"", ""-1/8""], [""-1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,abd,c,2,0.09375000000000001,0.4000000000000001,"[0.12499999999999994, 0.09375000000000001]","[[""1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""1/8"", ""1/8""], [""-1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""-1/8"", ""-1/8""]]"
xor_of_ands,cd,ab,1,0.0,0.0,"[0.18749999999999997, 3.851859888774471e-34, 6.951280260054516e-97]","[[""1/8"", ""-1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""-1/8"", ""-1/8""], [""1/8"", ""-1/8"", ""-1/8"", ""-1/8""]]"
xor_of_ands,acd,b,2,0.09375000000000001,0.4000000000000001,"[0.12499999999999994, 0.09375000000000001]","[[""1/8"", ""1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""]]"
xor_of_ands,bcd,a,2,0.09375000000000001,0.4000000000000001,"[0.12499999999999994, 0.09375000000000001]","[[""1/8"", ""1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""], [""1/8"", ""-1/8""], [""-1/8"", ""-1/8""]]"
and_of_xors,a,bcd,1,0.0,0.0,[0.12500000000000003],"[[""0"", ""-1/4"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,b,acd,1,0.0,0.0,[0.12500000000000003],"[[""0"", ""-1/4"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,ab,cd,1,0.0,0.0,"[0.12500000000000003, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""-1/4"", ""0"", ""0"", ""1/4""]]"
and_of_xors,c,abd,1,0.0,0.0,[0.12500000000000003],"[[""0"", ""0"", ""0"", ""0"", ""-1/4"", ""0"", ""0"", ""1/4""]]"
and_of_xors,ac,bd,3,0.125,0.6666666666666666,"[0.0625, 0.0625, 0.0625]","[[""0"", ""-1/4"", ""0"", ""0""], [""0"", ""0"", ""-1/4"", ""0""], [""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,bc,ad,3,0.125,0.6666666666666666,"[0.0625, 0.0625, 0.0625]","[[""0"", ""-1/4"", ""0"", ""0""], [""0"", ""0"", ""-1/4"", ""0""], [""0"", ""0"", ""0"", ""1/4""]]"
and_of_xors,abc,d,2,0.0625,0.3333333333333333,"[0.12500000000000003, 0.0625]","[[""0"", ""0""], [""0"", ""0""], [""-1/4"", ""0""], [""0"", ""-1/4""], [""0"", ""0""], [""0"", ""0""], [""0"", ""1/4""]]"
