family,subset,subset_size,projection_energy_centered_raw_rational,projection_energy_normalized_rational,projection_energy_normalized,zero_direct_label_term_for_all_subtree_functions,independent_conditional_mean_check_exact,analysis_status
and4,a,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,b,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,ab,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,c,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,ac,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,bc,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,abc,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,d,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,ad,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,bd,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,abd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,cd,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
and4,acd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and4,bcd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,a,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,b,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,ab,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,c,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,ac,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,bc,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,abc,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,d,1,1/256,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,ad,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,bd,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,abd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,cd,2,3/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
or4,acd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
or4,bcd,3,7/256,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
parity4,a,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,b,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,ab,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,c,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,ac,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,bc,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,abc,3,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,d,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,ad,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,bd,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,abd,3,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,cd,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,acd,3,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
parity4,bcd,3,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,a,1,9/256,1/7,0.14285714285714285,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,b,1,9/256,1/7,0.14285714285714285,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,ab,2,27/256,3/7,0.42857142857142855,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,c,1,9/256,1/7,0.14285714285714285,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,ac,2,19/256,19/63,0.30158730158730157,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,bc,2,19/256,19/63,0.30158730158730157,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,abc,3,39/256,13/21,0.6190476190476191,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,d,1,9/256,1/7,0.14285714285714285,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,ad,2,19/256,19/63,0.30158730158730157,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,bd,2,19/256,19/63,0.30158730158730157,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,abd,3,39/256,13/21,0.6190476190476191,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,cd,2,27/256,3/7,0.42857142857142855,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,acd,3,39/256,13/21,0.6190476190476191,False,True,post_hoc_after_fresh_learning_outcomes
or_of_ands,bcd,3,39/256,13/21,0.6190476190476191,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,a,1,1/64,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,b,1,1/64,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,ab,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,c,1,1/64,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,ac,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,bc,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,abc,3,7/64,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,d,1,1/64,1/15,0.06666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,ad,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,bd,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,abd,3,7/64,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,cd,2,3/64,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,acd,3,7/64,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
xor_of_ands,bcd,3,7/64,7/15,0.4666666666666667,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,a,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,b,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,ab,2,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,c,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,ac,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,bc,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,abc,3,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,d,1,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,ad,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,bd,2,0,0,0.0,True,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,abd,3,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,cd,2,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,acd,3,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
and_of_xors,bcd,3,1/16,1/3,0.3333333333333333,False,True,post_hoc_after_fresh_learning_outcomes
nested,a,1,25/256,5/11,0.45454545454545453,False,True,post_hoc_after_fresh_learning_outcomes
nested,b,1,9/256,9/55,0.16363636363636364,False,True,post_hoc_after_fresh_learning_outcomes
nested,ab,2,43/256,43/55,0.7818181818181819,False,True,post_hoc_after_fresh_learning_outcomes
nested,c,1,1/256,1/55,0.01818181818181818,False,True,post_hoc_after_fresh_learning_outcomes
nested,ac,2,27/256,27/55,0.4909090909090909,False,True,post_hoc_after_fresh_learning_outcomes
nested,bc,2,11/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
nested,abc,3,47/256,47/55,0.8545454545454545,False,True,post_hoc_after_fresh_learning_outcomes
nested,d,1,1/256,1/55,0.01818181818181818,False,True,post_hoc_after_fresh_learning_outcomes
nested,ad,2,27/256,27/55,0.4909090909090909,False,True,post_hoc_after_fresh_learning_outcomes
nested,bd,2,11/256,1/5,0.2,False,True,post_hoc_after_fresh_learning_outcomes
nested,abd,3,47/256,47/55,0.8545454545454545,False,True,post_hoc_after_fresh_learning_outcomes
nested,cd,2,3/256,3/55,0.05454545454545454,False,True,post_hoc_after_fresh_learning_outcomes
nested,acd,3,31/256,31/55,0.5636363636363636,False,True,post_hoc_after_fresh_learning_outcomes
nested,bcd,3,15/256,3/11,0.2727272727272727,False,True,post_hoc_after_fresh_learning_outcomes
