family,tree_id,tree,subset,outside,centered_rank,raw_mse_lower_bound,normalized_mse_lower_bound,squared_singular_values_raw,centered_matrix_raw_rational
and4,T01,"(((a,b),c),d)",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T01,"(((a,b),c),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T02,"(((a,b),d),c)",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T02,"(((a,b),d),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T03,"(((a,c),b),d)",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T03,"(((a,c),b),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T04,"(((a,c),d),b)",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T04,"(((a,c),d),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T05,"(((a,d),b),c)",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T05,"(((a,d),b),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T06,"(((a,d),c),b)",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T06,"(((a,d),c),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T07,"((a,(b,c)),d)",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T07,"((a,(b,c)),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T08,"((a,(b,d)),c)",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T08,"((a,(b,d)),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T09,"((a,(c,d)),b)",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T09,"((a,(c,d)),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T10,"((a,b),(c,d))",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T10,"((a,b),(c,d))",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T11,"((a,c),(b,d))",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T11,"((a,c),(b,d))",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T12,"((a,d),(b,c))",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T12,"((a,d),(b,c))",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T13,"(a,((b,c),d))",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T13,"(a,((b,c),d))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T14,"(a,((b,d),c))",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T14,"(a,((b,d),c))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
and4,T15,"(a,(b,(c,d)))",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""], [""1/16"", ""1/16"", ""1/16"", ""1/16""]]"
and4,T15,"(a,(b,(c,d)))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""], [""1/16"", ""1/16""]]"
or4,T01,"(((a,b),c),d)",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T01,"(((a,b),c),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T02,"(((a,b),d),c)",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T02,"(((a,b),d),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T03,"(((a,c),b),d)",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T03,"(((a,c),b),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T04,"(((a,c),d),b)",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T04,"(((a,c),d),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T05,"(((a,d),b),c)",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T05,"(((a,d),b),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T06,"(((a,d),c),b)",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T06,"(((a,d),c),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T07,"((a,(b,c)),d)",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T07,"((a,(b,c)),d)",abc,d,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T08,"((a,(b,d)),c)",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T08,"((a,(b,d)),c)",abd,c,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T09,"((a,(c,d)),b)",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T09,"((a,(c,d)),b)",acd,b,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T10,"((a,b),(c,d))",ab,cd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T10,"((a,b),(c,d))",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T11,"((a,c),(b,d))",ac,bd,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T11,"((a,c),(b,d))",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T12,"((a,d),(b,c))",ad,bc,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T12,"((a,d),(b,c))",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T13,"(a,((b,c),d))",bc,ad,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T13,"(a,((b,c),d))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T14,"(a,((b,d),c))",bd,ac,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T14,"(a,((b,d),c))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
or4,T15,"(a,(b,(c,d)))",cd,ab,1,0.0,0.0,"[0.04687499999999999, 9.629649721936177e-35, 1.737820065013629e-97]","[[""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""1/16"", ""-1/16"", ""-1/16"", ""1/16""], [""-1/16"", ""1/16"", ""1/16"", ""-1/16""]]"
or4,T15,"(a,(b,(c,d)))",bcd,a,1,0.0,0.0,"[0.0546875, 2.4945447503285616e-34]","[[""1/16"", ""-1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""], [""-1/16"", ""1/16""], [""-1/16"", ""1/16""], [""1/16"", ""-1/16""]]"
parity4,T01,"(((a,b),c),d)",ab,cd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T01,"(((a,b),c),d)",abc,d,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T02,"(((a,b),d),c)",ab,cd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T02,"(((a,b),d),c)",abd,c,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T03,"(((a,c),b),d)",ac,bd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T03,"(((a,c),b),d)",abc,d,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T04,"(((a,c),d),b)",ac,bd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T04,"(((a,c),d),b)",acd,b,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T05,"(((a,d),b),c)",ad,bc,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T05,"(((a,d),b),c)",abd,c,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T06,"(((a,d),c),b)",ad,bc,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T06,"(((a,d),c),b)",acd,b,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T07,"((a,(b,c)),d)",bc,ad,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T07,"((a,(b,c)),d)",abc,d,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T08,"((a,(b,d)),c)",bd,ac,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T08,"((a,(b,d)),c)",abd,c,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T09,"((a,(c,d)),b)",cd,ab,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T09,"((a,(c,d)),b)",acd,b,1,0.0,0.0,"[0.25, 0.0]","[[""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""0""], [""0"", ""-1/2""]]"
parity4,T10,"((a,b),(c,d))",ab,cd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T10,"((a,b),(c,d))",cd,ab,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T11,"((a,c),(b,d))",ac,bd,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T11,"((a,c),(b,d))",bd,ac,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
parity4,T12,"((a,d),(b,c))",ad,bc,1,0.0,0.0,"[0.25, 0.0, 0.0]","[[""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""-1/2""]]"
