family,pattern_index,a,b,c,d,x_a,x_b,x_c,x_d,target_raw,target_normalized
and4,0,0,0,0,0,-1,-1,-1,-1,0,-0.2581988897471611
and4,1,1,0,0,0,1,-1,-1,-1,0,-0.2581988897471611
and4,2,0,1,0,0,-1,1,-1,-1,0,-0.2581988897471611
and4,3,1,1,0,0,1,1,-1,-1,0,-0.2581988897471611
and4,4,0,0,1,0,-1,-1,1,-1,0,-0.2581988897471611
and4,5,1,0,1,0,1,-1,1,-1,0,-0.2581988897471611
and4,6,0,1,1,0,-1,1,1,-1,0,-0.2581988897471611
and4,7,1,1,1,0,1,1,1,-1,0,-0.2581988897471611
and4,8,0,0,0,1,-1,-1,-1,1,0,-0.2581988897471611
and4,9,1,0,0,1,1,-1,-1,1,0,-0.2581988897471611
and4,10,0,1,0,1,-1,1,-1,1,0,-0.2581988897471611
and4,11,1,1,0,1,1,1,-1,1,0,-0.2581988897471611
and4,12,0,0,1,1,-1,-1,1,1,0,-0.2581988897471611
and4,13,1,0,1,1,1,-1,1,1,0,-0.2581988897471611
and4,14,0,1,1,1,-1,1,1,1,0,-0.2581988897471611
and4,15,1,1,1,1,1,1,1,1,1,3.8729833462074166
or4,0,0,0,0,0,-1,-1,-1,-1,0,-3.8729833462074166
or4,1,1,0,0,0,1,-1,-1,-1,1,0.2581988897471611
or4,2,0,1,0,0,-1,1,-1,-1,1,0.2581988897471611
or4,3,1,1,0,0,1,1,-1,-1,1,0.2581988897471611
or4,4,0,0,1,0,-1,-1,1,-1,1,0.2581988897471611
or4,5,1,0,1,0,1,-1,1,-1,1,0.2581988897471611
or4,6,0,1,1,0,-1,1,1,-1,1,0.2581988897471611
or4,7,1,1,1,0,1,1,1,-1,1,0.2581988897471611
or4,8,0,0,0,1,-1,-1,-1,1,1,0.2581988897471611
or4,9,1,0,0,1,1,-1,-1,1,1,0.2581988897471611
or4,10,0,1,0,1,-1,1,-1,1,1,0.2581988897471611
or4,11,1,1,0,1,1,1,-1,1,1,0.2581988897471611
or4,12,0,0,1,1,-1,-1,1,1,1,0.2581988897471611
or4,13,1,0,1,1,1,-1,1,1,1,0.2581988897471611
or4,14,0,1,1,1,-1,1,1,1,1,0.2581988897471611
or4,15,1,1,1,1,1,1,1,1,1,0.2581988897471611
parity4,0,0,0,0,0,-1,-1,-1,-1,0,-1.0
parity4,1,1,0,0,0,1,-1,-1,-1,1,1.0
parity4,2,0,1,0,0,-1,1,-1,-1,1,1.0
parity4,3,1,1,0,0,1,1,-1,-1,0,-1.0
parity4,4,0,0,1,0,-1,-1,1,-1,1,1.0
parity4,5,1,0,1,0,1,-1,1,-1,0,-1.0
parity4,6,0,1,1,0,-1,1,1,-1,0,-1.0
parity4,7,1,1,1,0,1,1,1,-1,1,1.0
parity4,8,0,0,0,1,-1,-1,-1,1,1,1.0
parity4,9,1,0,0,1,1,-1,-1,1,0,-1.0
parity4,10,0,1,0,1,-1,1,-1,1,0,-1.0
parity4,11,1,1,0,1,1,1,-1,1,1,1.0
parity4,12,0,0,1,1,-1,-1,1,1,0,-1.0
parity4,13,1,0,1,1,1,-1,1,1,1,1.0
parity4,14,0,1,1,1,-1,1,1,1,1,1.0
parity4,15,1,1,1,1,1,1,1,1,0,-1.0
or_of_ands,0,0,0,0,0,-1,-1,-1,-1,0,-0.8819171036881969
or_of_ands,1,1,0,0,0,1,-1,-1,-1,0,-0.8819171036881969
or_of_ands,2,0,1,0,0,-1,1,-1,-1,0,-0.8819171036881969
or_of_ands,3,1,1,0,0,1,1,-1,-1,1,1.1338934190276817
or_of_ands,4,0,0,1,0,-1,-1,1,-1,0,-0.8819171036881969
or_of_ands,5,1,0,1,0,1,-1,1,-1,0,-0.8819171036881969
or_of_ands,6,0,1,1,0,-1,1,1,-1,0,-0.8819171036881969
or_of_ands,7,1,1,1,0,1,1,1,-1,1,1.1338934190276817
or_of_ands,8,0,0,0,1,-1,-1,-1,1,0,-0.8819171036881969
or_of_ands,9,1,0,0,1,1,-1,-1,1,0,-0.8819171036881969
or_of_ands,10,0,1,0,1,-1,1,-1,1,0,-0.8819171036881969
or_of_ands,11,1,1,0,1,1,1,-1,1,1,1.1338934190276817
or_of_ands,12,0,0,1,1,-1,-1,1,1,1,1.1338934190276817
or_of_ands,13,1,0,1,1,1,-1,1,1,1,1.1338934190276817
or_of_ands,14,0,1,1,1,-1,1,1,1,1,1.1338934190276817
or_of_ands,15,1,1,1,1,1,1,1,1,1,1.1338934190276817
xor_of_ands,0,0,0,0,0,-1,-1,-1,-1,0,-0.7745966692414834
xor_of_ands,1,1,0,0,0,1,-1,-1,-1,0,-0.7745966692414834
xor_of_ands,2,0,1,0,0,-1,1,-1,-1,0,-0.7745966692414834
xor_of_ands,3,1,1,0,0,1,1,-1,-1,1,1.2909944487358056
xor_of_ands,4,0,0,1,0,-1,-1,1,-1,0,-0.7745966692414834
xor_of_ands,5,1,0,1,0,1,-1,1,-1,0,-0.7745966692414834
xor_of_ands,6,0,1,1,0,-1,1,1,-1,0,-0.7745966692414834
xor_of_ands,7,1,1,1,0,1,1,1,-1,1,1.2909944487358056
xor_of_ands,8,0,0,0,1,-1,-1,-1,1,0,-0.7745966692414834
xor_of_ands,9,1,0,0,1,1,-1,-1,1,0,-0.7745966692414834
xor_of_ands,10,0,1,0,1,-1,1,-1,1,0,-0.7745966692414834
xor_of_ands,11,1,1,0,1,1,1,-1,1,1,1.2909944487358056
xor_of_ands,12,0,0,1,1,-1,-1,1,1,1,1.2909944487358056
xor_of_ands,13,1,0,1,1,1,-1,1,1,1,1.2909944487358056
xor_of_ands,14,0,1,1,1,-1,1,1,1,1,1.2909944487358056
xor_of_ands,15,1,1,1,1,1,1,1,1,0,-0.7745966692414834
and_of_xors,0,0,0,0,0,-1,-1,-1,-1,0,-0.5773502691896258
and_of_xors,1,1,0,0,0,1,-1,-1,-1,0,-0.5773502691896258
and_of_xors,2,0,1,0,0,-1,1,-1,-1,0,-0.5773502691896258
and_of_xors,3,1,1,0,0,1,1,-1,-1,0,-0.5773502691896258
and_of_xors,4,0,0,1,0,-1,-1,1,-1,0,-0.5773502691896258
and_of_xors,5,1,0,1,0,1,-1,1,-1,1,1.7320508075688774
and_of_xors,6,0,1,1,0,-1,1,1,-1,1,1.7320508075688774
and_of_xors,7,1,1,1,0,1,1,1,-1,0,-0.5773502691896258
and_of_xors,8,0,0,0,1,-1,-1,-1,1,0,-0.5773502691896258
and_of_xors,9,1,0,0,1,1,-1,-1,1,1,1.7320508075688774
and_of_xors,10,0,1,0,1,-1,1,-1,1,1,1.7320508075688774
and_of_xors,11,1,1,0,1,1,1,-1,1,0,-0.5773502691896258
and_of_xors,12,0,0,1,1,-1,-1,1,1,0,-0.5773502691896258
and_of_xors,13,1,0,1,1,1,-1,1,1,0,-0.5773502691896258
and_of_xors,14,0,1,1,1,-1,1,1,1,0,-0.5773502691896258
and_of_xors,15,1,1,1,1,1,1,1,1,0,-0.5773502691896258
nested,0,0,0,0,0,-1,-1,-1,-1,0,-0.674199862463242
nested,1,1,0,0,0,1,-1,-1,-1,0,-0.674199862463242
nested,2,0,1,0,0,-1,1,-1,-1,0,-0.674199862463242
nested,3,1,1,0,0,1,1,-1,-1,1,1.4832396974191326
nested,4,0,0,1,0,-1,-1,1,-1,0,-0.674199862463242
nested,5,1,0,1,0,1,-1,1,-1,0,-0.674199862463242
nested,6,0,1,1,0,-1,1,1,-1,0,-0.674199862463242
nested,7,1,1,1,0,1,1,1,-1,1,1.4832396974191326
nested,8,0,0,0,1,-1,-1,-1,1,0,-0.674199862463242
nested,9,1,0,0,1,1,-1,-1,1,0,-0.674199862463242
