root_id,grouping,stratum,n_contacts,n_mapped,n_direct,n_mapped_direct,direct_fraction,mapping_fraction
864691135060651419,compartment,internal,1244,1216,119,108,0.0956591639871,0.977491961415
864691135060651419,compartment,soma,66,9,19,3,0.287878787879,0.136363636364
864691135060651419,compartment,terminal,5324,5293,237,233,0.0445154019534,0.994177310293
864691135060651419,path_quartile,0,1659,1574,160,133,0.0964436407474,0.948764315853
864691135060651419,path_quartile,1,1658,1647,95,93,0.0572979493366,0.993365500603
864691135060651419,path_quartile,2,1658,1639,73,71,0.0440289505428,0.988540410133
864691135060651419,path_quartile,3,1659,1658,47,47,0.0283303194696,0.999397227245
864691135277186789,compartment,internal,763,731,90,80,0.117955439056,0.958060288336
864691135277186789,compartment,soma,55,16,8,4,0.145454545455,0.290909090909
864691135277186789,compartment,terminal,4322,4294,247,242,0.057149467839,0.993521517816
864691135277186789,path_quartile,0,1285,1214,131,117,0.101945525292,0.944747081712
864691135277186789,path_quartile,1,1285,1283,85,85,0.0661478599222,0.998443579767
864691135277186789,path_quartile,2,1285,1260,82,78,0.063813229572,0.980544747082
864691135277186789,path_quartile,3,1285,1284,47,46,0.0365758754864,0.999221789883
864691135324623260,compartment,internal,385,383,55,54,0.142857142857,0.994805194805
864691135324623260,compartment,soma,47,6,15,4,0.31914893617,0.127659574468
864691135324623260,compartment,terminal,1864,1832,196,187,0.105150214592,0.982832618026
864691135324623260,path_quartile,0,574,529,98,86,0.170731707317,0.921602787456
864691135324623260,path_quartile,1,574,561,52,49,0.0905923344948,0.977351916376
864691135324623260,path_quartile,2,574,569,72,68,0.12543554007,0.991289198606
864691135324623260,path_quartile,3,574,562,44,42,0.0766550522648,0.979094076655
864691135196576298,compartment,internal,157,150,38,36,0.242038216561,0.955414012739
864691135196576298,compartment,soma,31,11,6,3,0.193548387097,0.354838709677
864691135196576298,compartment,terminal,1612,1592,166,163,0.102977667494,0.987593052109
864691135196576298,path_quartile,0,450,423,65,60,0.144444444444,0.94
864691135196576298,path_quartile,1,450,445,43,42,0.0955555555556,0.988888888889
864691135196576298,path_quartile,2,450,443,65,63,0.144444444444,0.984444444444
864691135196576298,path_quartile,3,450,442,37,37,0.0822222222222,0.982222222222
864691135409937097,compartment,internal,731,714,62,58,0.0848153214774,0.976744186047
864691135409937097,compartment,soma,56,22,10,4,0.178571428571,0.392857142857
864691135409937097,compartment,terminal,3196,3183,125,121,0.0391113892365,0.995932415519
864691135409937097,path_quartile,0,996,944,80,69,0.0803212851406,0.947791164659
864691135409937097,path_quartile,1,996,987,44,42,0.0441767068273,0.990963855422
864691135409937097,path_quartile,2,995,993,48,47,0.0482412060302,0.997989949749
864691135409937097,path_quartile,3,996,995,25,25,0.0251004016064,0.998995983936
864691135739661169,compartment,internal,432,429,47,46,0.108796296296,0.993055555556
864691135739661169,compartment,soma,36,14,10,6,0.277777777778,0.388888888889
864691135739661169,compartment,terminal,1148,1144,121,119,0.105400696864,0.996515679443
864691135739661169,path_quartile,0,404,375,67,60,0.165841584158,0.928217821782
864691135739661169,path_quartile,1,404,404,41,41,0.101485148515,1
864691135739661169,path_quartile,2,404,404,33,33,0.0816831683168,1
864691135739661169,path_quartile,3,404,404,37,37,0.0915841584158,1
864691135810666525,compartment,internal,1541,1516,143,138,0.0927968851395,0.983776768332
864691135810666525,compartment,soma,22,4,2,1,0.0909090909091,0.181818181818
864691135810666525,compartment,terminal,5697,5635,343,326,0.0602071265578,0.989117079164
864691135810666525,path_quartile,0,1815,1764,190,182,0.104683195592,0.971900826446
864691135810666525,path_quartile,1,1815,1772,122,110,0.067217630854,0.976308539945
864691135810666525,path_quartile,2,1815,1809,115,112,0.0633608815427,0.996694214876
864691135810666525,path_quartile,3,1815,1810,61,61,0.033608815427,0.997245179063
864691136043380566,compartment,internal,315,302,33,31,0.104761904762,0.95873015873
864691136043380566,compartment,soma,29,18,5,3,0.172413793103,0.620689655172
864691136043380566,compartment,terminal,2417,2403,111,107,0.0459247000414,0.99420769549
864691136043380566,path_quartile,0,691,664,58,51,0.0839363241679,0.960926193922
864691136043380566,path_quartile,1,690,679,35,34,0.0507246376812,0.984057971014
864691136043380566,path_quartile,2,690,690,28,28,0.0405797101449,1
864691136043380566,path_quartile,3,690,690,28,28,0.0405797101449,1
