root_id,segment_id,raw_length_um,compressed_length_um,raw_axial_resistance,relative_axial_resistance_error,radius_length_product_error
864691135060651419,5223,11.7150858682,11.7150858682,3.76894013714,-0.689148262177,0
864691135060651419,5224,2.68346045248,2.68346045248,3.16355900325,0,0
864691135060651419,5228,8.24463494537,8.24463494537,9.45979373311,-0.00459560286958,0
864691135060651419,5233,8.13756250001,8.13756250001,10.1032147272,-6.46363625739e-05,0
864691135060651419,5239,10.7495657322,10.7495657322,27.7492593744,-0.0164827208212,0
864691135060651419,5247,12.8665643932,12.8665643932,43.9421974129,-0.00157598794973,8.881784197e-16
864691135060651419,5267,39.581427959,39.581427959,110.460599437,-0.000598030010695,3.5527136788e-15
864691135060651419,5272,14.2019057669,14.2019057669,49.3599105216,-0.00247000921564,-8.881784197e-16
864691135060651419,5275,10.1788084293,10.1788084293,39.1809819659,-0.000312002452784,0
864691135060651419,5280,19.7912392352,19.7912392352,102.755721601,-0.00477304433995,0
864691135060651419,5359,139.069324986,139.069324986,1600.09252003,-0.00191053519845,7.1054273576e-15
864691135060651419,5483,56.3882530812,56.3882530812,428.634366324,-0.00282198522255,-3.5527136788e-15
864691135060651419,5524,66.3049390835,66.3049390835,920.807947432,-0.00261160997357,0
864691135060651419,5527,7.12924843028,7.12924843028,10.0143440677,-7.95408797752e-05,8.881784197e-16
864691135060651419,5537,15.1467907454,15.1467907454,60.7285038617,-0.0309168906045,0
864691135060651419,5553,24.1569168891,24.1569168891,91.2792497504,-0.000254221039146,-1.7763568394e-15
864691135060651419,5579,43.9672790365,43.9672790365,155.581271766,-3.20888204556e-05,-3.5527136788e-15
864691135060651419,5597,28.0901470462,28.0901470462,163.483376225,-0.0025709054793,0
864691135060651419,5640,80.8985850622,80.8985850622,743.702292626,-0.000931533837294,0
864691135060651419,5736,53.3494094107,53.3494094107,697.778972528,-0.00410532200705,-1.7763568394e-15
864691135060651419,5819,19.6466541281,19.6466541281,170.277909235,-0.00496117119739,-8.881784197e-16
864691135060651419,5853,53.5362444873,53.5362444873,606.647085567,-0.000656671385852,1.7763568394e-15
864691135060651419,5882,76.8857511622,76.8857511622,612.326791452,-0.000310556941668,-7.1054273576e-15
864691135060651419,5887,8.88323146405,8.88323146405,22.4393457858,-6.86538445656e-05,0
864691135060651419,5894,12.9814057954,12.9814057954,60.4533134769,-0.0199653673752,-8.881784197e-16
864691135060651419,5906,20.7946482969,20.7946482969,75.4594936931,-0.00205977384998,1.7763568394e-15
864691135060651419,5909,4.36704379653,4.36704379653,12.8950633393,-0.00277132095041,0
864691135060651419,5984,122.406175151,122.406175151,880.291778689,-0.00480855043008,7.1054273576e-15
864691135060651419,6037,10.6465984363,10.6465984363,52.2296171042,-0.0560538713317,0
864691135060651419,6068,65.5725000074,65.5725000074,283.385702954,-0.000305918631034,7.1054273576e-15
864691135060651419,6102,93.3737822864,93.3737822864,715.626118277,-0.00443600998795,0
864691135060651419,6117,25.2164827143,25.2164827143,125.568817378,-0.000277186058288,0
864691135060651419,6132,23.3985619539,23.3985619539,161.928346875,-0.00144846576039,0
864691135060651419,6143,36.3867674276,36.3867674276,446.491468951,-0.00735985384979,-1.7763568394e-15
864691135060651419,6210,31.2355325013,31.2355325013,425.809170532,-0.00406741499026,0
864691135060651419,6262,86.7600308965,86.7600308965,609.057183804,-0.0058544121024,7.1054273576e-15
864691135060651419,6272,16.1454815048,16.1454815048,171.369362051,-0.00207526201667,0
864691135060651419,6286,22.4685715549,22.4685715549,342.911967059,-0.00350228120388,0
864691135060651419,6293,11.6663647444,11.6663647444,193.971497651,-0.0539033352091,0
864691135060651419,6298,9.27543507107,9.27543507107,60.9185337556,-0.0251025537825,4.4408920985e-16
864691135060651419,6339,62.8066076919,62.8066076919,466.297032715,-4.92416416531e-08,0
864691135060651419,6356,39.6830250086,39.6830250086,452.505876064,-0.0154920192064,0
864691135060651419,6387,61.4360032543,61.4360032543,681.890698751,-0.00130910347219,3.5527136788e-15
864691135060651419,6431,49.9466166046,49.9466166046,338.028277954,-0.00652303044475,-7.1054273576e-15
864691135060651419,6446,27.7467767495,27.7467767495,196.814596237,-0.00848488414019,1.7763568394e-15
864691135060651419,6469,44.8046473731,44.8046473731,499.858639784,-0.00168460191519,0
864691135060651419,6498,29.7947145187,29.7947145187,362.647531798,-0.00404808297486,-1.7763568394e-15
864691135060651419,6503,18.4456810327,18.4456810327,77.2571113097,-0.0110265548776,1.7763568394e-15
864691135060651419,6507,14.9381192182,14.9381192182,129.227249091,-0.0501707214194,0
864691135060651419,6544,95.4092769905,95.4092769905,677.148007826,-0.000489974796868,0
864691135060651419,6573,55.6652073459,55.6652073459,491.350298004,-0.00929908426307,0
864691135060651419,6614,72.2183113813,72.2183113813,657.717351246,-0.00212038080877,-3.5527136788e-15
864691135060651419,6618,17.0965351804,17.0965351804,37.6362950038,-0.912018248606,0
864691135060651419,6625,12.362524779,12.362524779,71.3106510502,-1.03779528215e-05,8.881784197e-16
864691135060651419,6636,19.7264088619,19.7264088619,112.455255687,-3.93452567804e-06,-1.7763568394e-15
864691135060651419,6679,85.5699478202,85.5699478202,593.894560875,-0.000237279668983,-7.1054273576e-15
864691135060651419,6716,86.0960407389,86.0960407389,805.816668121,-0.00128836342737,0
864691135060651419,6738,39.9219227073,39.9219227073,249.595295325,-0.00994931111402,3.5527136788e-15
864691135060651419,6764,68.7739288495,68.7739288495,611.035255367,-0.00122666846368,-3.5527136788e-15
864691135060651419,6767,13.9550076094,13.9550076094,16.0734317188,-0.883438563558,-7.1054273576e-15
864691135060651419,6769,5.04036201584,5.04036201584,65.2412993926,-0.121659411879,0
864691135060651419,6776,20.4342405115,20.4342405115,146.844073306,-0.0165856395673,8.881784197e-16
864691135060651419,6823,91.1024131477,91.1024131477,754.541289298,-0.000220395329914,-3.5527136788e-15
864691135060651419,6853,52.7915816881,52.7915816881,419.238907133,-0.00924879038472,3.5527136788e-15
864691135060651419,6855,16.6357081942,16.6357081942,20.5239940704,-0.905292277418,0
864691135060651419,6886,56.3890783077,56.3890783077,366.080840083,-0.000501396346379,7.1054273576e-15
864691135060651419,6906,56.5570086963,56.5570086963,460.610863801,-0.0012211984982,-3.5527136788e-15
864691135060651419,6946,76.4139171535,76.4139171535,600.386313919,-0.00115555620484,3.5527136788e-15
864691135060651419,6948,21.2820914613,21.2820914613,43.8032867672,-0.935202967176,-7.1054273576e-15
