root_id,direct_class,proxy_class,n_contacts
864691135060651419,E,E,74
864691135060651419,E,I,13
864691135060651419,I,E,70
864691135060651419,I,I,172
864691135277186789,E,E,91
864691135277186789,E,I,16
864691135277186789,I,E,48
864691135277186789,I,I,161
864691135324623260,E,E,78
864691135324623260,E,I,14
864691135324623260,I,E,52
864691135324623260,I,I,92
864691135196576298,E,E,81
864691135196576298,E,I,13
864691135196576298,I,E,34
864691135196576298,I,I,74
864691135409937097,E,E,29
864691135409937097,E,I,5
864691135409937097,I,E,27
864691135409937097,I,I,117
864691135739661169,E,E,48
864691135739661169,E,I,10
864691135739661169,I,E,41
864691135739661169,I,I,70
864691135810666525,E,E,61
864691135810666525,E,I,8
864691135810666525,I,E,162
864691135810666525,I,I,216
864691136043380566,E,E,27
864691136043380566,E,I,5
864691136043380566,I,E,25
864691136043380566,I,I,78
