animal,common_mode,signed_mode,signed_energy_fraction_within_animal
1,-0.05680277233385926,0.2799553429295603,0.960459636058893
2,0.04581390707146998,0.06071597670225825,0.637201501845337
3,-0.03870212762223492,0.22484708826881525,0.9712250214784103
4,-0.030818097262004976,0.13556874426167703,0.9508628055840354
5,-0.13790623627522966,0.16451850145978494,0.5873201729989724
6,-0.09742896346706072,0.08949615575709727,0.4576378697356568
