animal,pplus_contrast,pminus_contrast,signed_separation
1,0.15779269590743,-0.238123946922365,0.395916642829795
2,0.075328003215418,-0.0105373544896445,0.0858653577050626
3,0.1316243639569,-0.186357437732959,0.317981801689859
4,0.0740698928271464,-0.117653263941607,0.191723156768753
5,0.0188177131747337,-0.213846582850992,0.232664296025725
6,-0.00560934212556408,-0.132176019377506,0.126566677251942
