task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r1_n750_a500,feedback_only,gaussian_oracle_fullbatch,0.0005344050005078316,0.0,,,
s6100_r1_n750_a500,feedback_only,gaussian_oracle_sgd,0.026241789921186864,0.0,,,
s6100_r1_n750_a500,feedback_only,empirical_split_fullbatch,0.010297838947735727,,,,
s6100_r1_n750_a500,feedback_only,original_scalar,0.03122215997427702,,,,
s6100_r1_n750_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.00048366806004196405,0.002469839993864298,,,
s6100_r1_n750_a500,joint_forward_feedback,gaussian_plugin_sgd,0.02613380691036582,0.002469839993864298,,,
s6100_r1_n750_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005112449871376157,0.0,,,
s6100_r1_n750_a500,joint_forward_feedback,gaussian_oracle_sgd,0.02590655500534922,0.0,,,
s6100_r1_n750_a500,joint_forward_feedback,empirical_split_fullbatch,0.010394495911896229,,,,
s6100_r1_n750_a500,joint_forward_feedback,original_scalar,0.03084971196949482,,,,
s6100_r2_n000_a000,feedback_only,gaussian_plugin_fullbatch,0.0005822399398311973,0.0033840590622276068,,,
s6100_r2_n000_a000,feedback_only,gaussian_plugin_sgd,0.03649210708681494,0.0033840590622276068,,,
s6100_r2_n000_a000,feedback_only,gaussian_oracle_fullbatch,0.0005917049711570144,0.0,,,
s6100_r2_n000_a000,feedback_only,gaussian_oracle_sgd,0.03670039004646242,0.0,,,
s6100_r2_n000_a000,feedback_only,empirical_split_fullbatch,0.021427322062663734,,,,
s6100_r2_n000_a000,feedback_only,original_scalar,0.030622443999163806,,,,
s6100_r2_n000_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005941040581092238,0.0033785320119932294,,,
s6100_r2_n000_a000,joint_forward_feedback,gaussian_plugin_sgd,0.03656613396015018,0.0033785320119932294,,,
s6100_r2_n000_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006414039526134729,0.0,,,
s6100_r2_n000_a000,joint_forward_feedback,gaussian_oracle_sgd,0.03660744603257626,0.0,,,
s6100_r2_n000_a000,joint_forward_feedback,empirical_split_fullbatch,0.010783922974951565,,,,
s6100_r2_n000_a000,joint_forward_feedback,original_scalar,0.03116663300897926,,,,
s6100_r2_n000_a250,feedback_only,gaussian_plugin_fullbatch,0.0005821919767186046,0.0030549780931323767,,,
s6100_r2_n000_a250,feedback_only,gaussian_plugin_sgd,0.03615862096194178,0.0030549780931323767,,,
s6100_r2_n000_a250,feedback_only,gaussian_oracle_fullbatch,0.0006126470398157835,0.0,,,
