index,arm,depth,seed,epochs_run,best_epoch,cap,ordinary_stopping_reached
0,broadcast_autograd_bp_recipe,3,10200,3810,3780,6000,True
1,broadcast_autograd_bp_recipe,3,10201,4555,4525,6000,True
2,broadcast_autograd_bp_recipe,3,10202,3426,3396,6000,True
3,broadcast_autograd_bp_recipe,3,10203,5918,5888,6000,True
4,broadcast_autograd_bp_recipe,3,10204,5993,5963,6000,True
5,broadcast_autograd_bp_recipe,3,10205,4288,4258,6000,True
6,broadcast_autograd_bp_recipe,3,10206,3363,3333,6000,True
7,broadcast_autograd_bp_recipe,3,10207,7217,7187,24000,True
8,broadcast_autograd_bp_recipe,3,10208,5491,5461,6000,True
9,broadcast_autograd_bp_recipe,3,10209,3082,3052,6000,True
10,broadcast_autograd_localca_recipe,3,10200,5579,5549,6000,True
11,broadcast_autograd_localca_recipe,3,10201,6001,5971,24000,True
12,broadcast_autograd_localca_recipe,3,10202,6764,6734,24000,True
13,broadcast_autograd_localca_recipe,3,10203,5621,5591,24000,True
14,broadcast_autograd_localca_recipe,3,10204,6782,6752,24000,True
15,broadcast_autograd_localca_recipe,3,10205,5115,5085,24000,True
16,broadcast_autograd_localca_recipe,3,10206,5892,5862,24000,True
17,broadcast_autograd_localca_recipe,3,10207,6639,6609,24000,True
18,broadcast_autograd_localca_recipe,3,10208,6776,6746,24000,True
19,broadcast_autograd_localca_recipe,3,10209,7891,7861,24000,True
20,exact_autograd_bp_recipe,1,10200,558,528,24000,True
21,exact_autograd_bp_recipe,1,10201,414,384,24000,True
22,exact_autograd_bp_recipe,1,10202,438,408,24000,True
23,exact_autograd_bp_recipe,1,10203,484,454,24000,True
24,exact_autograd_bp_recipe,1,10204,746,716,24000,True
25,exact_autograd_bp_recipe,1,10205,118,88,24000,True
26,exact_autograd_bp_recipe,1,10206,511,481,24000,True
27,exact_autograd_bp_recipe,1,10207,551,521,24000,True
28,exact_autograd_bp_recipe,1,10208,110,80,24000,True
29,exact_autograd_bp_recipe,1,10209,409,379,24000,True
30,exact_autograd_bp_recipe,3,10200,4327,4297,24000,True
31,exact_autograd_bp_recipe,3,10201,5039,5009,24000,True
32,exact_autograd_bp_recipe,3,10202,5673,5643,24000,True
33,exact_autograd_bp_recipe,3,10203,5569,5539,24000,True
34,exact_autograd_bp_recipe,3,10204,8763,8733,24000,True
35,exact_autograd_bp_recipe,3,10205,5767,5737,24000,True
36,exact_autograd_bp_recipe,3,10206,4455,4425,24000,True
37,exact_autograd_bp_recipe,3,10207,5984,5954,24000,True
38,exact_autograd_bp_recipe,3,10208,5499,5469,24000,True
39,exact_autograd_bp_recipe,3,10209,4727,4697,24000,True
40,path_transport,3,10200,5648,5618,24000,True
41,path_transport,3,10201,8255,8225,24000,True
42,path_transport,3,10202,7667,7637,24000,True
43,path_transport,3,10203,9674,9644,24000,True
44,path_transport,3,10204,8615,8585,24000,True
45,path_transport,3,10205,6728,6698,24000,True
46,path_transport,3,10206,7996,7966,24000,True
47,path_transport,3,10207,9555,9525,24000,True
48,path_transport,3,10208,7198,7168,24000,True
49,path_transport,3,10209,7435,7405,24000,True
50,per_soma_shared,3,10200,5579,5549,24000,True
51,per_soma_shared,3,10201,6370,6340,24000,True
52,per_soma_shared,3,10202,6912,6882,24000,True
53,per_soma_shared,3,10203,6050,6020,24000,True
54,per_soma_shared,3,10204,7310,7280,24000,True
55,per_soma_shared,3,10205,5038,5008,24000,True
56,per_soma_shared,3,10206,5899,5869,24000,True
57,per_soma_shared,3,10207,6871,6841,24000,True
58,per_soma_shared,3,10208,6563,6533,24000,True
59,per_soma_shared,3,10209,7638,7608,24000,True
