index,arm,depth,seed,epochs,best_epoch,cap,ordinary_stopping_reached,restored_epoch,final_equals_best,private_loader_rng_saved,checkpoint_sha256,execution_sha256,config_sha256,training_summary_sha256
0,broadcast_autograd_bp_recipe,3,10200,3810,3780,6000,True,0,True,True,29e6710ff91bb22221f9efa624e73803cd9b4931820ebd047a60ae5fd29c5ba0,e2d8726a4e28c74802003f89df79f392ee43e9a0dfbab31aa3caddf94f131139,589f17b1df853fd2b1b7159616eed1a9d480f377fd796421b6bef3aee184f447,a5dc8a6a3938c572e3dcdabb39764a261371a578c7a9f63e474793127971a737
1,broadcast_autograd_bp_recipe,3,10201,4555,4525,6000,True,0,True,True,2e5efbabcc83c63d4b4c1ab377e44207f40fb5b1cee44a3f44369a0d9b2cf222,178f10cb93595534a8d851feb7d40426e114bf3b42af309226d0ac0aea686c76,3a5eaae8b3d68384dfddbdba1965778d65105e4a6026e31aa6add4d3abaa9cbc,c61d05be16d588f9a2e1bd0c220d50981afe150b742cc1c8c23acc52663e026f
2,broadcast_autograd_bp_recipe,3,10202,3426,3396,6000,True,0,True,True,3579e71e68be7f3831aabdeea58337c90a4aeaf50d1da76c51500bddfec7a772,287a4a2e361a29c92b8a353b60d9b87a8be8bd0f696ffa1441cffa3aa2dbcf23,3c73099f10591c560e83d12b1ec531a5e8d32dee0fe778cfa4906ec2e1649733,693be6d0acb570bfe820904ad1d24723484effe684829bf3a75ac4f8e6709af6
3,broadcast_autograd_bp_recipe,3,10203,5918,5888,6000,True,0,True,True,458fa83065a3ecf01fa25841abb3b73fc8bd22a435150600800480c2b2234959,e3f60e0b386fc3fd23380ef15ad311d89165ae604eb0c06659bf2811d2d1199b,a8773b1d171ba297807e8ce489bc6c2588e088b1957bf73fe7c91b8542cc6ec0,a365f9cf6dc806b98c07dc2b04ef38fa0479bf9a217daed200462e7536fec9a6
4,broadcast_autograd_bp_recipe,3,10204,5993,5963,6000,True,0,True,True,799c9ac33ff9dd7b915f8e300d900e9aefeb2ac21abcccf5694eec8e5e6f93de,602f4bf8e6c1ee57ea8908d6dcb3ac6c1aa9e498f72e2b26cae338cb2b74c2a6,6fc656f17a42fb6380e5cfad144675fae9ac21d83046a5375a6761342e59a928,13e968ffa3925befdefea061fe5bfb44fe1b503e339901f0c851bea82a2fbea5
5,broadcast_autograd_bp_recipe,3,10205,4288,4258,6000,True,0,True,True,a05cd82e8c7e76c90841ca91a953c19fae8cd3802fea528b9a6f253870ec5c5b,c17341a9063326f80aef86418ccf2abf0ec7897a0bfbd5418fb14cebefbe0d51,59074abe53146c0644f39993804c0b7f00e1f8b784b916551c80c8a841e1d39d,21e2c248dcb91e1c18f7ce5abc4272bce13815b8c6ecf09dfdf6f95158fcc2a2
6,broadcast_autograd_bp_recipe,3,10206,3363,3333,6000,True,0,True,True,2f15be7952c431d6ca9eee287dc0d8b07fc75e29b8b1d12d7c2c5012457b3238,53144f3e92a3f561143b1a6045d51d3320513163eda87453bd288123b34f7476,10f562561a0d8a997db375c16fafe05bf9922a8f33109239f600d264ce39552a,3b024cff3d4fd9d6c7949c52bb92db5dcdd79205f7be05cf04b9ef0c999ba4e4
7,broadcast_autograd_bp_recipe,3,10207,7217,7187,24000,True,6000,True,True,ef37daa247485036aeed62703a1e1d4661a2754355c5256a14163ed1ca23f4d3,74e0b0bfd0e54f9f63c87d8813fbf969b48bb895424aff2501305c4d4b0ef860,ef70f8f544d5f485bfac43bca1c4c5802ffac569c34dcb2d5792fcdb93a9c3ee,933875887f2297efac83ea6ca1995948eee2ff2a9fec249345fd1a0186aeff84
8,broadcast_autograd_bp_recipe,3,10208,5491,5461,6000,True,0,True,True,be1e82d48634cb1a23123eb943c16be51cd73facde59301b834e875f5ddfc21f,34280e56ce4dbd4a86f3a9bb8de2086fa95de8527a8dd5dd60ac05585d3e2e51,efd99278648892f64867d6ee5f02dd5d019096b728de14eff38a0c998d159c50,87408363361135ac4807543df8e58f93a946db4ee9c7a1fd43cba859f1dd4382
9,broadcast_autograd_bp_recipe,3,10209,3082,3052,6000,True,0,True,True,e896f505227bdb65bd03e5ca77ed3eecb40091e09a287ebc658063cb4e3278bb,4ba25423a86da73ad6be104b7235f05cc5c627b8406bfb5c4c05b7e50914963a,3fcdf93b9104dd2cf89134171bfa596a2fcf6724125f3379e23f808aed6d03d1,c2dcc7755eea4e44d084a1c61d6c13db922f2c2a4302831159af7d920b5c935b
