budget,metric,contrast,mean,ci95_low,ci95_high,n_seeds,positive_seeds,negative_seeds,units
180,test_accuracy,depth_gain_exact_bp,30.855000019073486,30.45297448337078,31.31002540886402,10,10,0,percentage points
180,test_accuracy,localca_path_minus_shared,10.957000851631165,10.342001304030418,11.579025343060493,10,10,0,percentage points
180,test_accuracy,bp_exact_minus_broadcast,0.6740003824234009,0.236999973654747,1.1600005626678467,10,8,2,percentage points
180,test_accuracy,broadcast_bp_minus_localca_recipe,13.448999524116516,12.89400041103363,14.006023362278938,10,10,0,percentage points
180,test_loss,depth_gain_exact_bp,-0.28992781341075896,-0.2968511466681957,-0.28315025918185716,10,0,10,nats
180,test_loss,localca_path_minus_shared,-0.07238419651985169,-0.07816140048205851,-0.06633172929286957,10,0,10,nats
180,test_loss,bp_exact_minus_broadcast,-0.07289656698703766,-0.08222468338906766,-0.06519570820033552,10,0,10,nats
180,test_loss,broadcast_bp_minus_localca_recipe,-0.11967512965202332,-0.12260512158274652,-0.11675739973783493,10,0,10,nats
600,test_accuracy,depth_gain_exact_bp,38.2370001077652,38.01400005817413,38.46299949288368,10,10,0,percentage points
600,test_accuracy,localca_path_minus_shared,-1.5340012311935425,-1.8260002136230469,-1.2440025508403778,10,0,10,percentage points
600,test_accuracy,bp_exact_minus_broadcast,0.4580003023147583,0.38399994373321533,0.527999997138977,10,10,0,percentage points
600,test_accuracy,broadcast_bp_minus_localca_recipe,1.5779989957809448,1.4459991306066513,1.7039984613656998,10,10,0,percentage points
600,test_loss,depth_gain_exact_bp,-0.5633779004216194,-0.567224871981889,-0.5592373183555902,10,0,10,nats
600,test_loss,localca_path_minus_shared,-0.02164354920387268,-0.029381174221634863,-0.014192665107548238,10,0,10,nats
600,test_loss,bp_exact_minus_broadcast,-0.07417939603328705,-0.0824785314500332,-0.06608003614470362,10,0,10,nats
600,test_loss,broadcast_bp_minus_localca_recipe,-0.1110905334353447,-0.11768434651196004,-0.10495941288769246,10,0,10,nats
6000,test_accuracy,depth_gain_exact_bp,38.86900186538696,38.63997642695904,39.115002155303955,10,10,0,percentage points
6000,test_accuracy,localca_path_minus_shared,0.1640009880065918,0.13800084590911865,0.18800139427185059,10,10,0,percentage points
6000,test_accuracy,bp_exact_minus_broadcast,0.14000296592712402,0.10600388050079346,0.17500223219394684,10,10,0,percentage points
6000,test_accuracy,broadcast_bp_minus_localca_recipe,0.029998421669006348,-0.0020009279251098633,0.06399869918823242,10,7,3,percentage points
6000,test_loss,depth_gain_exact_bp,-0.6549074809037847,-0.655929361068338,-0.653961853409346,10,0,10,nats
6000,test_loss,localca_path_minus_shared,-0.010653641319368034,-0.012412740337313152,-0.00919667466165265,10,0,10,nats
6000,test_loss,bp_exact_minus_broadcast,-0.012913031407515518,-0.016822571634547787,-0.009389437494246523,10,0,10,nats
6000,test_loss,broadcast_bp_minus_localca_recipe,0.0006867367774248123,-0.0028403930575586858,0.00476655030157417,10,4,6,nats
9674,test_accuracy,depth_gain_exact_bp,38.86900186538696,38.63997642695904,39.115002155303955,10,10,0,percentage points
9674,test_accuracy,localca_path_minus_shared,0.1500016450881958,0.12197622656822207,0.17900049686431885,10,10,0,percentage points
9674,test_accuracy,bp_exact_minus_broadcast,0.13600289821624756,0.10200262069702148,0.17200231552124023,10,10,0,percentage points
9674,test_accuracy,broadcast_bp_minus_localca_recipe,0.022998452186584473,-0.01800239086151123,0.0589984655380249,10,7,3,percentage points
9674,test_loss,depth_gain_exact_bp,-0.6549308997549815,-0.6559881608403522,-0.6539646413235459,10,0,10,nats
9674,test_loss,localca_path_minus_shared,-0.010240536733181215,-0.012340713248850079,-0.00839952737893327,10,0,10,nats
9674,test_loss,bp_exact_minus_broadcast,-0.012681323938886635,-0.016696574271918507,-0.00901173433841905,10,0,10,nats
9674,test_loss,broadcast_bp_minus_localca_recipe,0.001465790905058384,-0.002344835803378373,0.0060833496600389446,10,4,6,nats
