arm,depth,seed,epoch,test_accuracy_uniform_h200,test_cross_entropy_uniform_h200,best_validation_loss_uniform_h200,test_accuracy_historical,test_cross_entropy_historical,best_validation_loss_historical,test_accuracy_difference,test_cross_entropy_difference,best_validation_loss_difference
broadcast_autograd_bp_recipe,3,10200,180,0.91239994764328,0.43899062275886536,0.4362542863845825,0.9124999642372131,0.43806853890419006,0.4353446551322937,-0.00010001659393310547,0.000922083854675293,0.0009096312522888228
broadcast_autograd_bp_recipe,3,10200,600,0.9896000027656555,0.1778668612241745,0.17845846395492554,0.9888999462127686,0.1732073724269867,0.17363290441036225,0.0007000565528869629,0.004659488797187805,0.00482555954456329
broadcast_autograd_bp_recipe,3,10201,180,0.9079999923706055,0.43516823649406433,0.43483135118484495,0.9133999943733215,0.42867138981819153,0.42815827407836915,-0.0054000020027160645,0.006496846675872803,0.0066730771064758
broadcast_autograd_bp_recipe,3,10201,600,0.9900999665260315,0.15172812342643738,0.15033756647109986,0.9896000027656555,0.15388698875904083,0.15239297771453858,0.0004999637603759766,-0.0021588653326034546,-0.0020554112434387206
broadcast_autograd_bp_recipe,3,10202,180,0.9056999683380127,0.44130808115005493,0.4403665358543396,0.9056999683380127,0.4400576949119568,0.43929953784942627,0.0,0.0012503862380981445,0.0010669980049133332
broadcast_autograd_bp_recipe,3,10202,600,0.9883999824523926,0.15895290672779083,0.15721469256877899,0.9874999523162842,0.15957807004451752,0.15807922997474672,0.0009000301361083984,-0.0006251633167266846,-0.0008645374059677302
broadcast_autograd_bp_recipe,3,10203,180,0.9127999544143677,0.43687987327575684,0.4346391592979431,0.9150999784469604,0.43384072184562683,0.4315956311225891,-0.0023000240325927734,0.003039151430130005,0.0030435281753540266
broadcast_autograd_bp_recipe,3,10203,600,0.9893999695777893,0.17431321740150452,0.17339816992282867,0.9892999529838562,0.17141085863113403,0.17065254249572753,0.00010001659393310547,0.0029023587703704834,0.0027456274271011327
broadcast_autograd_bp_recipe,3,10204,180,0.9101999998092651,0.44066718220710754,0.43666798548698427,0.9115999937057495,0.44106581807136536,0.43720917501449585,-0.001399993896484375,-0.0003986358642578125,-0.0005411895275115874
broadcast_autograd_bp_recipe,3,10204,600,0.9873999953269958,0.17495694756507874,0.17041874442100524,0.988099992275238,0.16627319157123566,0.16175674934387207,-0.0006999969482421875,0.008683755993843079,0.008661995077133167
