regime,architecture,credit,depth,reference_depth,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_test_auc,ci95_low_test_auc,ci95_high_test_auc
aligned,all_active_star,full_bp,1,1,10,0.6096799791,0.6070099831,0.6121199667,0.6519059539,0.6497111508,0.6537608089
aligned,all_active_star,full_bp,2,2,10,0.6097799838,0.6069999814,0.6124099731,0.6521269202,0.6498140354,0.6541553025
aligned,all_active_star,full_bp,3,3,10,0.6100699902,0.6071099877,0.6129199922,0.6521945655,0.6498249888,0.654301272
aligned,point_mlp_active,full_bp,0,3,10,0.9860999763,0.9794599771,0.9908999622,0.9965349972,0.9933079958,0.998449768
aligned,point_mlp_total,full_bp,0,3,10,0.9901899695,0.9877699673,0.992539978,0.9984302819,0.9978935395,0.9989625013
aligned,serial_tree,full_bp,1,1,10,0.6096299768,0.6069299758,0.6121799827,0.6517524183,0.6495883122,0.6536483435
aligned,serial_tree,full_bp,2,2,10,0.6752199829,0.6722799838,0.6781699836,0.7388694227,0.7364218962,0.7411599479
aligned,serial_tree,full_bp,3,3,10,0.9181799769,0.9143699765,0.9223002422,0.9512035072,0.9485429181,0.9541048779
aligned,serial_tree,local_path,1,1,10,0.6082799912,0.6050699949,0.6114199759,0.650599587,0.6480873356,0.6528054255
aligned,serial_tree,local_path,2,2,10,0.6719999969,0.6690899908,0.6746999979,0.7348329067,0.7322226444,0.7372627914
aligned,serial_tree,local_path,3,3,10,0.8873299837,0.8816299914,0.8923299789,0.9407239735,0.9381784718,0.9432773888
aligned,serial_tree,local_shared,1,1,10,0.6082899868,0.6050297327,0.6114699841,0.6506716848,0.6481060885,0.6529635254
aligned,serial_tree,local_shared,2,2,10,0.6682899833,0.6656199872,0.67123999,0.7306255281,0.7275213222,0.7335940201
aligned,serial_tree,local_shared,3,3,10,0.7777599752,0.7713797274,0.7838099718,0.8639725089,0.8585118174,0.8692979214
aligned,serial_tree,soma_broadcast_bp,1,1,10,0.6098599792,0.6069999754,0.6126299798,0.6522061944,0.6498062789,0.6543225646
aligned,serial_tree,soma_broadcast_bp,2,2,10,0.6763899803,0.6734599829,0.6795599818,0.7395762205,0.7369181097,0.7421699181
aligned,serial_tree,soma_broadcast_bp,3,3,10,0.9118099809,0.9095599711,0.9142399907,0.9618697107,0.9603482831,0.9633668661
aligned,serial_tree,soma_broadcast_matched,1,1,10,0.6079399943,0.6050299823,0.6106099963,0.650681591,0.6481123383,0.6529749215
aligned,serial_tree,soma_broadcast_matched,2,2,10,0.6682899773,0.6655299723,0.6712399781,0.7308140159,0.7277656814,0.7337323634
aligned,serial_tree,soma_broadcast_matched,3,3,10,0.7771299779,0.7712697273,0.7827999771,0.8638136148,0.8585430074,0.8691114306
rewired_tree,all_active_star,full_bp,1,1,10,0.6106699884,0.6077799916,0.6131799877,0.6547463119,0.6524425843,0.6568005246
rewired_tree,all_active_star,full_bp,2,2,10,0.6110699892,0.6081899822,0.6135899962,0.6547623754,0.6524305402,0.6568148553
rewired_tree,all_active_star,full_bp,3,3,10,0.6110099912,0.6081197387,0.6135602465,0.6547473729,0.6524175531,0.6567951794
rewired_tree,serial_tree,full_bp,1,1,10,0.6109499872,0.6080999911,0.6133899808,0.6547321021,0.6524645479,0.656747261
rewired_tree,serial_tree,full_bp,2,2,10,0.6058199882,0.6025399923,0.6090799868,0.6441532314,0.6415507138,0.6466852684
rewired_tree,serial_tree,full_bp,3,3,10,0.606679982,0.6025999844,0.6112702304,0.6478282094,0.6445329308,0.6512721781
rewired_tree,serial_tree,local_path,1,1,10,0.6101099849,0.6071899891,0.6128399849,0.6530449033,0.6505377363,0.6551593484
rewired_tree,serial_tree,local_path,2,2,10,0.6041799843,0.6001599906,0.6083699822,0.6440216124,0.6407673953,0.64719392
rewired_tree,serial_tree,local_path,3,3,10,0.6023799777,0.5983799696,0.60734998,0.643450743,0.6399410909,0.647173238
rewired_tree,serial_tree,local_shared,1,1,10,0.6102399885,0.6072299898,0.6130599856,0.6532289982,0.6506590085,0.6554795205
rewired_tree,serial_tree,local_shared,2,2,10,0.6050299883,0.6014099896,0.608529985,0.644991821,0.6419342279,0.6479405039
rewired_tree,serial_tree,local_shared,3,3,10,0.6024699807,0.5985599816,0.6072699667,0.6429487348,0.6393892885,0.6467856169
rewired_tree,serial_tree,soma_broadcast_bp,1,1,10,0.6110599816,0.6082299888,0.6135199785,0.6547457755,0.6524443328,0.6567717038
rewired_tree,serial_tree,soma_broadcast_bp,2,2,10,0.6071399868,0.6035399854,0.6104799926,0.6451798856,0.6425901483,0.6475808978
rewired_tree,serial_tree,soma_broadcast_bp,3,3,10,0.6055699825,0.6014699815,0.610529983,0.6464549005,0.6430452883,0.6499896944
rewired_tree,serial_tree,soma_broadcast_matched,1,1,10,0.6105899811,0.6076999784,0.6132699847,0.6530689895,0.6505890112,0.6552028883
rewired_tree,serial_tree,soma_broadcast_matched,2,2,10,0.6047399879,0.6011699855,0.6083999872,0.6449025571,0.6418892068,0.6478417197
rewired_tree,serial_tree,soma_broadcast_matched,3,3,10,0.6023799717,0.5984299776,0.6071899712,0.6429557145,0.6394186857,0.6468094271
