cohort,run_dir,config_index,seed,regime,mechanism,method,transport,depth,branch_factors,signal_delta,train_gain_sigma,test_gain_sigma,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood,source,architecture,credit,reference_depth
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,10,10200,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,d156b755a8b396001d2f609c1a22e8c42a77fe3cee57788f8f4541ec180cca6f,30f13833924b182c57a76c0e6b8e6a1242af243b41f622702ed465b2283c088b,0,False,0.6863999963,0.6802999973,0.6811000109,0.7496685386,0.7449296117,0.7436250448,-0.5919043422,-0.5959555507,-0.5963273048,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,11,10201,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,c6df86f3964ada779b96e9e4e0383849ad04142110cdc4ba4c901fe2deecda59,04bbbcec50870ce34a23ccd0146bedae33e4787f0763f2b16aecde64b671cddd,0,False,0.6861999631,0.682099998,0.674399972,0.7525324821,0.7445166111,0.7411543727,-0.5899170041,-0.596069634,-0.5980668068,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,12,10202,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,4dff82b2659a3bf59be9f5690920459b4a47937bc8d2d894ee906807bb48941c,685caf5b7a01155e056a2b01a270f8d20fbdd58a744bf3903757dad036395beb,0,False,0.6906999946,0.6746000051,0.6761999726,0.7525266409,0.7401272058,0.7402569652,-0.5891556144,-0.5989509821,-0.6003064513,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,13,10203,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,02deb64eb4e475dddd6fbe001b7f32144bb73587dfef5f5d2c4ebd107f16c249,1546a7dc34f261a3a36aa5ed0c4dbffe27776fde05d3700ac16980e70067e5ab,0,False,0.6805999875,0.679099977,0.6674999595,0.748493433,0.7422248125,0.7378710508,-0.592661798,-0.5983483791,-0.5999520421,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,14,10204,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,ab51d7cc7a86dcb08772314ce3be695e9fda63169aac05f7424f966f771997b4,cd14f28e53acc77ead84769191020a466dbaf8f3c4d9e721c860f99eca64be79,0,False,0.6865999699,0.670699954,0.6696000099,0.7500037551,0.7396661043,0.7309682965,-0.5922634006,-0.598680377,-0.6068451405,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,15,10205,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,341709f16470217036c2bee7e72efeb7ac54579c7dbda2cf881ba5695e07dba4,2089bf3b61f375cf22884814df053002f5cf3e3233463776dd86722a1854f082,0,False,0.6746999621,0.6742999554,0.6825000048,0.7469173074,0.7314020991,0.7445926666,-0.592936039,-0.6069555283,-0.5969203711,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,16,10206,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,a78b60b7434f593fcb1c1535f732be366239173ddd2d5a6a9a9890298c36a200,7e7a1ec8473a1a201a86299538017fa69ea878ab767ee93a3fed8e1484498609,0,False,0.6780999899,0.6782999635,0.6779999733,0.7397089601,0.7410262227,0.7369359732,-0.6006085873,-0.5993331671,-0.6037217379,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,17,10207,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,c49b4ac776806ad6725324a7b5e470a89f1b2980589dd07da4d0668ef9116fae,dd23e19b0f0f1982ec0cdc83e6d0d8b2a0d3bc79755d3e6b83e82a4672ba9b37,0,False,0.6830999851,0.6784999967,0.6724999547,0.7486377358,0.740547657,0.734803617,-0.592618227,-0.600494802,-0.6046518683,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,18,10208,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,8c66a5d0349339ca5d30db2ee81616b36155229bdcd4dd9574736c539d045e37,bb643926c9d36f6cfb41667fbda12e43810964f2325e27b42fbaeaad6a51fc5b,0,False,0.6848999858,0.6700999737,0.679099977,0.7446842194,0.7333377004,0.7398009896,-0.5972206593,-0.6059262753,-0.5996024609,frozen_reference,serial_tree,full_bp,2
aligned_shunting_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_shunting_bp_20260812005127,19,10209,aligned,shunting,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,3b37eb8176f60f2f17226c021ab4ecbea19b82db71113cb38cf6b77028d68826,3000912daf4ad7512de568748aea4c0cbaa92913c80e074d8abaa2fe231a3a90,0,False,0.6728000045,0.675999999,0.671299994,0.7397467494,0.7367088199,0.7386852503,-0.6012318134,-0.6018984318,-0.6003120542,frozen_reference,serial_tree,full_bp,2
