source,cohort,run_dir,config_index,seed,regime,architecture,credit,depth,reference_depth,branch_factors,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,0,10200,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,410a87701ec39aa071d1fd7aaf785fe6bad52cd5857032b18a79935a3e4ff5c5,be631080e2ecde6cee430f93e1f2e540f164ae0352e165967a4f0e09963e9803,0,False,0.6101999879,0.6097999811,0.6062999964,0.6601700783,0.6585880518,0.6502136588,-0.6521582603,-0.6526408195,-0.6570590734
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,1,10201,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,6bd49b4fbdadfe4cc3ac38f70b81d8fd99ac7990263050378a6806c0c224998c,785dbe75a5f3a3e517622b7f8f5d427a9d610dbef4812c1f2db6b369cfc82832,0,False,0.6213999987,0.611199975,0.6126999855,0.6720121503,0.6545902491,0.6548045874,-0.6457382441,-0.6555306315,-0.6556178331
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,2,10202,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,e9eb5622d62f5701bda2cd07aab62635ba8dd4bbbae1056181f53162d4759700,5b111bec02217535c48c6d9de8a6bdf5281ac5784aafa18b880a1d18cf0b0a77,0,False,0.6122999787,0.6114999652,0.6150999665,0.6602600217,0.6539797187,0.6554216146,-0.6519711614,-0.6557238102,-0.6556223631
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,3,10203,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,17582f47e1ab5d0396f3c8c5c0d5019e8462561fb1a6c41b6b09a00c7d224cb6,b3645d96ad102b6783016243c34f72dc686d03aae73bdda5501e2c2b6ad34314,0,False,0.6211999655,0.613499999,0.6110000014,0.6651371717,0.6597208977,0.6515570879,-0.6499782801,-0.6535087824,-0.6569363475
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,4,10204,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,8500707ffbd98b316405b36f709870c06a7f0888b41877bb45af3ff3502b531a,d22fed58a1317b65fd502c9d9cae6e07313524118800ab48e5d5ae30c1a4e69e,0,False,0.6261999607,0.6112999916,0.6008999944,0.6696222425,0.6537073851,0.6442562938,-0.6484459639,-0.6558839679,-0.66035074
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,5,10205,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,bff54dab75f506f70d114bfe96e64e94bc99e95b66ae534435b2bc7649dce212,d1366ed5720fec6862653d1d787d0e79e4c189b66f90a0f1791ac8e3e4453b7a,0,False,0.6126999855,0.5992999673,0.6092999578,0.65938586,0.6432592869,0.6543943882,-0.6528866291,-0.6603736877,-0.6555101871
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,6,10206,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,25c3f8cd08239eacc65a155d8a34dd2f176760dea288cba44662d574bd4aad03,643030c8fc0a9eec1657123f1edb527138f568384730e24b82fc1eb6945da29b,0,False,0.6100000143,0.6104999781,0.6096999645,0.6567904949,0.6517968774,0.6539714932,-0.6534648538,-0.6564913988,-0.65519768
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,7,10207,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,32c9d394689f5bfbccc55dd0b1256667a4b7d99d25389eb5c6110872237de304,1877e392548e4bb0690ae0c18cd1fb0fcdd316f3eb7909d7d92fc393ccd1c20b,0,False,0.6201999784,0.6166999936,0.6093999743,0.6616022587,0.6595888734,0.6488389969,-0.6514834762,-0.6520225406,-0.6587873101
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,8,10208,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,d418a92f755302dc935542a7a908318d81c2df44a54ccc9032c9e17d061e57e2,294964606b2a308004560b9e468f6bafbfee82816ae1e0a4f60d0f38b8baa5da,0,False,0.6171999574,0.6103999615,0.6154999733,0.6649444103,0.6490439177,0.6544935107,-0.6495990157,-0.6589421034,-0.6555844545
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,9,10209,aligned,all_active_star,full_bp,1,1,8,66178,66178,14336,21760,2944,5acec18e4e36e73e47ee85e9b0f95be94baba857351db399198fbd0cce20700b,fda28b4d3eab62dc0f5108b3e24b9ebcae580912272357b42ee796b307d141e0,0,False,0.6168999672,0.6110000014,0.6068999767,0.6566213369,0.6521898508,0.6511079073,-0.6547210813,-0.6563470364,-0.6565092206
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,10,10200,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,9a5e64e8994c8dfe7b0075199b7ea0ef9c0561ecdaeb05424c30704bc33f2fc4,474da95f996c5e9979dbac3ddb46ba6199d50328674ce3228a508da2de7e6b80,0,False,0.6104999781,0.6103000045,0.6065999866,0.6601803303,0.658627212,0.6501352191,-0.6521487832,-0.6525736451,-0.6570392847
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,11,10201,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,46d456dedf033d3aa57a3ff30250106516b2a7530915e1ac9d1142c177b5674d,8686838ec49a15abc3f9ebc5d9aebd8dc696b50caf45bf46182f652650c35efd,0,False,0.6216999888,0.6110000014,0.6128999591,0.6719988585,0.6544395685,0.6548324227,-0.6457228661,-0.6555693746,-0.6555819511
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,12,10202,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,138b2f792873945e2b09e5f83bd002d021f989d18efd390e7b143ca10cad750e,b4851e6318cf59d6bccb7fc06476dcaff58b009ef34f08dcef83825f123fd62d,0,False,0.6150999665,0.6128000021,0.6171000004,0.6639451385,0.6549668908,0.6562935114,-0.6495763659,-0.6551989913,-0.6552595496
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,13,10203,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,2fd7cd7ca2ec12f8571ba99f510d2c9955b3d4e41929089f41c054542b282732,7de45b5ffd41a8b2ad2ab9b53f17f6127cd3006cb3e3ef72fe7b182d87bd3085,0,False,0.6214999557,0.613499999,0.6115999818,0.6650736332,0.6595762968,0.651397109,-0.6500127912,-0.6535562873,-0.6570221782
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,14,10204,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,45163a3ddbbbe88af23d0716594ef945874218262e31f1703c034cab9b5803dd,84c24d8eb3971e54221641fd9e0b1e323721e5a0fb36a4b7646b881038ca4d30,0,False,0.6243000031,0.611899972,0.6006000042,0.6696608067,0.6538425088,0.644313693,-0.6484283805,-0.6558358669,-0.6603061557
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,15,10205,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,7431357974d7472250bd5796bb878276c5c6189fc08869a8286d66202846b23f,4318189b78d7c575ca142ef52d185710a3bca8d42519ced7c68bb824726299bb,0,False,0.613599956,0.6022999883,0.6103000045,0.6621864438,0.6448029876,0.6558406353,-0.6513086557,-0.6598871946,-0.6548377872
new_control,aligned_all_active_star_bp,point_dendrite_credit_runs/journal_point_credit_aligned_all_active_star_bp_20260813003554,16,10206,aligned,all_active_star,full_bp,2,2,2x3,66178,66178,14336,21760,2944,418fe3d029968169fc654a0036ac562d229331937a46cdc50a557b634c9ca083,951b458602aae83e509ed49c30373dca799a956ad9a47a0276db372d31c7156d,0,False,0.6092999578,0.6093999743,0.6094999909,0.6568427086,0.6518261433,0.6539359093,-0.653450191,-0.6564475894,-0.6552137136
