contrast,family,detail,left,right,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,negative_pairs,ties,exact_sign_flip_p_two_sided
soma_broadcast_minus_local_shared__aligned__d2,eligibility,"autograd eligibility - LocalCA eligibility at shared soma credit, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""aligned""}",10,0.008099997046,0.007339996089,0.008909994359,10,0,0,0.001953125
matched_broadcast_minus_local_shared__aligned__d2,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA shared, LocalCA optimizer matched, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""aligned""}",10,-5.957911986e-09,-0.0004400074571,0.0005400002146,4,6,0,1
bp_optimizer_broadcast_minus_matched_broadcast__aligned__d2,optimizer_groups,"soma-broadcast BP optimizer - LocalCA optimizer, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""aligned""}",10,0.008100003004,0.007480013371,0.008730000257,10,0,0,0.001953125
matched_broadcast_minus_local_path__aligned__d2,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA path, LocalCA optimizer matched, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""aligned""}",10,-0.003710019578,-0.004820030917,-0.002550017833,0,10,0,0.001953125
local_path_minus_local_shared__aligned__d2,path_transport,"exact path LocalCA - shared-soma LocalCA, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""aligned""}",10,0.00371001362,0.0023300111,0.00506001116,10,0,0,0.001953125
full_bp_minus_local_path__aligned__d2,bp_local_residual,"full BP - exact-path LocalCA, aligned, D2","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 2, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""aligned""}",10,0.00321998598,0.00212998987,0.00419998769,9,1,0,0.00390625
serial_minus_star__aligned__d3,architecture,"serial tree - resource-identical star, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""all_active_star"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}",10,0.3081099868,0.3041297208,0.3125500023,10,0,0,0.001953125
full_bp_minus_soma_broadcast__aligned__d3,credit_coordinate,"full BP - soma-broadcast autograd, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""aligned""}",10,0.006369996071,0.001519995935,0.01168000103,8,2,1,0.033203125
soma_broadcast_minus_local_shared__aligned__d3,eligibility,"autograd eligibility - LocalCA eligibility at shared soma credit, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""aligned""}",10,0.1340500057,0.127480012,0.1407900035,10,0,0,0.001953125
matched_broadcast_minus_local_shared__aligned__d3,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA shared, LocalCA optimizer matched, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""aligned""}",10,-0.0006299972485,-0.002320258913,0.0008700013233,5,5,0,0.4921875
bp_optimizer_broadcast_minus_matched_broadcast__aligned__d3,optimizer_groups,"soma-broadcast BP optimizer - LocalCA optimizer, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""aligned""}",10,0.1346800029,0.1289199948,0.1405199885,10,0,0,0.001953125
matched_broadcast_minus_local_path__aligned__d3,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA path, LocalCA optimizer matched, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""aligned""}",10,-0.1102000058,-0.1166000008,-0.1040500163,0,10,0,0.001953125
local_path_minus_local_shared__aligned__d3,path_transport,"exact path LocalCA - shared-soma LocalCA, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""aligned""}",10,0.1095700085,0.1034200132,0.1158200025,10,0,0,0.001953125
full_bp_minus_local_path__aligned__d3,bp_local_residual,"full BP - exact-path LocalCA, aligned, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""aligned""}",10,0.03084999323,0.02483999712,0.03787998573,10,0,0,0.001953125
serial_minus_star__rewired_tree__d1,architecture,"serial tree - resource-identical star, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""all_active_star"", ""credit"": ""full_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.0002799987662,4.000049954e-05,0.0005599975417,7,3,1,0.080078125
full_bp_minus_soma_broadcast__rewired_tree__d1,credit_coordinate,"full BP - soma-broadcast autograd, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,-0.0001099944245,-0.0004100024849,0.0002000093374,4,6,1,0.560546875
soma_broadcast_minus_local_shared__rewired_tree__d1,eligibility,"autograd eligibility - LocalCA eligibility at shared soma credit, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.0008199930345,8.999707427e-05,0.001509976391,7,3,0,0.064453125
matched_broadcast_minus_local_shared__rewired_tree__d1,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA shared, LocalCA optimizer matched, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.0003499925291,-5.000231535e-05,0.0007999897077,6,4,0,0.1640625
bp_optimizer_broadcast_minus_matched_broadcast__rewired_tree__d1,optimizer_groups,"soma-broadcast BP optimizer - LocalCA optimizer, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.0004700005054,-0.000309997946,0.00121999979,6,4,0,0.29296875
matched_broadcast_minus_local_path__rewired_tree__d1,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA path, LocalCA optimizer matched, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.0004799962091,-2.999304233e-05,0.0009999990367,6,4,0,0.12109375
local_path_minus_local_shared__rewired_tree__d1,path_transport,"exact path LocalCA - shared-soma LocalCA, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,-0.00013000368,-0.00054000614,0.00021998882,4,6,0,0.587890625
full_bp_minus_local_path__rewired_tree__d1,bp_local_residual,"full BP - exact-path LocalCA, rewired_tree, D1","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 1, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 1, ""regime"": ""rewired_tree""}",10,0.00084000229,0.0001300273615,0.00149999856,7,3,0,0.0546875
serial_minus_star__rewired_tree__d2,architecture,"serial tree - resource-identical star, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""all_active_star"", ""credit"": ""full_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,-0.005250000964,-0.006860011818,-0.003640002044,0,10,0,0.001953125
full_bp_minus_soma_broadcast__rewired_tree__d2,credit_coordinate,"full BP - soma-broadcast autograd, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,-0.001319998513,-0.002450007194,-0.0002799928345,3,7,0,0.052734375
soma_broadcast_minus_local_shared__rewired_tree__d2,eligibility,"autograd eligibility - LocalCA eligibility at shared soma credit, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,0.002109998463,0.0007300019351,0.003690010313,8,2,0,0.01953125
matched_broadcast_minus_local_shared__rewired_tree__d2,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA shared, LocalCA optimizer matched, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,-0.0002900004398,-0.001120001083,0.0005099892705,4,6,0,0.529296875
bp_optimizer_broadcast_minus_matched_broadcast__rewired_tree__d2,optimizer_groups,"soma-broadcast BP optimizer - LocalCA optimizer, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,0.002399998903,0.001259994507,0.003609991074,8,1,1,0.0078125
matched_broadcast_minus_local_path__rewired_tree__d2,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA path, LocalCA optimizer matched, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,0.0005600035302,-0.0004700004978,0.001610004919,6,4,0,0.3359375
local_path_minus_local_shared__rewired_tree__d2,path_transport,"exact path LocalCA - shared-soma LocalCA, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,-0.00085000397,-0.00180000069,0.00019999146,2,8,0,0.1484375
full_bp_minus_local_path__rewired_tree__d2,bp_local_residual,"full BP - exact-path LocalCA, rewired_tree, D2","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 2, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 2, ""regime"": ""rewired_tree""}",10,0.00164000392,0.0001800237412,0.00295000674,8,2,0,0.060546875
serial_minus_star__rewired_tree__d3,architecture,"serial tree - resource-identical star, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""all_active_star"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,-0.004330009219,-0.00676000713,-0.001649999616,1,9,0,0.013671875
full_bp_minus_soma_broadcast__rewired_tree__d3,credit_coordinate,"full BP - soma-broadcast autograd, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,0.001109999421,0.0002100050421,0.001980006696,8,2,0,0.04296875
soma_broadcast_minus_local_shared__rewired_tree__d3,eligibility,"autograd eligibility - LocalCA eligibility at shared soma credit, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,0.003100001809,0.001990002224,0.004210001217,10,0,1,0.001953125
matched_broadcast_minus_local_shared__rewired_tree__d3,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA shared, LocalCA optimizer matched, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,-9.000897737e-05,-0.000640004869,0.0005199849574,5,5,1,0.775390625
bp_optimizer_broadcast_minus_matched_broadcast__rewired_tree__d3,optimizer_groups,"soma-broadcast BP optimizer - LocalCA optimizer, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,0.003190010786,0.002120000124,0.004350030422,10,0,0,0.001953125
matched_broadcast_minus_local_path__rewired_tree__d3,optimizer_matched_update_rule,"soma-broadcast autograd - LocalCA path, LocalCA optimizer matched, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""soma_broadcast_matched"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,-5.967369998e-09,-0.000640010859,0.0007300020915,4,6,0,0.982421875
local_path_minus_local_shared__rewired_tree__d3,path_transport,"exact path LocalCA - shared-soma LocalCA, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_shared"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,-9.000301e-05,-0.0009000062903,0.00077000261,5,5,0,0.857421875
full_bp_minus_local_path__rewired_tree__d3,bp_local_residual,"full BP - exact-path LocalCA, rewired_tree, D3","{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""rewired_tree""}","{""architecture"": ""serial_tree"", ""credit"": ""local_path"", ""depth"": 3, ""regime"": ""rewired_tree""}",10,0.00430000424,0.00324001312,0.00530999897,10,0,0,0.001953125
serial_star_alignment_interaction__d1,architecture_interaction,(serial-star) aligned - (serial-star) reversed,"serial tree - resource-identical star, aligned, D1","serial tree - resource-identical star, rewired_tree, D1",10,-0.0003300010921,-0.0009400069396,0.0003099918456,4,6,0,0.376953125
serial_star_alignment_interaction__d2,architecture_interaction,(serial-star) aligned - (serial-star) reversed,"serial tree - resource-identical star, aligned, D2","serial tree - resource-identical star, rewired_tree, D2",10,0.07069000008,0.06680998208,0.0747500062,10,0,0,0.001953125
serial_star_alignment_interaction__d3,architecture_interaction,(serial-star) aligned - (serial-star) reversed,"serial tree - resource-identical star, aligned, D3","serial tree - resource-identical star, rewired_tree, D3",10,0.312439996,0.3065099955,0.3177399933,10,0,0,0.001953125
serial_d3_minus_active_matched_point_mlp,unstructured_point,serial D3 BP - active-parameter-matched point MLP,"{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""point_mlp_active"", ""credit"": ""full_bp"", ""depth"": 0, ""regime"": ""aligned""}",10,-0.06791999936,-0.07342000008,-0.0618699968,0,10,0,0.001953125
serial_d3_minus_total_matched_point_mlp,unstructured_point,serial D3 BP - total-parameter-matched point MLP,"{""architecture"": ""serial_tree"", ""credit"": ""full_bp"", ""depth"": 3, ""regime"": ""aligned""}","{""architecture"": ""point_mlp_total"", ""credit"": ""full_bp"", ""depth"": 0, ""regime"": ""aligned""}",10,-0.0720099926,-0.07677997947,-0.06751999856,0,10,0,0.001953125
