task_id,family,bound,sum_bound,depth,normalized_mse,max_local_reconstruction_mse,rank,effective_rank,parameters,edges,seconds
matching_000,quadratic_matching,0.0,0.0,3,2.0329009348040322e-30,2.4775162804597402e-30,8,8.0,28,14,0.16770789597649127
matching_001,quadratic_matching,0.0,0.0,3,2.1264939804708443e-30,2.4775162804597402e-30,8,8.0,28,14,0.16217719006817788
matching_002,quadratic_matching,0.0,0.0,3,1.9054392750669386e-30,2.4775162804597402e-30,8,8.0,28,14,0.1621332139475271
matching_003,quadratic_matching,0.0,0.0,3,1.2729388527808313e-30,2.4775162804597402e-30,8,8.0,28,14,0.1614621140761301
matching_004,quadratic_matching,0.0,0.0,3,1.602127060258193e-30,2.4775162804597402e-30,8,8.0,28,14,0.15920743602328002
matching_005,quadratic_matching,0.0,0.0,3,1.4795141157288672e-30,2.4775162804597402e-30,8,8.0,28,14,0.15709884406533092
matching_006,quadratic_matching,0.0,0.0,3,2.034045539914843e-30,3.344955127411751e-30,8,8.0,28,14,0.15827194694429636
matching_007,quadratic_matching,0.0,0.0,3,1.787107745140358e-30,2.4775162804597402e-30,8,8.0,28,14,0.15793962706811726
matching_008,quadratic_matching,0.0,0.0,3,1.4391924867961096e-30,2.4775162804597402e-30,8,8.0,28,14,0.15745245199650526
matching_009,quadratic_matching,0.0,0.0,3,2.8679090416162913e-30,3.344955127411751e-30,8,8.0,28,14,0.1579356639413163
matching_010,quadratic_matching,0.0,0.0,3,1.3858018724998555e-30,2.4775162804597402e-30,8,8.0,28,14,0.15699131705332547
matching_011,quadratic_matching,0.0,0.0,3,1.0887569898082573e-30,2.4775162804597402e-30,8,8.0,28,14,0.15900732402224094
matching_012,quadratic_matching,0.0,0.0,3,2.0673922086957574e-30,3.344955127411751e-30,8,8.0,28,14,0.15846654097549617
matching_013,quadratic_matching,0.0,0.0,3,1.5880846290233265e-30,2.4775162804597402e-30,8,8.0,28,14,0.15794887393712997
matching_014,quadratic_matching,0.0,0.0,3,1.39603428412949e-30,2.4775162804597402e-30,8,8.0,28,14,0.15414460597094148
matching_015,quadratic_matching,0.0,0.0,3,7.757278140877281e-31,1.8242408433235898e-30,8,8.0,28,14,0.1575987139949575
matching_016,quadratic_matching,0.0,0.0,3,9.359563404089508e-31,2.2186712959340957e-30,8,8.0,28,14,0.15523956902325153
