contrast,family,primary,n,mean_pp,ci_low_pp,ci_high_pp,positive_seeds,negative_seeds,p_exact,p_holm
shunting:neuron_minus_strict_scalar,fashion,True,10,5.822999477386475,5.5699992179870605,6.087999954819679,10,0,0.001953125,0.00390625
shunting:exact_minus_neuron,,False,10,-0.057999491691589355,-0.19899964332580566,0.08000016212463379,4,6,0.47265625,
shunting:scalar_fallback_minus_strict_scalar,,False,10,1.5850001573562622,1.1379998922348022,1.9830000400543213,10,0,0.001953125,
shunting:neuron_minus_scalar_fallback,,False,10,4.237999320030212,3.959999680519104,4.557998776435852,10,0,0.001953125,
additive:neuron_minus_strict_scalar,fashion,True,10,5.522998571395874,4.968972876667976,6.11599862575531,10,0,0.001953125,0.00390625
additive:exact_minus_neuron,,False,10,0.2360004186630249,0.10900139808654785,0.36900103092193604,9,1,0.0078125,
additive:scalar_fallback_minus_strict_scalar,,False,10,1.285998821258545,0.6159991025924683,1.9849979877471924,8,1,0.01171875,
additive:neuron_minus_scalar_fallback,,False,10,4.236999750137329,3.7529993057250977,4.787000417709351,10,0,0.001953125,
h3_d1:reversed_minus_aligned,,False,10,-2.086000442504883,-6.90200001001358,3.7160494029521973,3,7,0.49609375,
h3_d2:reversed_minus_aligned,,False,10,-1.6259998083114624,-4.0999990701675415,1.0009992122650146,4,6,0.265625,
h3_d3:reversed_minus_aligned,,False,10,0.5620008707046509,-0.26699841022491455,1.2990015745162964,7,3,0.212890625,
h3:depth_by_placement,physical,True,10,-2.6480013132095337,-7.634026378393173,3.17507286369801,4,6,0.376953125,0.376953125
h4_d1:reversed_minus_aligned,,False,10,6.30899965763092,3.5499728471040726,9.068999886512756,9,1,0.00390625,
h4_d2:reversed_minus_aligned,,False,10,4.352000951766968,1.5079754889011385,6.897026866674425,8,2,0.021484375,
h4_d3:reversed_minus_aligned,,False,10,-2.1199989318847656,-3.8530236035585403,-0.26099976897239685,2,8,0.052734375,
h4_d4:reversed_minus_aligned,,False,10,-2.6859986782073975,-4.308998614549637,-1.2389981597661972,2,8,0.0078125,
h4:depth_by_placement,physical,True,10,8.994998335838318,5.664972715079784,12.575024880468847,10,0,0.001953125,0.00390625
