contrast,seed,difference_pp
shunting:neuron_minus_strict_scalar,22600,5.639994144439697
shunting:neuron_minus_strict_scalar,22601,5.69000244140625
shunting:neuron_minus_strict_scalar,22602,5.049997568130493
shunting:neuron_minus_strict_scalar,22603,5.529999732971191
shunting:neuron_minus_strict_scalar,22604,5.91999888420105
shunting:neuron_minus_strict_scalar,22605,6.620001792907715
shunting:neuron_minus_strict_scalar,22606,5.889999866485596
shunting:neuron_minus_strict_scalar,22607,6.3899993896484375
shunting:neuron_minus_strict_scalar,22608,5.909997224807739
shunting:neuron_minus_strict_scalar,22609,5.590003728866577
shunting:exact_minus_neuron,22600,0.15000104904174805
shunting:exact_minus_neuron,22601,0.1699984073638916
shunting:exact_minus_neuron,22602,-0.1699984073638916
shunting:exact_minus_neuron,22603,-0.4700005054473877
shunting:exact_minus_neuron,22604,0.019997358322143555
shunting:exact_minus_neuron,22605,-0.34999847412109375
shunting:exact_minus_neuron,22606,-0.12000203132629395
shunting:exact_minus_neuron,22607,-0.03999471664428711
shunting:exact_minus_neuron,22608,-0.0899970531463623
shunting:exact_minus_neuron,22609,0.31999945640563965
shunting:scalar_fallback_minus_strict_scalar,22600,0.5499958992004395
shunting:scalar_fallback_minus_strict_scalar,22601,1.7799973487854004
shunting:scalar_fallback_minus_strict_scalar,22602,0.7200002670288086
shunting:scalar_fallback_minus_strict_scalar,22603,1.6099989414215088
shunting:scalar_fallback_minus_strict_scalar,22604,2.09999680519104
shunting:scalar_fallback_minus_strict_scalar,22605,2.1700024604797363
shunting:scalar_fallback_minus_strict_scalar,22606,1.9800007343292236
shunting:scalar_fallback_minus_strict_scalar,22607,2.2900044918060303
shunting:scalar_fallback_minus_strict_scalar,22608,2.18999981880188
shunting:scalar_fallback_minus_strict_scalar,22609,0.4600048065185547
shunting:neuron_minus_scalar_fallback,22600,5.089998245239258
shunting:neuron_minus_scalar_fallback,22601,3.9100050926208496
shunting:neuron_minus_scalar_fallback,22602,4.329997301101685
shunting:neuron_minus_scalar_fallback,22603,3.9200007915496826
shunting:neuron_minus_scalar_fallback,22604,3.8200020790100098
shunting:neuron_minus_scalar_fallback,22605,4.4499993324279785
shunting:neuron_minus_scalar_fallback,22606,3.909999132156372
shunting:neuron_minus_scalar_fallback,22607,4.099994897842407
