hierarchy,depth,placement,n_seeds,mean_test_accuracy,ci_low,ci_high
3,1,aligned,10,0.5732599824666977,0.5405299812555313,0.5969599786400795
3,1,reversed,10,0.5523999780416489,0.5216999799013138,0.5845299780368804
3,2,aligned,10,0.5382999897003173,0.519839989989996,0.5563702456653118
3,2,reversed,10,0.5220399916172027,0.5043699978291989,0.5431399822235108
3,3,aligned,10,0.518999981880188,0.5055499792098999,0.5342199742794037
3,3,reversed,10,0.5246199905872345,0.5105399847030639,0.5400099933147431
4,1,aligned,10,0.5232199847698211,0.4921699821949005,0.5541002389043569
4,1,reversed,10,0.5863099813461303,0.5743299840390682,0.5970899821817874
4,2,aligned,10,0.5312499761581421,0.5157199800014496,0.5476899625360966
4,2,reversed,10,0.5747699856758117,0.5482899843156338,0.5989199876785278
4,3,aligned,10,0.5321899890899658,0.5202899990975857,0.5436599852144718
4,3,reversed,10,0.5109899997711181,0.5035199999809266,0.5193499982357025
4,4,aligned,10,0.5283599853515625,0.5138097350299358,0.5443602378666401
4,4,reversed,10,0.5014999985694886,0.500409996509552,0.5027400016784668
