task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,exact_expected_calibration_decrease,expected_calibration_decrease_minus_bound,actual_training_first_step_test_decrease,actual_training_first_step_calibration_decrease
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,0.25075962860888057,0.34331675848176324,0.9431849037833052,0.9431849037833049,0.24473078480514193,8.774570017547846,1.1879156885884468,1.0906441267396165,0.5245706152451111,0.26539323977237017,0.014633611163489602,0.13576435833548867,0.13494274197035888
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,0.2568356147881266,0.3516354335859297,0.9660385763288144,0.9660385763288142,0.25066069016654835,8.987180661658362,1.2166992664953624,1.0906441267396165,0.5245706152451111,0.27021758239347626,0.013381967605349654,0.13859820167249745,0.13778147192975498
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,0.2641587699775855,0.36166161649045675,0.9935832391642074,0.9935832391642073,0.25780777969889673,9.243432189528903,1.251391018863104,1.0906441267396165,0.5245706152451111,0.27593118219816637,0.011772412220580897,0.1419850670929791,0.14117578606450107
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,0.2937831790868838,0.40222060185729724,1.1050098496213954,1.1050098496213954,0.2867199492172816,10.280048224574408,1.391729798838677,1.0906441267396165,0.5245706152451111,0.2979178487861918,0.004134669699308036,0.15536630082264158,0.1546045430048562
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,0.25075962860888057,0.34331675848176324,0.9431849037833052,0.9431849037833049,0.24473078480514193,8.774570017547846,1.1879156885884468,1.0906441267396165,0.5245706152451111,0.26539323977237017,0.014633611163489602,0.13576435833548867,0.13494274197035888
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,0.2690055799388431,0.36829741785173364,1.0118135979038714,1.0118135979038714,0.2625380610930764,9.413031552882316,1.274351658996948,1.0906441267396165,0.5245706152451111,0.27965199983532546,0.010646419896482351,0.14420942718832622,0.14340601326859875
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,0.2823538730068869,0.38657265909693894,1.0620206770214242,1.0620206770214242,0.27556543019740143,9.88011444333827,1.3375861072188258,1.0906441267396165,0.5245706152451111,0.2896492838871739,0.007295410880287012,0.1502644627691548,0.14948106600683836
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,0.2937831790868838,0.40222060185729724,1.1050098496213954,1.1050098496213954,0.2867199492172816,10.280048224574408,1.391729798838677,1.0906441267396165,0.5245706152451111,0.2979178487861918,0.004134669699308036,0.15536630082264158,0.1546045430048562
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,0.25075962860888057,0.34331675848176324,0.9431849037833052,0.9431849037833049,0.24473078480514193,8.774570017547846,1.1879156885884468,1.0906441267396165,0.5245706152451111,0.26539323977237017,0.014633611163489602,0.13576435833548867,0.13494274197035888
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,0.2673942347623498,0.36609131391922317,1.0057528278601293,1.005752827860129,0.2609654563966073,9.356647432551561,1.2667182842567364,1.0906441267396165,0.5245706152451111,0.27842036229388845,0.011026127531538643,0.14347145067319175,0.1426660033705764
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,0.2823215799136648,0.3865284463975189,1.061899212660544,1.0618992126605444,0.27553391350513373,9.878984444824823,1.3374331261656782,1.0906441267396165,0.5245706152451111,0.28962554038686683,0.007303960473202031,0.15024993960839012,0.14946648758687403
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_a_k8,balanced_permutation_a,balanced,8,1.0639925081183608,1.0,0.6399250811836067,64,64,64,0.2937831790868838,0.40222060185729724,1.1050098496213954,1.1050098496213954,0.2867199492172816,10.280048224574408,1.391729798838677,1.0906441267396165,0.5245706152451111,0.2979178487861918,0.004134669699308036,0.15536630082264158,0.1546045430048562
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_b_k1,balanced_permutation_b,balanced,1,0.18840039778945986,0.125,0.6340039778945984,64,64,8,0.25075962860888057,0.34331675848176324,0.9431849037833052,0.9431849037833049,0.24473078480514193,8.774570017547846,1.1879156885884468,1.0906441267396165,0.5245706152451111,0.26539323977237017,0.014633611163489602,0.13576435833548867,0.13494274197035888
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_b_k2,balanced_permutation_b,balanced,2,0.31340039778945983,0.25,0.6340039778945984,64,64,16,0.26304576367768684,0.3601377917935916,0.9893968765279897,0.9893968765279896,0.2567215326551508,9.204485921492815,1.2461184091831403,1.0906441267396165,0.5245706152451111,0.2750699177275017,0.012024154049814884,0.1414723346535825,0.14066181171471587
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,0.28349967170736534,0.38814138009841426,1.0663303820686882,1.066330382068688,0.27668368123626447,9.920208181629151,1.3430140633049525,1.0906441267396165,0.5245706152451111,0.29049034312773603,0.0069906714203706866,0.1507793681502275,0.1499979534996772
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,balanced_permutation_b_k8,balanced_permutation_b,balanced,8,1.06340039778946,1.0,0.6340039778945984,64,64,64,0.2937831790868838,0.40222060185729724,1.1050098496213954,1.1050098496213954,0.2867199492172816,10.280048224574408,1.391729798838677,1.0906441267396165,0.5245706152451111,0.2979178487861918,0.004134669699308036,0.15536630082264158,0.1546045430048562
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,comb_contiguous_k1,comb_contiguous,comb,1,0.225,0.125,1.0,64,64,8,0.25075962860888057,0.34331675848176324,0.9431849037833052,0.9431849037833049,0.24473078480514193,8.774570017547846,1.1879156885884468,1.0906441267396165,0.5245706152451111,0.26539323977237017,0.014633611163489602,0.13576435833548867,0.13494274197035888
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,0.25082093478822026,0.34340069319997346,0.9434154953788608,0.9434154953788609,0.24479061704156052,8.776715240708798,1.1882061124204215,1.0906441267396165,0.5245706152451111,0.2654422965089394,0.01462136172071915,0.13579305926555219,0.1349714863473031
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,0.27557706516660296,0.3772944841630904,1.0365309963808231,1.0365309963808234,0.268951552555187,9.642980678146808,1.3054825489360105,1.0906441267396165,0.5245706152451111,0.2846195906628138,0.009042525496210818,0.14720338246442094,0.14640911559349565
s7206_r1_n000_a125,confirmatory,7206,1,0.0,0.125,feedback_only,comb_contiguous_k8,comb_contiguous,comb,8,1.1,1.0,1.0,64,64,64,0.2937831790868838,0.40222060185729724,1.1050098496213954,1.1050098496213954,0.2867199492172816,10.280048224574408,1.391729798838677,1.0906441267396165,0.5245706152451111,0.2979178487861918,0.004134669699308036,0.15536630082264158,0.1546045430048562
