regime,mechanism,method,transport,depth,branch_factors,n_seeds,mean_train_accuracy,ci95_low_train_accuracy,ci95_high_train_accuracy,mean_valid_accuracy,ci95_low_valid_accuracy,ci95_high_valid_accuracy,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_test_auc,ci95_low_test_auc,ci95_high_test_auc
aligned,additive,bp,backpropagation,1,8,10,0.575879994,0.5439197483,0.6002302521,0.574029994,0.540049994,0.5995902474,0.5732599825,0.5406199843,0.597029978,0.4642311454,0.3843364158,0.5519514114
aligned,additive,bp,backpropagation,2,2x3,10,0.5389499843,0.5202399848,0.5573999764,0.5396399915,0.5207597378,0.5581299961,0.5382999897,0.520059741,0.5562399864,0.4679369301,0.3961007277,0.5443548888
aligned,additive,bp,backpropagation,3,2x1x2,10,0.5184299946,0.5050799966,0.533799988,0.5186099827,0.5051799893,0.5336099744,0.5189999819,0.5055197302,0.5342099786,0.4724160492,0.4068321969,0.5419413982
aligned,shunting,bp,backpropagation,1,8,10,0.6168499827,0.6138499796,0.6198999822,0.610469991,0.6077199934,0.6125,0.6096299767,0.6069399774,0.6122099757,0.6517524183,0.6495773908,0.6536587529
aligned,shunting,bp,backpropagation,2,2x3,10,0.6824099839,0.6789499819,0.6856599867,0.676399982,0.6740099728,0.6786799848,0.6752199829,0.6723099768,0.6781299889,0.7388694227,0.7364124687,0.7411509374
aligned,shunting,bp,backpropagation,3,2x1x2,10,0.9221999705,0.9185299635,0.9260499716,0.9184699893,0.9151899874,0.9222499907,0.9181799769,0.9143299818,0.9223599792,0.9512035072,0.9485524414,0.9540868343
aligned,shunting,local3f,path_transport,1,8,10,0.6153199852,0.6123399913,0.6185199857,0.6094099879,0.6073100029,0.6109999895,0.6082799911,0.6050699948,0.6114099981,0.650599587,0.6480754584,0.6528021513
aligned,shunting,local3f,path_transport,2,2x3,10,0.6797499776,0.6765999734,0.68270998,0.6735199809,0.6706699729,0.6762999773,0.6719999969,0.6690899968,0.6746699989,0.7348329067,0.7322331728,0.7372751951
aligned,shunting,local3f,path_transport,3,2x1x2,10,0.8923799753,0.8867499769,0.8975999773,0.887169981,0.8814399898,0.8923799813,0.8873299837,0.88154999,0.8923299789,0.9407239735,0.9381767756,0.9432550853
aligned,shunting,local3f,per_soma_shared,1,8,10,0.6149699867,0.6118099928,0.6182399751,0.6093999863,0.6071599901,0.6112099826,0.6082899868,0.605039984,0.6114799798,0.6506716847,0.6481135163,0.6529476106
aligned,shunting,local3f,per_soma_shared,2,2x3,10,0.6771999776,0.673999977,0.6803299786,0.669329989,0.6662999868,0.672239995,0.6682899833,0.665629977,0.6712699831,0.7306255281,0.7274913704,0.7335828219
aligned,shunting,local3f,per_soma_shared,3,2x1x2,10,0.7835999787,0.7791499734,0.7879099846,0.7778399825,0.772789979,0.7832999766,0.7777599752,0.7713199735,0.7837899745,0.8639725089,0.8584788673,0.8692888148
rewired_tree,shunting,bp,backpropagation,1,8,10,0.6196499825,0.616809988,0.6224799752,0.6131899834,0.6106399775,0.6156799972,0.6109499872,0.6080899894,0.6133999825,0.6547321022,0.6524547864,0.656755662
rewired_tree,shunting,bp,backpropagation,2,2x3,10,0.6125999808,0.6087399781,0.6166199803,0.6071099818,0.6032599983,0.61043998,0.6058199883,0.6025399923,0.6090699911,0.6441532314,0.641570375,0.646688664
rewired_tree,shunting,bp,backpropagation,3,2x1x2,10,0.6128199875,0.6094799936,0.6166199923,0.6083099723,0.6045799732,0.611899972,0.6066799819,0.6026199758,0.611229974,0.6478282094,0.644571197,0.6512411594
rewired_tree,shunting,local3f,path_transport,1,8,10,0.6186899841,0.6151999891,0.6222299756,0.6116999865,0.6093799947,0.6138702443,0.6101099849,0.607159978,0.6128299773,0.6530449033,0.650542593,0.6551624238
rewired_tree,shunting,local3f,path_transport,2,2x3,10,0.6097699881,0.6057399869,0.6140399933,0.6062199831,0.6034999847,0.6092999756,0.6041799843,0.6001599848,0.6084299862,0.6440216124,0.6407771352,0.6471615221
rewired_tree,shunting,local3f,path_transport,3,2x1x2,10,0.6065799892,0.603339982,0.6102999926,0.60327999,0.599789983,0.6069600046,0.6023799777,0.5983897156,0.6072899878,0.643450743,0.6399402738,0.6471875428
rewired_tree,shunting,local3f,per_soma_shared,1,8,10,0.6185199916,0.6152999938,0.6217499971,0.6120499909,0.6096000014,0.6143699825,0.6102399886,0.607249999,0.6130699933,0.6532289982,0.6506775379,0.6554450639
rewired_tree,shunting,local3f,per_soma_shared,2,2x3,10,0.6102799892,0.606399989,0.6143299878,0.6068300009,0.6035300016,0.6101100028,0.6050299883,0.6014299808,0.6085399808,0.6449918211,0.6419421345,0.647934411
rewired_tree,shunting,local3f,per_soma_shared,3,2x1x2,10,0.6060499728,0.6025099814,0.6099099696,0.6031099916,0.5996100008,0.6068199873,0.6024699807,0.5985399842,0.6072199821,0.6429487348,0.639420224,0.6467798246
sensor_shuffled,shunting,bp,backpropagation,1,8,10,0.5824400008,0.5791997497,0.585710001,0.5796699882,0.5757799864,0.5835499942,0.5794099867,0.5756699859,0.5832499863,0.6124046206,0.6088574171,0.6163508745
sensor_shuffled,shunting,bp,backpropagation,2,2x3,10,0.5824699938,0.5789499938,0.5862599909,0.5797699809,0.5763499796,0.5831799805,0.5789399862,0.5753399968,0.5825499892,0.6118185341,0.6085004151,0.6155365245
sensor_shuffled,shunting,bp,backpropagation,3,2x1x2,10,0.5829299867,0.5795599878,0.5862199903,0.5802399874,0.5765999913,0.5837099732,0.579279983,0.5755299747,0.5832399786,0.6111217558,0.6076603301,0.6149006303
zero_alignment,shunting,bp,backpropagation,1,8,10,0.5823499799,0.5787099779,0.5862399757,0.5801699817,0.5764899847,0.5838599861,0.5793699861,0.5755199909,0.5834999742,0.6121412158,0.6082782732,0.6163592696
zero_alignment,shunting,bp,backpropagation,2,2x3,10,0.5822899818,0.5789399862,0.5858199835,0.5799099922,0.5763699949,0.5833399951,0.5795499861,0.5760499895,0.5835499825,0.6117456079,0.6078347896,0.6158536273
zero_alignment,shunting,bp,backpropagation,3,2x1x2,10,0.5825299859,0.5798499882,0.585409987,0.579919976,0.57645998,0.5834499717,0.5795599818,0.5761299849,0.5833499849,0.6107854843,0.6068575051,0.6147836515
