seed,depth,config_index,batch_size,checkpoint_sha256,batch_loss,path_gain_mean,path_gain_cv,path_gain_log_variance,shared_gradient_cosine,shared_gradient_norm_ratio,shared_exact_gradient_norm,shared_approximate_gradient_norm,shared_gradient_parameter_tensors,shared_gradient_parameter_scalars,shared_gradient_tensors_missing_from_approximate,shared_gradient_tensors_unexpected_in_approximate,path_gradient_cosine,path_gradient_norm_ratio,path_exact_gradient_norm,path_approximate_gradient_norm,path_gradient_parameter_tensors,path_gradient_parameter_scalars,path_gradient_tensors_missing_from_approximate,path_gradient_tensors_unexpected_in_approximate
10200,1,0,128,777fe0b8f1c3d1c3325a43b0da79029fadbcde715e34a82caf55b2e1d41e1ee1,0.6723574996,0.1240313606,0.04127280352,0.001689588413,0.9404459208,7.692913571,0.005037797554,0.03875534117,3,66048,0,0,1,1.000000031,0.005037797554,0.005037797712,3,66048,0,0
10201,1,1,128,df2201678808b729d1fc882e5fe4f00e9f37661d08703959e4363adebdd3252b,0.6495586634,0.1240316041,0.04477510428,0.001973440142,0.9265009696,7.358408733,0.001313738382,0.009667023983,3,66048,0,0,1,1.000000041,0.001313738382,0.001313738436,3,66048,0,0
10202,1,2,128,8926521dcfed63f823072322324712677ceaa10068ae5a4206392a11f18e0017,0.6561976671,0.1240322661,0.05580365061,0.003022059916,0.9319710119,7.652423676,0.004132764267,0.03162566313,3,66048,0,0,1,1.000000024,0.004132764267,0.004132764368,3,66048,0,0
10203,1,3,128,bac26d497a8b11d14632a038b6d198e45a270fb71e048096025bf39d09fd32b0,0.6889201403,0.1240317409,0.04209316455,0.00173513384,0.9201073078,7.459313426,0.004850734452,0.03618314863,3,66048,0,0,1,0.9999999711,0.004850734452,0.004850734312,3,66048,0,0
10204,1,4,128,de1f4813b409bbfc241aee6ab99583a885434306b9050b1db442f480e4dd655b,0.6197194457,0.1240322225,0.0434338953,0.001826553984,0.9715869488,7.983702663,0.001441647925,0.01150968838,3,66048,0,0,1,1.000000033,0.001441647925,0.001441647972,3,66048,0,0
10205,1,5,128,00406185d87701a04cb04d4d946496d5d024bf933b058a116e99f952bca15df3,0.6558300257,0.1240312437,0.02267195115,0.0005106327669,0.9399791126,7.545844974,0.006377630512,0.04812461114,3,66048,0,0,1,0.999999997,0.006377630512,0.006377630492,3,66048,0,0
10206,1,6,128,dc0c1c4dc654309966f7829db860d28dc6a17bcba0be47d8f79dd878958ebff9,0.5739417672,0.1240312788,0.03461135639,0.001193268877,0.9797936336,8.043042328,0.001795611437,0.01444217879,3,66048,0,0,1,0.9999999154,0.001795611437,0.001795611285,3,66048,0,0
10207,1,7,128,90b3c8160124e7033f52f48e48bd431d9ec6a971ec3fc713143fa869a8247729,0.6553929448,0.1240321043,0.0394506469,0.001504702495,0.959408546,7.780660789,0.002277031883,0.01771681268,3,66048,0,0,1,0.9999999473,0.002277031883,0.002277031763,3,66048,0,0
10208,1,8,128,44133dc267e2c48d4dd519f4a408c0c963f9c359d2ca7d0e6b73729e971a7c52,0.6695654988,0.1240314496,0.01759367447,0.0003040968827,0.9292510016,7.399495223,0.002310167011,0.01709406976,3,66048,0,0,1,1.000000018,0.002310167011,0.002310167052,3,66048,0,0
10209,1,9,128,6e5c38b2e1c14b053a7319ba054a1720eaadd4fc0197cab05a9c731015395538,0.6664032936,0.1240321696,0.0434587188,0.001829990877,0.958356516,7.774004843,0.002213068052,0.01720440176,3,66048,0,0,1,1.000000033,0.002213068052,0.002213068126,3,66048,0,0
