seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10203,1,3,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240317409,0.00522088848,0.1162173748,0.1172080934,0.124000866,0.1344100088,0.1367641985,65536
10203,1,3,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3691480433,0.08567815285,0.1963991672,0.2486183628,0.3395654708,0.4770783216,0.4849805534,8192
10203,1,3,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.0976167,0.0802729336,129.0027466,129.0045929,129.1355591,129.1934204,129.206131,8192
10203,1,3,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007746079405,4.817001339e-06,0.007739570923,0.007740332279,0.007743800292,0.007751661818,0.007751773112,8192
10203,1,3,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10203,1,3,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10204,1,4,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3733141616,0.3436953649,0.0001700793946,0.001332182524,0.2681421638,0.9386345297,0.9734897017,65536
10204,1,4,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,61.56206967,49.81210108,5.684323311,8.661277056,56.68839645,162.7210083,321.3946228,65536
10204,1,4,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.0394099022,0.03926437251,0.003111439757,0.006145488122,0.01764029451,0.1154564172,0.1759224385,65536
10204,1,4,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10204,1,4,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240322225,0.005387202565,0.1152212098,0.1176564097,0.1240173802,0.1354532689,0.1393760592,65536
10204,1,4,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3677223494,0.08804543462,0.1762927175,0.248111929,0.339559868,0.4764628917,0.487945199,8192
10204,1,4,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.1620123,0.1397840301,129.0034637,129.0048981,129.2374344,129.3297119,129.3696289,8192
10204,1,4,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.00774222357,8.380173739e-06,0.007729789708,0.007732175291,0.007737696171,0.007751643658,0.007751729805,8192
10204,1,4,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10204,1,4,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10205,1,5,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.376626233,0.3416039583,0.0005221961765,0.003568329266,0.2783844471,0.9392283857,0.9700393081,65536
10205,1,5,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,59.61302273,51.01384826,4.805728436,7.335741758,50.9053154,162.9153748,331.3887939,65536
10205,1,5,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.04474065655,0.04679954289,0.003017603653,0.006138156168,0.01964431442,0.1363188624,0.2080850005,65536
10205,1,5,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10205,1,5,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240312437,0.002812030299,0.11757043,0.1203836277,0.1238998622,0.1291288733,0.1325998008,65536
10205,1,5,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3730019641,0.08422162684,0.2056510299,0.2585110828,0.3440735489,0.4768973097,0.4859907925,8192
10205,1,5,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.0315433,0.02737419534,128.9997864,129.0003815,129.0435944,129.070816,129.072113,8192
10205,1,5,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007750043274,1.644221429e-06,0.00774760684,0.007747684605,0.007749319077,0.007751915138,0.007751950994,8192
10205,1,5,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10205,1,5,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
