cohort,channels,method,total_capture_mean,total_capture_std,total_capture_count,residual_capture_mean,residual_capture_std,residual_capture_count,dictionary_rank_mean,dictionary_rank_std,dictionary_rank_count,nonzero_coefficients_mean,nonzero_coefficients_std,nonzero_coefficients_count,wiring_density_mean,wiring_density_std,wiring_density_count,coverage_mean,coverage_std,coverage_count,incremental_total_capture_mean,incremental_total_capture_std,incremental_total_capture_count
pinky,1,common + ancestry,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,1,common + depth bins,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,1,common + random routes,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,1,common + shuffled routes,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,1,common + surrogate ancestry,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,1,common-constrained SVD,0.3799025060436051,0.1114849281096752,10,1.179361360443864e-32,1.0693142602121826e-32,10,1.0,0.0,10,10.2,2.250925735484551,10,1.0,0.0,10,1.0,0.0,10,1.9428902930940238e-17,1.6027359612177192e-16,10
pinky,2,common + ancestry,0.5942253195082678,0.19849935577225605,10,0.3582013302741294,0.2648240449134054,10,2.0,0.0,10,11.7,2.496664441476534,10,0.5787276612276612,0.04922875028896069,10,1.0,0.0,10,0.21432281346466264,0.1628776466118297,10
pinky,2,common + depth bins,0.4504703033326292,0.10352681290988024,10,0.11347039095793318,0.045396728430887205,10,2.0,0.0,10,14.6,3.306559138036598,10,0.7146425796425796,0.012546981451501788,10,1.0,0.0,10,0.07056779728902403,0.0318983283329209,10
pinky,2,common + random routes,0.4714602397668296,0.12352073041282838,10,0.15308936282056984,0.07974114336785593,10,1.4695,0.18493917919143038,10,10.9625,2.3063405959321024,10,0.5391081099456099,0.01791723608486102,10,1.0,0.0,10,0.09155773372322444,0.04899152917389367,10
pinky,2,common + shuffled routes,0.45676592555406037,0.1129169596311867,10,0.12762868897843557,0.042671882394341644,10,2.0,0.0,10,11.7,2.496664441476534,10,0.5787276612276612,0.04922875028896069,10,1.0,0.0,10,0.07686341951045524,0.02007112324700541,10
pinky,2,common + surrogate ancestry,0.48596813559530094,0.12075047826650724,10,0.17473496559290075,0.08955363124448115,10,1.998,0.004216370213557817,10,12.331999999999999,2.524955665177333,10,0.608589966977467,0.0337477088001299,10,1.0,0.0,10,0.10606562955169577,0.051880414988434306,10
pinky,2,common-constrained SVD,0.7170254379294718,0.15282572576321787,10,0.5582363146162167,0.1877862837317769,10,2.0,0.0,10,20.4,4.501851470969102,10,1.0,0.0,10,1.0,0.0,10,0.33712293188586673,0.11053498774764187,10
pinky,4,common + ancestry,0.849838930932344,0.1594015916997115,10,0.7826922411815076,0.2208659507324682,10,3.7,0.48304589153964794,10,14.3,2.584139659108575,10,0.3585081585081585,0.055426330764431916,10,1.0,0.0,10,0.4699364248887388,0.10782165790117658,10
pinky,4,common + depth bins,0.5677779032701937,0.12908821214552343,10,0.31210713212610197,0.1302474954622053,10,4.0,0.0,10,17.2,3.9384147967311813,10,0.4203379953379954,0.009322066619680694,10,1.0,0.0,10,0.1878753972265886,0.07069174845534272,10
pinky,4,common + random routes,0.6235519772021249,0.15579702147772237,10,0.40789131727287203,0.18514480949479303,10,2.3754999999999997,0.5606516545750826,10,12.4785,2.616556314021245,10,0.3076507527195027,0.026839197924631266,10,1.0,0.0,10,0.24364947115851976,0.10355795267675362,10
pinky,4,common + shuffled routes,0.5832377899693906,0.12389061676205744,10,0.3339684372684009,0.13353691809910728,10,3.726,0.2833803882495125,10,14.3,2.584139659108575,10,0.3585081585081585,0.05542633076443194,10,1.0,0.0,10,0.2033352839257855,0.06900156374165782,10
pinky,4,common + surrogate ancestry,0.7027861133370081,0.1382555212323125,10,0.524784793660206,0.1909785116158925,10,3.6655,0.31798366484948737,10,15.577000000000002,2.8603614767678884,10,0.3869760343822844,0.03381701501671223,10,1.0,0.0,10,0.32288360729340304,0.11011203097173132,10
pinky,4,common-constrained SVD,0.9297471956955107,0.08029794389851977,10,0.8977155812861326,0.1141779062522455,10,4.0,0.0,10,40.8,9.003702941938204,10,1.0,0.0,10,1.0,0.0,10,0.5498446896519056,0.08543378300131355,10
pinky,8,common + ancestry,0.9809101932986962,0.020301319076592796,8,0.9699124974441449,0.03404572350179492,8,6.0,1.6035674514745462,8,19.25,3.2841611235921846,8,0.22937002233877232,0.05034459888711044,8,1.0,0.0,8,0.6377442548505309,0.09056937032110032,8
pinky,8,common + depth bins,0.7002586211730731,0.11601218718397328,8,0.5412176133878849,0.17675384143020337,8,8.0,0.0,8,19.25,2.8157719063467175,8,0.2261157245532245,0.0030810267729219475,8,1.0,0.0,8,0.3570926827249077,0.126911527617306,8
pinky,8,common + random routes,0.7948510228190044,0.14476153026221694,8,0.6958771531745547,0.18014880914353673,8,4.2025,1.4843733646607533,8,16.01875,2.7745215160198606,8,0.1904219083867521,0.0379041871304559,8,1.0,0.0,8,0.4516850843708391,0.11869286666647083,8
pinky,8,common + shuffled routes,0.6911260624089426,0.08216451102260663,8,0.530062398221231,0.10754054328151144,8,5.911875,1.03323326608412,8,19.25,3.2841611235921846,8,0.22937002233877232,0.05034459888711044,8,1.0,0.0,8,0.3479601239607772,0.07872053636008942,8
pinky,8,common + surrogate ancestry,0.8804334364169331,0.09690014447303873,8,0.8259216029178379,0.12256174888901376,8,5.98625,1.0310041914837893,8,21.07125,3.3187365818937775,8,0.24919622001262626,0.033918025955779516,8,1.0,0.0,8,0.5372674979687677,0.07272509519964017,8
pinky,8,common-constrained SVD,0.9967699538479373,0.006513240382354389,8,0.9951328229242801,0.00981793743161132,8,8.0,0.0,8,85.0,11.26308762538687,8,1.0,0.0,8,1.0,0.0,8,0.653604015399772,0.08470453531834249,8
