cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135060651419,6262,1.0,focal shunt,depth-matched unrelated,3,0.0001751047273289425,0.0002733524272566072,0.0004698478271119367,-0.0001751047273289425,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,matched additive,descendant,3,0.08166350564693242,0.08617655843261553,0.08166350564693242,0.08166350564693242,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,matched additive,depth-matched unrelated,3,0.00016331052529577027,0.00013404247620439963,0.0,0.00016331052529577027,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,focal shunt,descendant,3,0.1319333992575378,0.1281470701965265,0.1319333992575378,-0.1319333992575378,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,focal shunt,depth-matched unrelated,3,0.00045594731666429673,0.00037001766340405076,0.00013628700739451026,-0.00045594731666429673,0.0
original_eight,Ra150_Rm300,864691135060651419,6886,1.0,matched additive,descendant,3,0.1091474425595512,0.15169301637141283,0.1091474425595512,0.1091474425595512,0.0
original_eight,Ra150_Rm300,864691135060651419,6886,1.0,matched additive,depth-matched unrelated,3,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135060651419,6886,1.0,focal shunt,descendant,3,0.2571042397628966,0.22520176346361154,0.2571042397628966,-0.2571042397628966,0.0
original_eight,Ra150_Rm300,864691135060651419,6886,1.0,focal shunt,depth-matched unrelated,3,0.0023328729761142503,0.002332872976115215,0.0023328729761142503,-0.0023328729761142503,0.0
original_eight,Ra150_Rm300,864691135060651419,6962,1.0,matched additive,descendant,3,0.03310949843756005,0.052401904734983185,0.03310949843756005,0.03310949843756005,0.0
original_eight,Ra150_Rm300,864691135060651419,6962,1.0,matched additive,depth-matched unrelated,3,2.2204460492503128e-16,1.4802973661668753e-16,2.2204460492503128e-16,2.2204460492503128e-16,0.0
original_eight,Ra150_Rm300,864691135060651419,6962,1.0,focal shunt,descendant,3,0.11769077884095903,0.1008392489877092,0.11769077884095903,-0.11769077884095903,0.0
