cohort,regime,root_id,perturbation,category,signed_log_change,absolute_log_change,sign_flip_fraction,n_focal_sites
original_eight,Ra150_Rm15000,864691135060651419,focal shunt,depth-matched unrelated,-0.004786142717246198,0.004786142717246198,0.0,16
original_eight,Ra150_Rm15000,864691135060651419,focal shunt,descendant,-0.010494526163020565,0.010494526163020565,0.0,16
original_eight,Ra150_Rm15000,864691135060651419,matched additive,depth-matched unrelated,0.00023213138029849092,0.0002321313802985048,0.0,16
original_eight,Ra150_Rm15000,864691135060651419,matched additive,descendant,0.009811355656487523,0.009811355656487523,0.0,16
original_eight,Ra150_Rm15000,864691135196576298,focal shunt,depth-matched unrelated,-0.012363278518149237,0.012363278518149237,0.0,4
original_eight,Ra150_Rm15000,864691135196576298,focal shunt,descendant,-0.01407403939860662,0.01407403939860662,0.0,4
original_eight,Ra150_Rm15000,864691135196576298,matched additive,depth-matched unrelated,5.551115123125782e-17,5.551115123125782e-17,0.0,4
original_eight,Ra150_Rm15000,864691135196576298,matched additive,descendant,0.0011735807761814542,0.0011735807761814542,0.0,4
original_eight,Ra150_Rm15000,864691135277186789,focal shunt,depth-matched unrelated,-0.0038791354157474587,0.0038791354157474587,0.0,16
original_eight,Ra150_Rm15000,864691135277186789,focal shunt,descendant,-0.007037779639827299,0.007037779639827299,0.0,16
original_eight,Ra150_Rm15000,864691135277186789,matched additive,depth-matched unrelated,0.0006647230024764695,0.0006647230024765112,0.0,16
original_eight,Ra150_Rm15000,864691135277186789,matched additive,descendant,0.004584788128749703,0.004584788128749703,0.0,16
original_eight,Ra150_Rm15000,864691135324623260,focal shunt,depth-matched unrelated,-0.010515682977051093,0.010515682977051093,0.0,10
original_eight,Ra150_Rm15000,864691135324623260,focal shunt,descendant,-0.025612739280892527,0.025612739280892527,0.0,10
original_eight,Ra150_Rm15000,864691135324623260,matched additive,depth-matched unrelated,0.00031343659031802547,0.00031343659031806987,0.0,10
original_eight,Ra150_Rm15000,864691135324623260,matched additive,descendant,0.014232504868554203,0.014232504868554203,0.0,10
original_eight,Ra150_Rm15000,864691135409937097,focal shunt,depth-matched unrelated,-0.006148426058940055,0.006148426058940055,0.0,15
original_eight,Ra150_Rm15000,864691135409937097,focal shunt,descendant,-0.010787410512434585,0.010787410512434585,0.0,15
original_eight,Ra150_Rm15000,864691135409937097,matched additive,depth-matched unrelated,7.248250609613786e-05,7.248250609627848e-05,0.0,15
original_eight,Ra150_Rm15000,864691135409937097,matched additive,descendant,0.005811770172569125,0.005811770172569125,0.0,15
original_eight,Ra150_Rm15000,864691135739661169,focal shunt,depth-matched unrelated,-0.011717929675824097,0.011717929675824097,0.0,8
original_eight,Ra150_Rm15000,864691135739661169,focal shunt,descendant,-0.0379154114610506,0.0379154114610506,0.0,8
original_eight,Ra150_Rm15000,864691135739661169,matched additive,depth-matched unrelated,0.0007521453443232774,0.0007521453443233052,0.0,8
original_eight,Ra150_Rm15000,864691135739661169,matched additive,descendant,0.037193740938746875,0.037193740938746875,0.0,8
original_eight,Ra150_Rm15000,864691135810666525,focal shunt,depth-matched unrelated,-0.002934619853524625,0.002934619853524625,0.0,16
original_eight,Ra150_Rm15000,864691135810666525,focal shunt,descendant,-0.0059363315470416485,0.0059363315470416485,0.0,16
original_eight,Ra150_Rm15000,864691135810666525,matched additive,depth-matched unrelated,5.124513019952538e-05,5.1245130199664155e-05,0.0,16
original_eight,Ra150_Rm15000,864691135810666525,matched additive,descendant,0.003655539224462514,0.003655539224462514,0.0,16
original_eight,Ra150_Rm15000,864691136043380566,focal shunt,depth-matched unrelated,-0.004299504677759428,0.004299504677759428,0.0,16
original_eight,Ra150_Rm15000,864691136043380566,focal shunt,descendant,-0.006293886462884162,0.006293886462884162,0.0,16
original_eight,Ra150_Rm15000,864691136043380566,matched additive,depth-matched unrelated,0.00013857196549888032,0.00013857196549890808,0.0,16
original_eight,Ra150_Rm15000,864691136043380566,matched additive,descendant,0.0028357210775881124,0.0028357210775881124,0.0,16
original_eight,Ra150_Rm300,864691135060651419,focal shunt,depth-matched unrelated,-0.0019713941997387533,0.0019713941997387533,0.0,16
original_eight,Ra150_Rm300,864691135060651419,focal shunt,descendant,-0.13538330257459047,0.13538330257459047,0.0,16
original_eight,Ra150_Rm300,864691135060651419,matched additive,depth-matched unrelated,0.0001042976044350072,0.00010429760443504883,0.0,16
original_eight,Ra150_Rm300,864691135060651419,matched additive,descendant,0.08785771071633121,0.08785771071633121,0.0,16
original_eight,Ra150_Rm300,864691135196576298,focal shunt,depth-matched unrelated,-0.018645929833953585,0.018645929833953585,0.0,4
original_eight,Ra150_Rm300,864691135196576298,focal shunt,descendant,-0.11388509046721425,0.11388509046721425,0.0,4
original_eight,Ra150_Rm300,864691135196576298,matched additive,depth-matched unrelated,0.0,0.0,0.0,4
original_eight,Ra150_Rm300,864691135196576298,matched additive,descendant,0.003913136095299411,0.003913136095299411,0.0,4
original_eight,Ra150_Rm300,864691135277186789,focal shunt,depth-matched unrelated,-0.002950941760924559,0.002950941760924559,0.0,16
