cohort,regime,perturbation,category,mean_signed_log_change,ci95_low,ci95_high,n_cells,mean_absolute_log_change,maximum_sign_flip_fraction
original_eight,Ra150_Rm15000,focal shunt,depth-matched unrelated,-0.007080589986780274,-0.009694495804065173,-0.004751382038152957,8,0.007080589986780274,0.0
original_eight,Ra150_Rm15000,focal shunt,descendant,-0.01476901555821975,-0.022755701715918425,-0.008413150070158725,8,0.01476901555821975,0.0
original_eight,Ra150_Rm15000,matched additive,depth-matched unrelated,0.0002780919899013578,0.0001081417909863146,0.00047196239170265407,8,0.0002780919899014121,0.0
original_eight,Ra150_Rm15000,matched additive,descendant,0.00991237510541744,0.003937104300041173,0.018579908949268333,8,0.00991237510541744,0.0
original_eight,Ra150_Rm300,focal shunt,depth-matched unrelated,-0.006448479600828997,-0.010736382743388593,-0.003003780984062045,8,0.006452510218846412,0.0
original_eight,Ra150_Rm300,focal shunt,descendant,-0.11654615316403194,-0.13873873855859542,-0.09528472535566633,8,0.11654615316403194,0.0
original_eight,Ra150_Rm300,matched additive,depth-matched unrelated,0.00015705754425845384,6.471813890498381e-05,0.0002639996849097525,8,0.00015705754425848658,0.0
original_eight,Ra150_Rm300,matched additive,descendant,0.04287957816975983,0.024949548536115897,0.06255349994341372,8,0.04287957816975983,0.0
v661_disjoint,Ra150_Rm15000,focal shunt,depth-matched unrelated,-0.006443538323907661,-0.007350182879067246,-0.005616871756475348,45,0.006443538323907661,0.0
v661_disjoint,Ra150_Rm15000,focal shunt,descendant,-0.010375020022590938,-0.011985411664316416,-0.008913889728778622,45,0.010375020022590938,0.0
v661_disjoint,Ra150_Rm15000,matched additive,depth-matched unrelated,3.721650524952728e-05,1.3645802244652561e-05,6.754569705454836e-05,45,3.72165052495399e-05,0.0
v661_disjoint,Ra150_Rm15000,matched additive,descendant,0.0015533044856885904,0.001218795608387776,0.0019167781514784867,45,0.0015533044856885904,0.0
v661_disjoint,Ra150_Rm300,focal shunt,depth-matched unrelated,-0.0052494528421856345,-0.00605870026134774,-0.004513653067080533,45,0.0052494528421856345,0.0
v661_disjoint,Ra150_Rm300,focal shunt,descendant,-0.09888108894330183,-0.11362475412592661,-0.08457370819778438,45,0.09888108894330183,0.0
v661_disjoint,Ra150_Rm300,matched additive,depth-matched unrelated,3.5281751979319853e-05,1.3565240998655217e-05,6.385902996934714e-05,45,3.528175197933408e-05,0.0
v661_disjoint,Ra150_Rm300,matched additive,descendant,0.012901943050632147,0.009299937701410833,0.016964602495786577,45,0.012901943050632147,0.0
