overlap,leakage,step_size,exact_forgetting,numerical_forgetting,absolute_verification_error
0.0,0.0,0.2,0.0,0.0,0.0
0.01,0.0,0.2,0.0008000000000000001,0.0008000000000000001,0.0
0.02,0.0,0.2,0.0016000000000000003,0.0016000000000000003,0.0
0.03,0.0,0.2,0.0024000000000000002,0.0024000000000000002,0.0
0.04,0.0,0.2,0.0032000000000000006,0.0032000000000000006,0.0
0.05,0.0,0.2,0.004000000000000001,0.004,8.673617379884035e-19
0.06,0.0,0.2,0.0048000000000000004,0.0048000000000000004,0.0
0.07,0.0,0.2,0.005600000000000002,0.005600000000000002,0.0
0.08,0.0,0.2,0.006400000000000001,0.006400000000000002,8.673617379884035e-19
0.09,0.0,0.2,0.0072000000000000015,0.007200000000000003,1.734723475976807e-18
0.1,0.0,0.2,0.008000000000000002,0.008000000000000004,1.734723475976807e-18
0.11,0.0,0.2,0.008800000000000002,0.008800000000000004,1.734723475976807e-18
0.12,0.0,0.2,0.009600000000000001,0.009600000000000004,3.469446951953614e-18
0.13,0.0,0.2,0.010400000000000003,0.010400000000000006,3.469446951953614e-18
0.14,0.0,0.2,0.011200000000000003,0.011200000000000005,1.734723475976807e-18
0.15,0.0,0.2,0.012000000000000002,0.012000000000000005,3.469446951953614e-18
0.16,0.0,0.2,0.012800000000000002,0.012800000000000006,3.469446951953614e-18
0.17,0.0,0.2,0.013600000000000004,0.013600000000000004,0.0
0.18,0.0,0.2,0.014400000000000003,0.014400000000000007,3.469446951953614e-18
0.19,0.0,0.2,0.015200000000000003,0.015200000000000007,3.469446951953614e-18
0.2,0.0,0.2,0.016000000000000004,0.016000000000000007,3.469446951953614e-18
0.21,0.0,0.2,0.016800000000000002,0.01680000000000001,6.938893903907228e-18
0.22,0.0,0.2,0.017600000000000005,0.017600000000000008,3.469446951953614e-18
0.23,0.0,0.2,0.018400000000000003,0.01840000000000001,6.938893903907228e-18
0.24,0.0,0.2,0.019200000000000002,0.01920000000000001,6.938893903907228e-18
0.25,0.0,0.2,0.020000000000000004,0.02000000000000001,6.938893903907228e-18
0.26,0.0,0.2,0.020800000000000006,0.020800000000000013,6.938893903907228e-18
0.27,0.0,0.2,0.021600000000000005,0.02160000000000001,6.938893903907228e-18
0.28,0.0,0.2,0.022400000000000007,0.022400000000000014,6.938893903907228e-18
0.29,0.0,0.2,0.023200000000000002,0.02320000000000001,6.938893903907228e-18
0.3,0.0,0.2,0.024000000000000004,0.02400000000000001,6.938893903907228e-18
0.31,0.0,0.2,0.024800000000000006,0.024800000000000013,6.938893903907228e-18
0.32,0.0,0.2,0.025600000000000005,0.02560000000000001,6.938893903907228e-18
0.33,0.0,0.2,0.026400000000000007,0.026400000000000014,6.938893903907228e-18
0.34,0.0,0.2,0.02720000000000001,0.027200000000000012,3.469446951953614e-18
0.35000000000000003,0.0,0.2,0.028000000000000008,0.028000000000000014,6.938893903907228e-18
0.36,0.0,0.2,0.028800000000000006,0.028800000000000017,1.0408340855860843e-17
0.37,0.0,0.2,0.029600000000000005,0.029600000000000015,1.0408340855860843e-17
0.38,0.0,0.2,0.030400000000000007,0.030400000000000017,1.0408340855860843e-17
0.39,0.0,0.2,0.031200000000000006,0.031200000000000016,1.0408340855860843e-17
0.4,0.0,0.2,0.03200000000000001,0.032000000000000015,6.938893903907228e-18
0.41000000000000003,0.0,0.2,0.03280000000000001,0.03280000000000001,0.0
0.42,0.0,0.2,0.033600000000000005,0.03360000000000002,1.3877787807814457e-17
0.43,0.0,0.2,0.03440000000000001,0.03440000000000002,1.3877787807814457e-17
0.44,0.0,0.2,0.03520000000000001,0.035200000000000016,6.938893903907228e-18
0.45,0.0,0.2,0.03600000000000001,0.03600000000000001,0.0
0.46,0.0,0.2,0.036800000000000006,0.03680000000000002,1.3877787807814457e-17
0.47000000000000003,0.0,0.2,0.03760000000000001,0.03760000000000002,1.3877787807814457e-17
0.48,0.0,0.2,0.038400000000000004,0.03840000000000002,1.3877787807814457e-17
0.49,0.0,0.2,0.039200000000000006,0.03920000000000002,1.3877787807814457e-17
0.5,0.0,0.2,0.04000000000000001,0.04000000000000002,1.3877787807814457e-17
0.51,0.0,0.2,0.04080000000000001,0.04080000000000002,6.938893903907228e-18
0.52,0.0,0.2,0.04160000000000001,0.041600000000000026,1.3877787807814457e-17
0.53,0.0,0.2,0.04240000000000001,0.04240000000000002,1.3877787807814457e-17
0.54,0.0,0.2,0.04320000000000001,0.04320000000000002,1.3877787807814457e-17
0.55,0.0,0.2,0.04400000000000001,0.04400000000000002,6.938893903907228e-18
0.56,0.0,0.2,0.04480000000000001,0.04480000000000003,1.3877787807814457e-17
0.5700000000000001,0.0,0.2,0.045600000000000016,0.04560000000000002,6.938893903907228e-18
0.58,0.0,0.2,0.046400000000000004,0.04640000000000002,1.3877787807814457e-17
0.59,0.0,0.2,0.047200000000000006,0.04720000000000003,2.0816681711721685e-17
0.6,0.0,0.2,0.04800000000000001,0.04800000000000003,2.0816681711721685e-17
0.61,0.0,0.2,0.04880000000000001,0.048800000000000024,1.3877787807814457e-17
0.62,0.0,0.2,0.04960000000000001,0.049600000000000026,1.3877787807814457e-17
0.63,0.0,0.2,0.05040000000000001,0.05040000000000003,2.0816681711721685e-17
0.64,0.0,0.2,0.05120000000000001,0.05120000000000002,1.3877787807814457e-17
0.65,0.0,0.2,0.05200000000000001,0.052000000000000025,1.3877787807814457e-17
0.66,0.0,0.2,0.052800000000000014,0.05280000000000003,1.3877787807814457e-17
0.67,0.0,0.2,0.053600000000000016,0.05360000000000002,6.938893903907228e-18
0.68,0.0,0.2,0.05440000000000002,0.054400000000000025,6.938893903907228e-18
0.6900000000000001,0.0,0.2,0.05520000000000001,0.055200000000000034,2.0816681711721685e-17
0.7000000000000001,0.0,0.2,0.056000000000000015,0.05600000000000003,1.3877787807814457e-17
0.71,0.0,0.2,0.05680000000000001,0.056800000000000024,1.3877787807814457e-17
0.72,0.0,0.2,0.05760000000000001,0.05760000000000003,2.0816681711721685e-17
0.73,0.0,0.2,0.05840000000000001,0.058400000000000035,2.7755575615628914e-17
0.74,0.0,0.2,0.05920000000000001,0.05920000000000003,2.0816681711721685e-17
0.75,0.0,0.2,0.06000000000000001,0.060000000000000026,1.3877787807814457e-17
0.76,0.0,0.2,0.060800000000000014,0.060800000000000035,2.0816681711721685e-17
0.77,0.0,0.2,0.061600000000000016,0.06160000000000003,1.3877787807814457e-17
0.78,0.0,0.2,0.06240000000000001,0.06240000000000003,2.0816681711721685e-17
0.79,0.0,0.2,0.06320000000000002,0.06320000000000003,1.3877787807814457e-17
0.8,0.0,0.2,0.06400000000000002,0.06400000000000003,1.3877787807814457e-17
0.81,0.0,0.2,0.06480000000000001,0.06480000000000004,2.7755575615628914e-17
0.8200000000000001,0.0,0.2,0.06560000000000002,0.06560000000000003,1.3877787807814457e-17
0.8300000000000001,0.0,0.2,0.06640000000000001,0.06640000000000003,1.3877787807814457e-17
0.84,0.0,0.2,0.06720000000000001,0.06720000000000004,2.7755575615628914e-17
0.85,0.0,0.2,0.068,0.06800000000000003,2.7755575615628914e-17
0.86,0.0,0.2,0.06880000000000001,0.06880000000000004,2.7755575615628914e-17
0.87,0.0,0.2,0.06960000000000001,0.06960000000000004,2.7755575615628914e-17
