panel,record,block,route_columns,site_count,route,origin_segment,support_sites,field_t,field_normalized,field_scale,method,series,channels,total_capture_mean,ci95_low,ci95_high,n_cells,broadcast,spatial,unexplained,root_id,ancestry_total_capture,surrogate_mean,ancestry_minus_surrogate,fraction_surrogates_ge,n_replicates,control,residual_pp,residual_lo,residual_hi,total_pp,total_lo,total_hi,cells_positive,wiring_pct,dictionary_rank,cell_difference_pp,cohort,residual_capture,cell_residual_capture
B,dictionary_block,1.0,6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,2.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,3.0,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,4.0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,5.0,3+6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,6.0,3+4+6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,7.0,6+7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,dictionary_block,8.0,broadcast only,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,1.0,4784.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,2.0,4621.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,3.0,4396.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,4.0,4458.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,5.0,4975.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,6.0,4209.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,selected_route,,,,7.0,4516.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,1.0,,23.0,,,,-0.014814247512796004,-0.05693473523970366,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,2.0,,1.0,,,,-0.0009588409662364494,-0.003685057678596221,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,3.0,,1.0,,,,-0.000958840966347472,-0.0036850576790229076,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,4.0,,1.0,,,,-0.0009588409665695168,-0.0036850576798762797,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,5.0,,4.0,,,,-0.19633611225315498,-0.7545671529701844,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,6.0,,1.0,,,,-0.26019700364682175,-1.0,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,7.0,,1.0,,,,-0.044248508418887306,-0.17005771703254505,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,modeled_field_block,8.0,,38.0,,,,-0.0009588409664847887,-0.0036850576795506487,0.26019700364682175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + ancestry,Ancestry,1.0,0.2026335066924924,0.18841221138636297,0.2173138310508307,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + ancestry,Ancestry,2.0,0.2967521326782253,0.2697052498056951,0.32603868668122266,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + ancestry,Ancestry,4.0,0.4453460791579032,0.4069125683436051,0.4879580890714607,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + ancestry,Ancestry,8.0,0.6190516405382278,0.5804574586516831,0.6596528786432833,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + ancestry,Ancestry,16.0,0.8171023412498432,0.7862793454802678,0.8469044688955157,46.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,1.0,0.2026335066924924,0.1882923668809851,0.21721238762954515,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,2.0,0.2749850713369527,0.2538052097735466,0.2976364244892412,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,4.0,0.4021401032397397,0.36904658398205664,0.4380704616672447,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,8.0,0.5782466655267078,0.5377135085155296,0.620389086653445,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + surrogate ancestry,Surrogate tree,16.0,0.7812630659947999,0.7443868507618574,0.8170211059296522,46.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + depth bins,Depth bins,1.0,0.2026335066924924,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + depth bins,Depth bins,2.0,0.2634443206529706,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + depth bins,Depth bins,4.0,0.3591232312981688,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + depth bins,Depth bins,8.0,0.5114646463745609,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + depth bins,Depth bins,16.0,0.7178353776255122,,,46.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + shuffled routes,Shuffled routes,1.0,0.2026335066924924,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + shuffled routes,Shuffled routes,2.0,0.2397894610193403,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + shuffled routes,Shuffled routes,4.0,0.3117929692488645,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + shuffled routes,Shuffled routes,8.0,0.4358197896865002,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + shuffled routes,Shuffled routes,16.0,0.6337187463771767,,,46.0,,,,,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,common + random routes,Random routes,1.0,0.2026335066924924,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
