panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,exact path,training updates,,test NMSE,0.02313964400219891,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,5888.0,0.02279877255943342,0.02351778487494283,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023295286747506513,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6144.0,0.02295984857245538,0.023684661370003794,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023201707195829726,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6400.0,0.022887003400572068,0.023545405926926246,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02315562719789773,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6656.0,0.02290757823205401,0.02340476249830109,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023148425081741857,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6912.0,0.022860538415983463,0.02346119429138351,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023196075194177646,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7168.0,0.022858198163493156,0.023571131272602307,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023175033287337186,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7424.0,0.022872338554469573,0.02350604515172288,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023096138004894733,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7680.0,0.022813760574789534,0.023396245378461026,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023088819418725315,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7936.0,0.022798114932969404,0.023390126956598988,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02314188440311051,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8192.0,0.022829576547747366,0.02346926208700093,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023054101736966193,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8448.0,0.022779889655921048,0.023360692390394837,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023147152623540737,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8704.0,0.022838853402150923,0.023467168391551198,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023059251868072606,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8960.0,0.022797795591884072,0.023339028021068197,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023117255029089116,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9216.0,0.02282719198047163,0.023428188027352498,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023128104043497515,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9472.0,0.022827641457139766,0.023448874134048586,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.0232481929994641,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9728.0,0.022913569305718924,0.02360805891053577,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02314323829893202,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9984.0,0.022892924894945422,0.023411570400824942,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023274271968200328,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10240.0,0.022989307797607134,0.023583501580766667,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.02316354179963605,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10496.0,0.022855594513840994,0.02351120114216299,,,,,,,
C,Pairwise,exact path,training updates,,test NMSE,0.023181616102243268,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10752.0,0.022887425154269093,0.023518954460685963,,,,,,,
