panel,noise_variance,rank,captured_energy,twice_L_times_bound,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,record_type,checkpoint,coordinate,basis,cohort,seed,checkpoint_sha256,forward_max_difference,n_fields,mean_capture,ensemble_energy_capture,task,source,label,mean_pp,low_pp,high_pp,n_seeds,source_table,source_contrast
C,0.56,1.0,0.8,0.4705882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.5700000000000001,1.0,0.8,0.4671532846715329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.58,1.0,0.8,0.4637681159420291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.59,1.0,0.8,0.460431654676259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.6,1.0,0.8,0.45714285714285724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.61,1.0,0.8,0.4539007092198582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.62,1.0,0.8,0.4507042253521128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.63,1.0,0.8,0.4475524475524476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.64,1.0,0.8,0.44444444444444453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.65,1.0,0.8,0.44137931034482764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.66,1.0,0.8,0.43835616438356173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.67,1.0,0.8,0.435374149659864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.68,1.0,0.8,0.4324324324324325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.6900000000000001,1.0,0.8,0.4295302013422819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.7000000000000001,1.0,0.8,0.42666666666666675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.71,1.0,0.8,0.42384105960264906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.72,1.0,0.8,0.42105263157894746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.73,1.0,0.8,0.4183006535947713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.74,1.0,0.8,0.41558441558441567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.75,1.0,0.8,0.41290322580645167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.76,1.0,0.8,0.4102564102564103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.77,1.0,0.8,0.4076433121019109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.78,1.0,0.8,0.40506329113924056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.79,1.0,0.8,0.40251572327044033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.8,1.0,0.8,0.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.81,1.0,0.8,0.3975155279503106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.8200000000000001,1.0,0.8,0.39506172839506176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.8300000000000001,1.0,0.8,0.392638036809816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.84,1.0,0.8,0.39024390243902446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.85,1.0,0.8,0.387878787878788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.86,1.0,0.8,0.3855421686746988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.87,1.0,0.8,0.3832335329341318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.88,1.0,0.8,0.380952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.89,1.0,0.8,0.3786982248520711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.9,1.0,0.8,0.37647058823529417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.91,1.0,0.8,0.3742690058479533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.92,1.0,0.8,0.372093023255814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.93,1.0,0.8,0.369942196531792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.9400000000000001,1.0,0.8,0.36781609195402304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.9500000000000001,1.0,0.8,0.36571428571428577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.96,1.0,0.8,0.3636363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.97,1.0,0.8,0.36158192090395486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.98,1.0,0.8,0.35955056179775285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.99,1.0,0.8,0.35754189944134085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.0,1.0,0.8,0.3555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.01,1.0,0.8,0.3535911602209945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.02,1.0,0.8,0.35164835164835173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.03,1.0,0.8,0.3497267759562842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.04,1.0,0.8,0.3478260869565218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.05,1.0,0.8,0.345945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.06,1.0,0.8,0.34408602150537637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.07,1.0,0.8,0.34224598930481287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.08,1.0,0.8,0.34042553191489366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.09,1.0,0.8,0.33862433862433866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.1,1.0,0.8,0.33684210526315794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.11,1.0,0.8,0.33507853403141363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.12,1.0,0.8,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.1300000000000001,1.0,0.8,0.3316062176165803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.1400000000000001,1.0,0.8,0.3298969072164949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.1500000000000001,1.0,0.8,0.32820512820512826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.16,1.0,0.8,0.32653061224489804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.17,1.0,0.8,0.3248730964467006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.18,1.0,0.8,0.3232323232323233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.19,1.0,0.8,0.3216080402010051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.2,1.0,0.8,0.32000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.21,1.0,0.8,0.3184079601990051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.22,1.0,0.8,0.3168316831683169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.23,1.0,0.8,0.31527093596059114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.24,1.0,0.8,0.3137254901960785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.25,1.0,0.8,0.3121951219512196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.26,1.0,0.8,0.31067961165048547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.27,1.0,0.8,0.3091787439613527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.28,1.0,0.8,0.30769230769230776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.29,1.0,0.8,0.30622009569378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.3,1.0,0.8,0.3047619047619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.31,1.0,0.8,0.3033175355450237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.32,1.0,0.8,0.30188679245283023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.33,1.0,0.8,0.3004694835680752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.34,1.0,0.8,0.2990654205607477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.35,1.0,0.8,0.29767441860465116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.36,1.0,0.8,0.29629629629629634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.37,1.0,0.8,0.2949308755760369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.3800000000000001,1.0,0.8,0.29357798165137616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.3900000000000001,1.0,0.8,0.2922374429223744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.4000000000000001,1.0,0.8,0.29090909090909095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.41,1.0,0.8,0.28959276018099556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.42,1.0,0.8,0.2882882882882884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.43,1.0,0.8,0.2869955156950673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.44,1.0,0.8,0.28571428571428575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.45,1.0,0.8,0.2844444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.46,1.0,0.8,0.2831858407079647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.47,1.0,0.8,0.28193832599118945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.48,1.0,0.8,0.28070175438596495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.49,1.0,0.8,0.27947598253275113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.5,1.0,0.8,0.27826086956521745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.51,1.0,0.8,0.2770562770562771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.52,1.0,0.8,0.27586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.53,1.0,0.8,0.2746781115879829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.54,1.0,0.8,0.2735042735042736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.55,1.0,0.8,0.27234042553191495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.56,1.0,0.8,0.2711864406779661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.57,1.0,0.8,0.27004219409282704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.58,1.0,0.8,0.26890756302521013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,1.59,1.0,0.8,0.2677824267782427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
