panel,endpoint,comparison,unit,n_targets,mean,ci95_low,ci95_high,positive_targets,reliability,lambda_value,lambda,n_replicates,n_positive_detections,power,power_ci95_low,power_ci95_high,mean_target_effect,target_effect_sd_across_datasets,mean_effect_mc_se,n_two_sided_rejections,two_sided_rejection_rate,two_sided_ci95_low,two_sided_ci95_high,scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated
A,structure_function_partial_r,selected_scans,partial rank correlation,7.0,-0.0694614452169,-0.250817828682,0.105545551658,3.0,,,,,,,,,,,,,,,,,,,,,,,
A,structure_function_partial_r,scan_complete,partial rank correlation,7.0,-0.0484970176243,-0.223969809949,0.118289595519,3.0,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,measured,0.0,0.0,4000.0,99.0,0.02475,0.02037209333687362,0.030039857509987646,0.0018083004638001143,0.07997978882729125,0.0012645914973676382,198.0,0.0495,0.043199593091043056,0.056664865312978,,,,,,,,
B,,,,,,,,,measured,0.05,0.05,4000.0,211.0,0.05275,0.04624188830529401,0.060116333717343984,0.028882081366574573,0.08037464224956917,0.0012708346781491909,256.0,0.064,0.05682559179736392,0.07201104275125579,,,,,,,,
B,,,,,,,,,measured,0.1,0.1,4000.0,369.0,0.09225,0.08366921385253262,0.10161321215021893,0.0558992429388028,0.08032221798315861,0.0012700057777165867,386.0,0.0965,0.08773281532304618,0.10604145541174294,,,,,,,,
B,,,,,,,,,measured,0.15,0.15,4000.0,595.0,0.14875,0.13805969383907254,0.16011431507194276,0.0821926197963372,0.0792019934033372,0.0012522934719008828,602.0,0.1505,0.13975484584304732,0.16191580501645403,,,,,,,,
B,,,,,,,,,measured,0.2,0.2,4000.0,908.0,0.227,0.21428413622696052,0.24023971980921655,0.10708190640656964,0.07803395666552003,0.001233825189489607,911.0,0.22775,0.21501832362606754,0.24100409324517497,,,,,,,,
B,,,,,,,,,measured,0.25,0.25,4000.0,1263.0,0.31575,0.3015281374931419,0.33032541735911314,0.13011703784009693,0.07642199536117612,0.001208337843380694,1263.0,0.31575,0.3015281374931419,0.33032541735911314,,,,,,,,
B,,,,,,,,,measured,0.3,0.3,4000.0,1615.0,0.40375,0.38864428707719717,0.41904040575607043,0.15164002859433703,0.0749116099159896,0.0011844565526229096,1615.0,0.40375,0.38864428707719717,0.41904040575607043,,,,,,,,
B,,,,,,,,,measured,0.35,0.35,4000.0,1954.0,0.4885,0.4730276858399793,0.5039943813556839,0.17173630677765206,0.07338868908766347,0.0011603770600548055,1954.0,0.4885,0.4730276858399793,0.5039943813556839,,,,,,,,
B,,,,,,,,,measured,0.4,0.4,4000.0,2306.0,0.5765,0.5611213320055205,0.5917318731711553,0.19016706218417007,0.07194337079165636,0.001137524571258326,2306.0,0.5765,0.5611213320055205,0.5917318731711553,,,,,,,,
B,,,,,,,,,measured,0.45,0.45,4000.0,2601.0,0.65025,0.6353335008643747,0.66487818642707,0.20743140218750014,0.07011224668139569,0.001108571956923961,2601.0,0.65025,0.6353335008643747,0.66487818642707,,,,,,,,
B,,,,,,,,,measured,0.5,0.5,4000.0,2838.0,0.7095,0.6952351771306157,0.7233628161309994,0.22336627827803893,0.06855217129556236,0.0010839049992199645,2838.0,0.7095,0.6952351771306157,0.7233628161309994,,,,,,,,
B,,,,,,,,,measured,0.55,0.55,4000.0,3079.0,0.76975,0.7564484199909356,0.7825339603542705,0.23794145773546205,0.06739856706829152,0.0010656649148370924,3079.0,0.76975,0.7564484199909356,0.7825339603542705,,,,,,,,
B,,,,,,,,,measured,0.6,0.6,4000.0,3234.0,0.8085,0.7960123730183561,0.8203956504718981,0.2516807455914419,0.06613789850979279,0.0010457319947400066,3234.0,0.8085,0.7960123730183561,0.8203956504718981,,,,,,,,
B,,,,,,,,,measured,0.65,0.65,4000.0,3393.0,0.84825,0.8367977337673299,0.8590340139813929,0.264814344606739,0.06492446112433964,0.0010265458650598484,3393.0,0.84825,0.8367977337673299,0.8590340139813929,,,,,,,,
B,,,,,,,,,measured,0.7,0.7,4000.0,3513.0,0.87825,0.8677519025693741,0.8880222785819667,0.27746376829222774,0.06377428457188059,0.0010083599769743945,3513.0,0.87825,0.8677519025693741,0.8880222785819667,,,,,,,,
B,,,,,,,,,measured,0.75,0.75,4000.0,3600.0,0.9,0.890315836611417,0.9089166087568219,0.28930656116200404,0.06272452311672902,0.0009917617909837363,3600.0,0.9,0.890315836611417,0.9089166087568219,,,,,,,,
B,,,,,,,,,measured,0.8,0.8,4000.0,3686.0,0.9215,0.9127548805044723,0.9294363088023094,0.3005578389635229,0.06166749253062246,0.000975048669940939,3686.0,0.9215,0.9127548805044723,0.9294363088023094,,,,,,,,
B,,,,,,,,,measured,0.85,0.85,4000.0,3731.0,0.93275,0.924565900783893,0.9401037010488703,0.31132604159458266,0.06067916706524874,0.000959421872240305,3731.0,0.93275,0.924565900783893,0.9401037010488703,,,,,,,,
B,,,,,,,,,measured,0.9,0.9,4000.0,3785.0,0.94625,0.9388231700597702,0.9528205268041714,0.32168721448311,0.059436100890650295,0.0009397672702700867,3785.0,0.94625,0.9388231700597702,0.9528205268041714,,,,,,,,
B,,,,,,,,,measured,0.95,0.95,4000.0,3828.0,0.957,0.9502627803427973,0.9628602884904155,0.33158090532474727,0.05834363642477303,0.0009224938903952294,3828.0,0.957,0.9502627803427973,0.9628602884904155,,,,,,,,
B,,,,,,,,,measured,1.0,1.0,4000.0,3849.0,0.96225,0.9558863273972462,0.9677266672814249,0.34132738077557145,0.05766512173771341,0.0009117656312103056,3849.0,0.96225,0.9558863273972462,0.9677266672814249,,,,,,,,
B,,,,,,,,,perfect,0.0,0.0,4000.0,118.0,0.0295,0.024690961833287284,0.03521187430232181,0.0019211787308552521,0.08032062220274211,0.0012699805462127785,219.0,0.05475,0.04811772883093955,0.062236655418539635,,,,,,,,
B,,,,,,,,,perfect,0.05,0.05,4000.0,554.0,0.1385,0.12814175062732241,0.14955192687113178,0.0737524522142997,0.0798368029229679,0.0012623306917128347,564.0,0.141,0.1305590124343197,0.15212986784768598,,,,,,,,
B,,,,,,,,,perfect,0.1,0.1,4000.0,1468.0,0.367,0.35219758541654517,0.38205762649851555,0.14032153588878105,0.07728394903271461,0.0012219665275787252,1469.0,0.36725,0.35244521302991977,0.38230951916349615,,,,,,,,
B,,,,,,,,,perfect,0.15,0.15,4000.0,2427.0,0.60675,0.5915168849164838,0.621778273941165,0.19760951486894412,0.07331568654306692,0.0011592227884752399,2428.0,0.607,0.5917683377712581,0.6220263413647458,,,,,,,,
B,,,,,,,,,perfect,0.2,0.2,4000.0,3162.0,0.7905,0.7776129175471843,0.8028296459014991,0.24383713675385635,0.06961090595299248,0.0011006450639961507,3162.0,0.7905,0.7776129175471843,0.8028296459014991,,,,,,,,
B,,,,,,,,,perfect,0.25,0.25,4000.0,3499.0,0.87475,0.86413139298583,0.8846495042685388,0.28071297348350976,0.06690105765065052,0.0010577986002514449,3499.0,0.87475,0.86413139298583,0.8846495042685388,,,,,,,,
B,,,,,,,,,perfect,0.3,0.3,4000.0,3685.0,0.92125,0.9124930229350141,0.9291986460934125,0.3114915115756309,0.06479684240771173,0.0010245280359767893,3685.0,0.92125,0.9124930229350141,0.9291986460934125,,,,,,,,
B,,,,,,,,,perfect,0.35,0.35,4000.0,3777.0,0.94425,0.9367041726678699,0.9509433619692306,0.33761709199959217,0.06353459842565518,0.0010045702062460922,3777.0,0.94425,0.9367041726678699,0.9509433619692306,,,,,,,,
B,,,,,,,,,perfect,0.4,0.4,4000.0,3833.0,0.95825,0.9515992407693703,0.9640214294556184,0.36109550825912395,0.062093561632027075,0.0009817854139462382,3833.0,0.95825,0.9515992407693703,0.9640214294556184,,,,,,,,
B,,,,,,,,,perfect,0.45,0.45,4000.0,3884.0,0.971,0.9653307106010571,0.9757654938200442,0.38260304134415785,0.060071793068978224,0.0009498184461414377,3884.0,0.971,0.9653307106010571,0.9757654938200442,,,,,,,,
B,,,,,,,,,perfect,0.5,0.5,4000.0,3918.0,0.9795,0.974626668092117,0.9834532257930595,0.40223115859040015,0.05830996746293984,0.0009219615373659987,3918.0,0.9795,0.974626668092117,0.9834532257930595,,,,,,,,
B,,,,,,,,,perfect,0.55,0.55,4000.0,3939.0,0.98475,0.9804606859608804,0.9881091337697541,0.42055042123283637,0.05632670712572826,0.0008906034380726877,3939.0,0.98475,0.9804606859608804,0.9881091337697541,,,,,,,,
