hierarchy,cohort,run_dir,config_index,seed,regime,architecture,mechanism,credit,depth,branch_factors,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,0,10200,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,38af1fa0deef0b16e4a1168091b849a443c53042c3c0971748158987a0bd5364,36fb2fe4d0d91d2d5597612f4bf842ada6019a1a48ab1e37b5020ac331de6854,0,False,0.6098999977111816,0.6100000143051147,0.6062999963760376,0.6601506471633911,0.6584920883178711,0.65017169713974,-0.6521635055541992,-0.65268474817276,-0.6570888757705688
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,1,10201,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,cf0af01eb7987d6a88c9dec94a0fd2e9204a805c338efe76565a11bf43c4ab87,d70d297e2e0c85911fada53cbda5b4e0820c876576c9e3fae6fce177affac9cb,0,False,0.6216999888420105,0.6114999651908875,0.6128999590873718,0.6719881892204285,0.6546339988708496,0.6548546552658081,-0.6457363367080688,-0.6555073261260986,-0.655607283115387
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,2,10202,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,5a5cdbd710bedecf26583a3fdefc53de79207513abd79652f6287db9298a86de,39f4dec197d3601e7cfb1678ff5acef087f14c071d125137449ddb09015921c9,0,False,0.6129999756813049,0.6119999885559082,0.6150000095367432,0.6602505445480347,0.6539646983146667,0.6554334759712219,-0.651961624622345,-0.6557343602180481,-0.6556159853935242
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,3,10203,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,1f7aeb778946071a98f77407b3b8f771a1e04a9fc52b91d26c404f6b764bbb6d,9b0ba579003b93acc68260b4201e85e9be18efecae7355967d0174acd4e6671a,0,False,0.6215999722480774,0.6139000058174133,0.6105999946594238,0.665164053440094,0.6597496271133423,0.6515676975250244,-0.6499782800674438,-0.6535024046897888,-0.6569262742996216
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,4,10204,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,4f1fc906c3fb13ea4e3ab7f3173824a2f3a0f79b96633fd778ba5417e80b07cf,3176b37cb84cf226cf0cc7d4c72ba712f5b0b561fdea7c48038f1e7d0a89e773,0,False,0.6256999969482422,0.6114999651908875,0.6008999943733215,0.669594943523407,0.6536791324615479,0.6442314982414246,-0.6484502553939819,-0.6558992266654968,-0.660352885723114
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,5,10205,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,02ad58aee98a1f923881fb5a6c844e52641bb952a898b383fb87057a2d3e18d1,33181d88c2758bdd895adc5b7cb451a60b4a90028e1312e1cd34c241e06278ef,0,False,0.6123999953269958,0.5989999771118164,0.6089999675750732,0.6593645811080933,0.6432517766952515,0.6544353365898132,-0.6528986692428589,-0.6603774428367615,-0.6555069088935852
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,6,10206,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,debcd18aa8e61937d6040fc575106f25d600b5d520039021dddace422f57f780,8182d4c042a1e5df6e2cc188c48d3d34f3dbaee707abce57599426b852dca385,0,False,0.6103000044822693,0.6100999712944031,0.609499990940094,0.6567865610122681,0.6517608761787415,0.6537938117980957,-0.6534560322761536,-0.6565167307853699,-0.6552602648735046
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,7,10207,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,82583ed5f1ccdb706b9b3dd04f6a588e8a299dd4b193b694aaa85b3bee07ae3f,695530838e651e35543a9d42cd8300289a180939dc18844eeb46c299204f1886,0,False,0.6193000078201294,0.6154999732971191,0.6083999872207642,0.6614623069763184,0.6596507430076599,0.6486987471580505,-0.6515102982521057,-0.6520617604255676,-0.6587837934494019
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,8,10208,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,f42b5f5dd3fb50005d90b9122a51bb24d11257118e57ebfac21404a94941f49e,159ecc307c84adcc3e19144f6e7583f01adfc562674727b9a75aa0729942b8b5,0,False,0.6168000102043152,0.6114000082015991,0.6157000064849854,0.66490638256073,0.6490874886512756,0.6545153260231018,-0.6496137380599976,-0.6589192152023315,-0.6555769443511963
3,journal_remaining_h3_aligned_grouped_point_bp,/n/holylabs/kempner_dev/Users/hsafaai/Code/.dendritic-modeling-journal-runtimes/h4-a99c3a7/remaining_physical_experiment_runs/journal_remaining_h3_aligned_grouped_point_bp_20260819214647,9,10209,aligned,grouped_point,shunting,full_bp,1,8,66178,66178,14336,21760,2944,58440788e5ef4f3a596ef26c4005138c0dd9748cd7d62128546718af0bfc5e49,7ebcb6ecb1f360007799eece66f76f1a45dd4348e1efbfef8da6ca9136e0d208,0,False,0.616599977016449,0.6114999651908875,0.6067000031471252,0.6566351056098938,0.652225136756897,0.6511257886886597,-0.6547186374664307,-0.6563270688056946,-0.6565154194831848
