seed,h2_depth__serial_bp__aligned,h2_depth__serial_bp__rewired_tree,h2_placement_interaction__serial_bp,h2_depth__grouped_bp__aligned,h2_depth__grouped_bp__rewired_tree,h2_placement_interaction__grouped_bp,h2_depth__shared_local__aligned,h2_depth__shared_local__rewired_tree,h2_placement_interaction__shared_local,h2_depth__path_local__aligned,h2_depth__path_local__rewired_tree,h2_placement_interaction__path_local,h2_serial_minus_grouped__aligned__d2,h2_serial_minus_grouped__rewired_tree__d2,h2_architecture_placement_interaction__d2,h3_depth__serial_bp__aligned,h3_depth__serial_bp__rewired_tree,h3_placement_interaction__serial_bp,h3_depth__grouped_bp__aligned,h3_depth__grouped_bp__rewired_tree,h3_placement_interaction__grouped_bp,h3_depth__shared_local__aligned,h3_depth__shared_local__rewired_tree,h3_placement_interaction__shared_local,h3_depth__path_local__aligned,h3_depth__path_local__rewired_tree,h3_placement_interaction__path_local,h3_serial_minus_grouped__aligned__d3,h3_serial_minus_grouped__rewired_tree__d3,h3_architecture_placement_interaction__d3,h3_additive_depth__aligned,h3_shunting_additive_depth_interaction__aligned
10200,,,,,,,,,,,,,,,,0.30539995431900024,-0.005299985408782959,0.3106999397277832,0.000800013542175293,0.0004000067710876465,0.0004000067710876465,0.1687999963760376,-0.009700000286102295,0.1784999966621399,0.26749998331069946,-0.009700000286102295,0.27719998359680176,0.30459994077682495,-0.0056999921798706055,0.31029993295669556,-0.08060002326965332,0.38599997758865356
10201,,,,,,,,,,,,,,,,0.30629998445510864,-0.0012000203132629395,0.3075000047683716,0.00010001659393310547,0.0004000067710876465,-0.000299990177154541,0.17409998178482056,-0.0040999650955200195,0.17819994688034058,0.28130000829696655,-0.007200002670288086,0.28850001096725464,0.3066999912261963,-0.001100003719329834,0.3077999949455261,-0.0681999921798706,0.37449997663497925
10202,,,,,,,,,,,,,,,,0.29989999532699585,0.005299985408782959,0.2946000099182129,0.0007999539375305176,0.00019997358322143555,0.000599980354309082,0.17079997062683105,0.0023999810218811035,0.16839998960494995,0.2733999490737915,0.003099977970123291,0.2702999711036682,0.29910004138946533,0.0051000118255615234,0.2940000295639038,-0.05200004577636719,0.35190004110336304
10203,,,,,,,,,,,,,,,,0.307699978351593,-0.010200023651123047,0.31790000200271606,0.0009999871253967285,-0.000800013542175293,0.0018000006675720215,0.1625000238418579,-0.009700000286102295,0.1722000241279602,0.2621999979019165,-0.011900007724761963,0.27410000562667847,0.3066999912261963,-0.009400010108947754,0.31610000133514404,-0.10680001974105835,0.41449999809265137
10204,,,,,,,,,,,,,,,,0.30729997158050537,-0.004800021648406982,0.31209999322891235,-0.00020003318786621094,0.0007999539375305176,-0.0009999871253967285,0.1654999852180481,-0.0076999664306640625,0.17319995164871216,0.2936999797821045,-0.007200002670288086,0.3008999824523926,0.3075000047683716,-0.0055999755859375,0.3130999803543091,-0.10910004377365112,0.4164000153541565
10205,,,,,,,,,,,,,,,,0.3098999857902527,-0.00270003080368042,0.3126000165939331,-0.0015000104904174805,-0.00020003318786621094,-0.0012999773025512695,0.17299997806549072,-0.0045999884605407715,0.1775999665260315,0.28669995069503784,-0.004500031471252441,0.2911999821662903,0.31139999628067017,-0.002499997615814209,0.3138999938964844,-0.09799998998641968,0.40789997577667236
10206,,,,,,,,,,,,,,,,0.30320000648498535,-0.004600048065185547,0.3078000545501709,0.000599980354309082,0.00019997358322143555,0.0004000067710876465,0.18320000171661377,-0.008199989795684814,0.19139999151229858,0.2767999768257141,-0.008400022983551025,0.28519999980926514,0.30260002613067627,-0.004800021648406982,0.30740004777908325,-0.06179994344711304,0.3649999499320984
10207,,,,,,,,,,,,,,,,0.3133999705314636,-0.0056999921798706055,0.31909996271133423,0.000299990177154541,0.0,0.000299990177154541,0.17869997024536133,-0.009900033473968506,0.18860000371932983,0.27640002965927124,-0.010500013828277588,0.28690004348754883,0.3130999803543091,-0.0056999921798706055,0.3187999725341797,-0.06749999523162842,0.38089996576309204
10208,,,,,,,,,,,,,,,,0.30790001153945923,-0.009299993515014648,0.3172000050544739,-0.0009000301361083984,-0.0006999969482421875,-0.00020003318786621094,0.1462000012397766,-0.018899977207183838,0.16509997844696045,0.26190000772476196,-0.015600025653839111,0.2775000333786011,0.31040000915527344,-0.00959998369216919,0.3199999928474426,-0.05600005388259888,0.3639000654220581
10209,,,,,,,,,,,,,,,,0.3246999979019165,-0.0007999539375305176,0.325499951839447,0.000299990177154541,-0.0004000067710876465,0.0006999969482421875,0.16939997673034668,-0.008100032806396484,0.17750000953674316,0.2914999723434448,-0.0067999958992004395,0.29829996824264526,0.32440000772476196,-0.000899970531463623,0.3252999782562256,0.01940000057220459,0.3052999973297119
10300,0.3138999938964844,-0.010600030422210693,0.32450002431869507,0.00010001659393310547,-0.0006999969482421875,0.000800013542175293,0.21060001850128174,-0.014700055122375488,0.22530007362365723,0.3174999952316284,-0.019999980926513672,0.3374999761581421,0.31379997730255127,-0.010500013828277588,0.32429999113082886,,,,,,,,,,,,,,,,,
10301,0.3046000003814697,-0.018299996852874756,0.3228999972343445,0.0,-0.000500023365020752,0.000500023365020752,0.22209995985031128,-0.018999993801116943,0.24109995365142822,0.3073999881744385,-0.018799960613250732,0.3261999487876892,0.3046000003814697,-0.01789999008178711,0.32249999046325684,,,,,,,,,,,,,,,,,
10302,0.2997000217437744,-0.0209999680519104,0.3206999897956848,0.0009000301361083984,-0.00020003318786621094,0.0011000633239746094,0.24459999799728394,-0.020000040531158447,0.2646000385284424,0.3011999726295471,-0.023099958896636963,0.3242999315261841,0.298799991607666,-0.02049994468688965,0.31929993629455566,,,,,,,,,,,,,,,,,
10303,0.30709999799728394,-0.017099976539611816,0.32419997453689575,0.0004999637603759766,0.0,0.0004999637603759766,0.1711999773979187,-0.019500017166137695,0.1906999945640564,0.31290000677108765,-0.020799994468688965,0.3337000012397766,0.30660003423690796,-0.01759999990463257,0.3242000341415405,,,,,,,,,,,,,,,,,
