hierarchy,regime,architecture,mechanism,credit,depth,n_seeds,mean_test_accuracy,ci_low,ci_high
2,aligned,grouped_point,shunting,full_bp,1,10,0.6588699817657471,0.6555799840390683,0.6617999911308289
2,aligned,grouped_point,shunting,full_bp,2,10,0.6592699825763703,0.6557799933850765,0.6623299778997898
2,aligned,serial_tree,shunting,full_bp,1,10,0.6588699817657471,0.6555999755859375,0.661819988489151
2,aligned,serial_tree,shunting,full_bp,2,10,0.9672699749469758,0.9655299723148346,0.9690199732780457
2,aligned,serial_tree,shunting,local_path,1,10,0.654999977350235,0.6513599812984466,0.6581499814987183
2,aligned,serial_tree,shunting,local_path,2,10,0.968539971113205,0.9657497173547746,0.9709999680519104
2,aligned,serial_tree,shunting,local_shared,1,10,0.6547499835491181,0.6511899828910828,0.6577702397108077
2,aligned,serial_tree,shunting,local_shared,2,10,0.8691599786281585,0.8498099921643735,0.887009984254837
2,rewired_tree,grouped_point,shunting,full_bp,1,10,0.659119987487793,0.6556999981403351,0.6621599733829499
2,rewired_tree,grouped_point,shunting,full_bp,2,10,0.6591599822044373,0.6559099853038788,0.6621099770069122
2,rewired_tree,serial_tree,shunting,full_bp,1,10,0.6589999794960022,0.6555599927902221,0.6620899797976016
2,rewired_tree,serial_tree,shunting,full_bp,2,10,0.6428199827671051,0.6397899806499481,0.6453799843788147
2,rewired_tree,serial_tree,shunting,local_path,1,10,0.655189973115921,0.6521499752998352,0.6578799664974213
2,rewired_tree,serial_tree,shunting,local_path,2,10,0.6351799905300141,0.6322599887847901,0.637970250248909
2,rewired_tree,serial_tree,shunting,local_shared,1,10,0.6554499864578247,0.6520799815654754,0.6584202460944653
2,rewired_tree,serial_tree,shunting,local_shared,2,10,0.638049978017807,0.6349399863183499,0.6407299757003784
3,aligned,grouped_point,shunting,full_bp,1,10,0.609499990940094,0.6068199932575226,0.6120199918746948
3,aligned,grouped_point,shunting,full_bp,2,10,0.6101599931716919,0.607260000705719,0.6129799902439117
3,aligned,grouped_point,shunting,full_bp,3,10,0.6096299767494202,0.6069497235119343,0.6121599733829498
3,aligned,serial_tree,raw_additive,full_bp,1,10,0.5886899888515472,0.5749797289073467,0.6030502493679524
3,aligned,serial_tree,raw_additive,full_bp,2,10,0.5248499870300293,0.5062499880790711,0.5427299857139587
3,aligned,serial_tree,raw_additive,full_bp,3,10,0.5206299781799316,0.5054997269809246,0.5386502261459828
3,aligned,serial_tree,shunting,full_bp,1,10,0.6097099900245666,0.6068997330963611,0.6124599874019623
3,aligned,serial_tree,shunting,full_bp,2,10,0.6753499805927277,0.672409987449646,0.678199976682663
3,aligned,serial_tree,shunting,full_bp,3,10,0.9182799756526947,0.9143999753892422,0.9224499762058258
3,aligned,serial_tree,shunting,local_path,1,10,0.6084399878978729,0.6052499890327454,0.6115699887275696
3,aligned,serial_tree,shunting,local_path,2,10,0.6720899879932404,0.6692899942398072,0.674759978055954
3,aligned,serial_tree,shunting,local_path,3,10,0.8855799734592438,0.8793599724769592,0.8912099778652192
3,aligned,serial_tree,shunting,local_shared,1,10,0.6085499882698059,0.6051799893379212,0.6117199897766114
3,aligned,serial_tree,shunting,local_shared,2,10,0.6683799862861634,0.6656797355413437,0.6713499963283539
3,aligned,serial_tree,shunting,local_shared,3,10,0.7777699768543244,0.7708597248792649,0.7844199717044831
3,rewired_tree,grouped_point,shunting,full_bp,1,10,0.6109199941158294,0.6080099999904632,0.6134899914264679
3,rewired_tree,grouped_point,shunting,full_bp,2,10,0.611109983921051,0.608079981803894,0.6137299835681915
3,rewired_tree,grouped_point,shunting,full_bp,3,10,0.6109099805355072,0.608109974861145,0.6134199798107147
3,rewired_tree,serial_tree,shunting,full_bp,1,10,0.6108199954032898,0.6078099966049194,0.613400000333786
3,rewired_tree,serial_tree,shunting,full_bp,2,10,0.606199985742569,0.6027899861335755,0.6097599864006042
3,rewired_tree,serial_tree,shunting,full_bp,3,10,0.6068899869918823,0.6030799865722656,0.6112699806690216
3,rewired_tree,serial_tree,shunting,local_path,1,10,0.6103399872779847,0.6074399948120117,0.6130699872970581
3,rewired_tree,serial_tree,shunting,local_path,2,10,0.6040799975395202,0.5997999966144562,0.6085299968719482
3,rewired_tree,serial_tree,shunting,local_path,3,10,0.6024699747562409,0.5985699772834778,0.6074199736118316
3,rewired_tree,serial_tree,shunting,local_shared,1,10,0.6103199899196625,0.6074499905109405,0.6130499899387359
3,rewired_tree,serial_tree,shunting,local_shared,2,10,0.6053999841213227,0.6015799820423127,0.6089299857616425
3,rewired_tree,serial_tree,shunting,local_shared,3,10,0.6024699926376342,0.5983997352421284,0.6073699951171875
