contrast,detail,n_seeds,mean_accuracy,mean_pp,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,exact_two_sided_sign_flip_p,positive_claim_gate
h2_depth__serial_bp__aligned,H=2 aligned: D2 minus D1 for serial_bp,10,0.3083999931812286,30.839999318122864,30.461997985839844,31.22799932956696,10,0,0.001953125,True
h2_depth__serial_bp__rewired_tree,H=2 rewired_tree: D2 minus D1 for serial_bp,10,-0.016179996728897094,-1.6179996728897095,-1.7949992567300799,-1.4290010929107666,0,10,0.001953125,False
h2_placement_interaction__serial_bp,H=2 aligned-minus-reversed depth interaction for serial_bp,10,0.3245799899101257,32.45799899101257,32.19699740409851,32.73599982261658,10,0,0.001953125,True
h2_depth__grouped_bp__aligned,H=2 aligned: D2 minus D1 for grouped_bp,10,0.0004000008106231689,0.040000081062316895,0.0020009279251098633,0.07499933242797852,7,2,0.078125,False
h2_depth__grouped_bp__rewired_tree,H=2 rewired_tree: D2 minus D1 for grouped_bp,10,3.999471664428711e-05,0.003999471664428711,-0.02499997615814209,0.03399848937988281,4,4,0.828125,False
h2_placement_interaction__grouped_bp,H=2 aligned-minus-reversed depth interaction for grouped_bp,10,0.0003600060939788818,0.036000609397888184,-0.02099931240081787,0.08600056171417236,7,3,0.240234375,False
h2_depth__shared_local__aligned,H=2 aligned: D2 minus D1 for shared_local,10,0.21440999507904052,21.440999507904053,19.613999724388123,23.149049788713462,10,0,0.001953125,True
h2_depth__shared_local__rewired_tree,H=2 rewired_tree: D2 minus D1 for shared_local,10,-0.0174000084400177,-1.74000084400177,-1.8970000743865967,-1.574000120162964,0,10,0.001953125,False
h2_placement_interaction__shared_local,H=2 aligned-minus-reversed depth interaction for shared_local,10,0.23181000351905823,23.181000351905823,21.31100058555603,24.97002595663071,10,0,0.001953125,True
h2_depth__path_local__aligned,H=2 aligned: D2 minus D1 for path_local,10,0.31353999376297,31.353999376296997,30.887998938560486,31.822999715805057,10,0,0.001953125,True
h2_depth__path_local__rewired_tree,H=2 rewired_tree: D2 minus D1 for path_local,10,-0.02000998258590698,-2.0009982585906982,-2.1409976482391357,-1.866996884346008,0,10,0.001953125,False
h2_placement_interaction__path_local,H=2 aligned-minus-reversed depth interaction for path_local,10,0.33354997634887695,33.354997634887695,32.94999657571315,33.767998814582825,10,0,0.001953125,True
h2_serial_minus_grouped__aligned__d2,H=2 aligned: serial minus grouped point at D2,10,0.3079999923706055,30.79999923706055,30.397973150014877,31.208997979760174,10,0,0.001953125,True
h2_serial_minus_grouped__rewired_tree__d2,H=2 rewired_tree: serial minus grouped point at D2,10,-0.016339999437332154,-1.6339999437332153,-1.7949986457824707,-1.4490002393722534,0,10,0.001953125,False
h2_architecture_placement_interaction__d2,H=2 architecture-by-placement interaction at D2,10,0.3243399918079376,32.43399918079376,32.131999120116234,32.75599956512451,10,0,0.001953125,True
h3_depth__serial_bp__aligned,H=3 aligned: D3 minus D1 for serial_bp,10,0.30856998562812804,30.856998562812805,30.50799906253815,31.288998723030094,10,0,0.001953125,True
h3_depth__serial_bp__rewired_tree,H=3 rewired_tree: D3 minus D1 for serial_bp,10,-0.003930008411407471,-0.3930008411407471,-0.6420010328292847,-0.11700153350830077,1,9,0.0234375,False
h3_placement_interaction__serial_bp,H=3 aligned-minus-reversed depth interaction for serial_bp,10,0.31249999403953554,31.249999403953556,30.73199987411499,31.71799838542938,10,0,0.001953125,True
h3_depth__grouped_bp__aligned,H=3 aligned: D3 minus D1 for grouped_bp,10,0.00012998580932617189,0.01299858093261719,-0.03700137138366699,0.05699695646762848,7,3,0.63671875,False
