cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,exact,True,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,exact,True,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,exact,True,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,exact,True,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,unit_broadcast,True,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,unit_broadcast,True,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,sign_broadcast,False,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,sign_broadcast,False,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,sign_broadcast,True,path_q,6,0.3553076644254206,1.6763008159999269,3,4,0.7560134832060524
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,sign_broadcast,True,loss_credit,6,0.22517657612003228,1.7123463703379593,3,4,0.7460226019882152
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,sign_broadcast,True,parameter_jacobian_nonroot,24,1.6410282244868675,8.185252013357573,11,13,0.2212570521648591
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,sign_broadcast,True,parameter_gradient_nonroot,24,0.9722532222895442,6.769844381732022,11,13,0.29024251936333817
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,exact,True,path_q,6,0.36038595750822133,1.672114052732074,3,4,0.7572252630191086
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,exact,True,loss_credit,6,0.2240105508185395,1.7311927997158654,3,4,0.7410280081911234
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,exact,True,parameter_jacobian_nonroot,24,1.66211674829367,8.250489514849415,11,13,0.2227843302492362
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,exact,True,parameter_gradient_nonroot,24,0.9694169661932084,6.854357302903195,11,13,0.28719120611186333
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,path_q,6,0.35713045128123666,1.6845868320806625,3,4,0.7536784339948362
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,loss_credit,6,0.22649081964758594,1.7316469616353567,3,4,0.7407313213193782
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,parameter_jacobian_nonroot,24,1.6511748682667082,8.216538432109266,11,13,0.22124197050662256
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,parameter_gradient_nonroot,24,0.9802661713659532,6.825375578986372,11,13,0.28710720683239593
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,path_q,6,0.36118115834374925,1.7016685722847162,3,4,0.7488424269436059
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,loss_credit,6,0.2295416986764218,1.7713714310664117,3,4,0.7299255578729125
