cohort,seed,task_group,optimizer,step,field,total_energy,effective_rank,rank95,rank99,leading_fraction
saved_conductance,15400,0,sgd,0,path_q,0.590347581624962,1.0240158686116263,1,2,0.9881491830968625
saved_conductance,15400,0,sgd,0,loss_credit,0.0037617549987498163,1.0270275775240114,1,2,0.9866767766786209
saved_conductance,15400,0,sgd,1000,path_q,0.5095938809529028,1.0167709426985765,1,1,0.9917002988046606
saved_conductance,15400,0,sgd,1000,loss_credit,1.4265382738189776e-06,1.0129513609374934,1,1,0.9935756680833825
saved_conductance,15400,0,adam,0,path_q,0.590347581624962,1.0240158686116263,1,2,0.9881491830968625
saved_conductance,15400,0,adam,0,loss_credit,0.0037617549987498163,1.0270275775240114,1,2,0.9866767766786209
saved_conductance,15400,0,adam,1000,path_q,0.5054291325163869,1.016896732570879,1,1,0.9916387278679528
saved_conductance,15400,0,adam,1000,loss_credit,9.386271814188229e-07,1.013363859786489,1,1,0.9933721236875104
saved_conductance,15400,1,sgd,0,path_q,0.5903475816249619,1.024015868611626,1,2,0.9881491830968626
saved_conductance,15400,1,sgd,0,loss_credit,0.004444204658883911,1.0249825979200076,1,2,0.9876736615533048
saved_conductance,15400,1,sgd,1000,path_q,0.5132727940405384,1.0169549562569444,1,1,0.9916100200694145
saved_conductance,15400,1,sgd,1000,loss_credit,8.6443969895838e-07,1.0132232978232523,1,1,0.99344164359489
saved_conductance,15400,1,adam,0,path_q,0.5903475816249619,1.024015868611626,1,2,0.9881491830968626
saved_conductance,15400,1,adam,0,loss_credit,0.004444204658883911,1.0249825979200076,1,2,0.9876736615533048
saved_conductance,15400,1,adam,1000,path_q,0.5011742430741529,1.0172652678536425,1,1,0.9914580385456799
saved_conductance,15400,1,adam,1000,loss_credit,1.2451731250986e-06,1.013308203335361,1,1,0.9933999474475046
saved_conductance,15400,2,sgd,0,path_q,0.5903475816249618,1.0240158686116256,1,2,0.9881491830968628
saved_conductance,15400,2,sgd,0,loss_credit,0.002568418821375456,1.0294557779855569,1,2,0.9854966089677784
saved_conductance,15400,2,sgd,1000,path_q,0.5084512685909901,1.0164902781033558,1,1,0.9918381163092845
saved_conductance,15400,2,sgd,1000,loss_credit,1.6307851409420878e-06,1.0151001704034752,1,1,0.992519891585196
saved_conductance,15400,2,adam,0,path_q,0.5903475816249618,1.0240158686116256,1,2,0.9881491830968628
saved_conductance,15400,2,adam,0,loss_credit,0.002568418821375456,1.0294557779855569,1,2,0.9854966089677784
saved_conductance,15400,2,adam,1000,path_q,0.5101796750349297,1.0166758503908628,1,1,0.9917470342974792
saved_conductance,15400,2,adam,1000,loss_credit,3.756197363254723e-07,1.01315159241396,1,1,0.993477443134762
saved_conductance,15401,0,sgd,0,path_q,0.43521714967456615,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,0,sgd,0,loss_credit,0.0010579641409990679,1.0130594771103225,1,1,0.993522157292289
saved_conductance,15401,0,sgd,1000,path_q,0.5084044598593705,1.0183426403063032,1,1,0.9909314869070089
saved_conductance,15401,0,sgd,1000,loss_credit,1.6833252119213107e-06,1.0155337939887685,1,1,0.9923051650016222
saved_conductance,15401,0,adam,0,path_q,0.43521714967456615,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,0,adam,0,loss_credit,0.0010579641409990679,1.0130594771103225,1,1,0.993522157292289
saved_conductance,15401,0,adam,1000,path_q,0.5135721228588815,1.01853981318761,1,1,0.9908351279237451
saved_conductance,15401,0,adam,1000,loss_credit,7.856921545447201e-07,1.0160239146695966,1,1,0.9920638506156534
saved_conductance,15401,1,sgd,0,path_q,0.435217149674566,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,1,sgd,0,loss_credit,0.001069160137908006,1.0126727924422605,1,1,0.9937128844352866
saved_conductance,15401,1,sgd,1000,path_q,0.5089640557073992,1.018346341103484,1,1,0.9909297137853764
saved_conductance,15401,1,sgd,1000,loss_credit,1.9188876014524187e-06,1.0150260925976813,1,1,0.9925550239119336
saved_conductance,15401,1,adam,0,path_q,0.435217149674566,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,1,adam,0,loss_credit,0.001069160137908006,1.0126727924422605,1,1,0.9937128844352866
saved_conductance,15401,1,adam,1000,path_q,0.5123613253700842,1.0185985092028107,1,1,0.9908064324306073
saved_conductance,15401,1,adam,1000,loss_credit,8.501803418305222e-07,1.0161097298425232,1,1,0.9920216237073252
saved_conductance,15401,2,sgd,0,path_q,0.43521714967456604,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,2,sgd,0,loss_credit,0.001200767710265691,1.0130730808395652,1,1,0.9935153403323899
saved_conductance,15401,2,sgd,1000,path_q,0.5091830637424933,1.0184634059593778,1,1,0.9908723813733289
saved_conductance,15401,2,sgd,1000,loss_credit,2.0936413818869653e-06,1.017084962580323,1,1,0.9915451335124001
saved_conductance,15401,2,adam,0,path_q,0.43521714967456604,1.0165019464350298,1,1,0.9918327780995815
saved_conductance,15401,2,adam,0,loss_credit,0.001200767710265691,1.0130730808395652,1,1,0.9935153403323899
