seed,family,step,common_rate,model,optimizer,rate,rule,selected_rate,metric,difference
211200,matching,0,True,algebraic,sgd,0.03,exact,True,path_uniform_oracle_capture,1.0408340855860843e-16
211200,matching,0,True,algebraic,sgd,0.03,exact,True,path_calibrated_oracle_capture,1.1102230246251565e-16
211200,matching,0,True,algebraic,sgd,0.03,exact,True,path_best_rank_one_capture,6.661338147750939e-16
211200,matching,0,True,algebraic,sgd,0.03,exact,True,credit_best_rank_one_capture,5.551115123125783e-16
211200,matching,0,False,algebraic,sgd,0.01,unit_broadcast,True,path_uniform_oracle_capture,1.0408340855860843e-16
211200,matching,0,False,algebraic,sgd,0.01,unit_broadcast,True,path_calibrated_oracle_capture,1.1102230246251565e-16
211200,matching,0,False,algebraic,sgd,0.01,unit_broadcast,True,path_best_rank_one_capture,6.661338147750939e-16
211200,matching,0,False,algebraic,sgd,0.01,unit_broadcast,True,credit_best_rank_one_capture,5.551115123125783e-16
211200,matching,0,True,algebraic,sgd,0.03,unit_broadcast,False,path_uniform_oracle_capture,1.0408340855860843e-16
211200,matching,0,True,algebraic,sgd,0.03,unit_broadcast,False,path_calibrated_oracle_capture,1.1102230246251565e-16
211200,matching,0,True,algebraic,sgd,0.03,unit_broadcast,False,path_best_rank_one_capture,6.661338147750939e-16
211200,matching,0,True,algebraic,sgd,0.03,unit_broadcast,False,credit_best_rank_one_capture,5.551115123125783e-16
211200,matching,0,True,algebraic,sgd,0.03,calibrated_broadcast,True,path_uniform_oracle_capture,1.0408340855860843e-16
211200,matching,0,True,algebraic,sgd,0.03,calibrated_broadcast,True,path_calibrated_oracle_capture,1.1102230246251565e-16
211200,matching,0,True,algebraic,sgd,0.03,calibrated_broadcast,True,path_best_rank_one_capture,6.661338147750939e-16
211200,matching,0,True,algebraic,sgd,0.03,calibrated_broadcast,True,credit_best_rank_one_capture,5.551115123125783e-16
211200,matching,0,False,algebraic,sgd,0.01,sign_broadcast,True,path_uniform_oracle_capture,1.0408340855860843e-16
211200,matching,0,False,algebraic,sgd,0.01,sign_broadcast,True,path_calibrated_oracle_capture,1.1102230246251565e-16
