family,optimizer,rule,step,effective_rank,rank95,rank99,leading_fraction
matching,adam,broadcast,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,adam,broadcast,1,2.533811635807321,3.8,4.45,0.5942601576593934
matching,adam,broadcast,16,2.479037660635951,3.65,4.5,0.6014598739294558
matching,adam,broadcast,64,2.415383519651184,3.6,4.4,0.6245615125106576
matching,adam,broadcast,256,1.7687804587792004,2.8,3.55,0.7784727911135408
matching,adam,broadcast,1024,1.0281798998347442,1.1,1.1,0.9889944176434262
matching,adam,exact,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,adam,exact,1,2.5062996050595174,3.7,4.45,0.5996215151161268
matching,adam,exact,16,2.1590995524277643,3.25,4.3,0.6585328480234367
matching,adam,exact,64,1.4635032024700623,2.5,3.65,0.8265712330283691
matching,adam,exact,256,1.0066284175871791,1.0,1.2,0.9967881555992901
matching,adam,exact,1024,1.001762438380285,1.0,1.0,0.9991242795111364
matching,adam,global_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,adam,global_projection,1,2.5240569903068195,3.7,4.5,0.5958414150935886
matching,adam,global_projection,16,2.374554731416985,3.5,4.4,0.6324208850725652
matching,adam,global_projection,64,1.7853953807141387,2.9,3.9,0.751707630231662
matching,adam,global_projection,256,1.1731809710272776,1.4,1.6,0.9411054396827812
matching,adam,global_projection,1024,1.0080159941913869,1.05,1.1,0.9962953785477524
matching,adam,shuffled_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,adam,shuffled_projection,1,2.5130502597014064,3.8,4.45,0.5980682723204862
matching,adam,shuffled_projection,16,2.277160829563474,3.6,4.45,0.6424388771194572
matching,adam,shuffled_projection,64,1.8002734666837423,3.0,4.0,0.7369777222459658
matching,adam,shuffled_projection,256,1.0818350314414542,1.25,1.3,0.967697294710178
matching,adam,shuffled_projection,1024,1.0012537272422857,1.0,1.0,0.9993755802563944
matching,adam,subtree_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,adam,subtree_projection,1,2.5281957362784717,3.85,4.5,0.5939639194215807
matching,adam,subtree_projection,16,2.321043974690487,3.6,4.45,0.6302284508116874
matching,adam,subtree_projection,64,1.585968565988431,2.25,3.25,0.7921154078915374
matching,adam,subtree_projection,256,1.0214532343052751,1.05,1.45,0.9898692546321831
matching,adam,subtree_projection,1024,1.008892688047247,1.0,1.2,0.9956304462398291
matching,sgd,broadcast,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,sgd,broadcast,1,2.5402660949638336,3.75,4.45,0.5926561673417347
matching,sgd,broadcast,16,2.524031330372379,3.8,4.55,0.5969169772921179
matching,sgd,broadcast,64,2.217122785236256,3.3,4.4,0.669851008507058
matching,sgd,broadcast,256,1.0447361068756293,1.1,1.1,0.9842974519399222
matching,sgd,broadcast,1024,1.0004958879698131,1.0,1.0,0.9997522506156921
matching,sgd,exact,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,sgd,exact,1,2.520197963446931,3.8,4.45,0.5971438590895906
matching,sgd,exact,16,2.396151269384205,3.65,4.45,0.6155539987261918
matching,sgd,exact,64,2.102176927919641,3.5,4.2,0.665322658258092
matching,sgd,exact,256,1.4992948657228713,2.45,3.4,0.822470945946596
matching,sgd,exact,1024,1.0394963315521,1.1,1.35,0.9845416712385436
matching,sgd,global_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,sgd,global_projection,1,2.535973339635885,3.8,4.45,0.5933123323278606
matching,sgd,global_projection,16,2.476524836486916,3.7,4.45,0.6024916180045989
matching,sgd,global_projection,64,2.368750194259552,3.65,4.5,0.6262886155465938
matching,sgd,global_projection,256,2.2416104835613195,3.6,4.55,0.655588557300649
matching,sgd,global_projection,1024,1.4114610013648896,1.95,2.4,0.8784977561966889
matching,sgd,shuffled_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,sgd,shuffled_projection,1,2.5325233640323623,3.8,4.45,0.594296890590005
matching,sgd,shuffled_projection,16,2.4489284749279414,3.65,4.5,0.6097365345240477
matching,sgd,shuffled_projection,64,2.345001195473733,3.6,4.4,0.6279226105066089
matching,sgd,shuffled_projection,256,2.118859159305761,3.4,4.15,0.6808292163106435
matching,sgd,shuffled_projection,1024,1.3095220891131008,1.85,2.2,0.8997293061149719
matching,sgd,subtree_projection,0,2.5317994355517555,3.8,4.45,0.594733106913953
matching,sgd,subtree_projection,1,2.536123717140919,3.8,4.45,0.5932376937575665
matching,sgd,subtree_projection,16,2.4756109287461197,3.75,4.35,0.6016390558598579
matching,sgd,subtree_projection,64,2.3961209244800186,3.65,4.45,0.6070154655803572
matching,sgd,subtree_projection,256,2.014709217723046,3.3,4.15,0.7099612261583382
matching,sgd,subtree_projection,1024,1.6759782659103837,2.5,3.15,0.8041939674051497
nested,adam,broadcast,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,adam,broadcast,1,2.1823490130244254,3.5,4.6,0.6538998654364341
nested,adam,broadcast,16,2.170271222971411,3.5,4.45,0.6561529476877868
nested,adam,broadcast,64,2.184730241442641,3.4,4.45,0.653900596874603
nested,adam,broadcast,256,2.167056367756151,3.45,4.35,0.6669042546333974
nested,adam,broadcast,1024,2.4965368061683604,3.7,4.85,0.5977229334036338
nested,adam,exact,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,adam,exact,1,2.1771850442165865,3.5,4.55,0.6558083724845089
nested,adam,exact,16,2.095458176333385,3.35,4.2,0.6813997013898815
nested,adam,exact,64,2.476105854025152,3.75,4.55,0.5987511700499127
nested,adam,exact,256,4.529653896726529,5.05,5.9,0.3063149297748159
nested,adam,exact,1024,4.6883413384027435,5.2,6.0,0.28552329052361536
nested,adam,global_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,adam,global_projection,1,2.179755157854603,3.5,4.5,0.655606706781186
nested,adam,global_projection,16,2.1467578081984664,3.55,4.55,0.6712705771696058
nested,adam,global_projection,64,2.4093538079926717,3.6,4.55,0.603264125630005
nested,adam,global_projection,256,3.117134901404108,4.25,4.95,0.5061143443439374
nested,adam,global_projection,1024,3.1063356697841944,4.25,5.2,0.5065474157121856
nested,adam,shuffled_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,adam,shuffled_projection,1,2.1797930677102446,3.5,4.5,0.6552299289000634
nested,adam,shuffled_projection,16,2.1516987202322606,3.5,4.45,0.6683017006764611
nested,adam,shuffled_projection,64,2.469485528758993,3.7,4.65,0.5965437634089042
nested,adam,shuffled_projection,256,3.3529051718852236,4.4,5.3,0.4679521746408567
nested,adam,shuffled_projection,1024,3.89189333794022,4.7,5.7,0.39490843026141864
nested,adam,subtree_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,adam,subtree_projection,1,2.1900683456874868,3.5,4.5,0.656622334473563
nested,adam,subtree_projection,16,2.4256867832829583,3.7,4.55,0.6038903036535752
nested,adam,subtree_projection,64,3.2463148721286843,4.2,4.95,0.48742125994836616
nested,adam,subtree_projection,256,3.5983288809985274,4.7,5.55,0.4475554860990171
nested,adam,subtree_projection,1024,3.4936999585349247,4.7,5.4,0.4579705226582044
nested,sgd,broadcast,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,sgd,broadcast,1,2.1831007997418768,3.45,4.55,0.6538497841920657
nested,sgd,broadcast,16,2.2268766990426156,3.55,4.55,0.6443958520243382
nested,sgd,broadcast,64,2.21718203234037,3.6,4.55,0.6533806951961255
nested,sgd,broadcast,256,2.281125055694072,3.5,4.45,0.6470810987396531
nested,sgd,broadcast,1024,2.470841398249195,3.7,4.7,0.6077681012006907
nested,sgd,exact,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,sgd,exact,1,2.1759558716913325,3.5,4.5,0.655767438230827
nested,sgd,exact,16,2.1969762179494934,3.5,4.65,0.6499471204999024
nested,sgd,exact,64,2.19647483725482,3.6,4.7,0.6559043403518524
nested,sgd,exact,256,2.5128750518762994,3.85,4.7,0.5923290542654018
nested,sgd,exact,1024,4.023740924526424,4.55,5.55,0.3845960699240311
nested,sgd,global_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,sgd,global_projection,1,2.1792754680333055,3.5,4.5,0.6550017669981811
nested,sgd,global_projection,16,2.1752780724397507,3.55,4.55,0.65683970927402
nested,sgd,global_projection,64,2.1938085910637777,3.65,4.65,0.6563750294674772
nested,sgd,global_projection,256,2.278458546584428,3.7,4.65,0.6420900877697855
nested,sgd,global_projection,1024,2.469338245246719,3.85,4.65,0.6060615131849963
nested,sgd,shuffled_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,sgd,shuffled_projection,1,2.1798870604380385,3.5,4.5,0.6548745792960368
nested,sgd,shuffled_projection,16,2.1911900751404705,3.55,4.55,0.6532860378904871
nested,sgd,shuffled_projection,64,2.2209186353048604,3.65,4.6,0.6498086221521342
nested,sgd,shuffled_projection,256,2.313792165138468,3.8,4.65,0.6350814428813245
nested,sgd,shuffled_projection,1024,2.7916883526791603,3.95,4.75,0.5586773663946544
nested,sgd,subtree_projection,0,2.1805829264227565,3.5,4.55,0.6544271752834618
nested,sgd,subtree_projection,1,2.1785123770524892,3.5,4.55,0.6552033431890323
nested,sgd,subtree_projection,16,2.1779957569079844,3.5,4.45,0.6560836898218347
nested,sgd,subtree_projection,64,2.206675624018172,3.65,4.65,0.6555460644516623
nested,sgd,subtree_projection,256,2.271383323702769,3.7,4.55,0.6435014712301265
nested,sgd,subtree_projection,1024,2.5178749422212237,3.75,4.8,0.5942255985210094
quartet,adam,broadcast,0,2.296815038449359,3.4,4.25,0.6153342340992092
quartet,adam,broadcast,1,2.3025783802488613,3.4,4.25,0.6136705972039608
quartet,adam,broadcast,16,2.2846880269545,3.35,4.2,0.6120567688952405
quartet,adam,broadcast,64,2.3147255789154917,3.35,4.15,0.6075040758648067
quartet,adam,broadcast,256,2.6671607594947417,3.9,4.7,0.5555286541775786
