cohort,seed,family,step,structure,optimizer,rate,rule,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
frozen_algebraic_replay,127200,matching,0,compatible,adam,0.01,shuffled_projection,parameter_gradient_nonroot,24,5.412411976144634,4.763334657730113,8,10,0.3628448120803624
frozen_algebraic_replay,127200,matching,0,compatible,adam,0.03,subtree_projection,path_q,6,0.8383438846096822,2.0395822786772277,3,3,0.6357840010467848
frozen_algebraic_replay,127200,matching,0,compatible,adam,0.03,subtree_projection,loss_credit,6,1.301590257616828,2.0467454666615184,3,3,0.6306745012519568
frozen_algebraic_replay,127200,matching,0,compatible,adam,0.03,subtree_projection,parameter_jacobian_nonroot,24,3.2365191954135923,5.901929389322539,8,11,0.2892258257266901
frozen_algebraic_replay,127200,matching,0,compatible,adam,0.03,subtree_projection,parameter_gradient_nonroot,24,5.412411976144634,4.763334657730113,8,10,0.3628448120803624
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,exact,path_q,6,0.8087805848769494,2.047740265223201,3,3,0.6338466604707008
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,exact,loss_credit,6,1.22750107382177,2.057048946030573,3,3,0.6283430914876367
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,exact,parameter_jacobian_nonroot,24,3.1161986979639336,5.884681378613571,8,11,0.2890798136730571
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,exact,parameter_gradient_nonroot,24,5.075795799584896,4.814770125433427,8,10,0.3587751013286651
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,broadcast,path_q,6,0.8171447320951858,2.024677153329708,3,3,0.6405665565022629
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,broadcast,loss_credit,6,1.2592734447655465,2.0290081312324437,3,3,0.6365498520180813
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,broadcast,parameter_jacobian_nonroot,24,3.1386059614114945,5.932482973790759,8,11,0.2877486818200593
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,broadcast,parameter_gradient_nonroot,24,5.201365579791143,4.807117026102436,8,10,0.3588535946189207
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,global_projection,path_q,6,0.8166381184258059,2.045443825838208,3,3,0.6340972109265656
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,global_projection,loss_credit,6,1.257878379222103,2.0529528984303504,3,3,0.6288358867000808
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,global_projection,parameter_jacobian_nonroot,24,3.1542154222367254,5.8901203856643605,8,11,0.2895742911478169
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,global_projection,parameter_gradient_nonroot,24,5.22682424409069,4.769195575731834,8,10,0.3623490680630359
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,subtree_projection,path_q,6,0.8168905556779439,2.0486481356307915,3,3,0.6331393937434272
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,subtree_projection,loss_credit,6,1.25838450208005,2.056231178408273,3,3,0.6277758096989879
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,subtree_projection,parameter_jacobian_nonroot,24,3.1560233776449413,5.890919119868982,8,11,0.2894596345179127
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,subtree_projection,parameter_gradient_nonroot,24,5.230158650794939,4.76562916554458,8,10,0.3627132158190273
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,shuffled_projection,path_q,6,0.8169400536086471,2.0499915861157594,3,3,0.6326708713987688
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,shuffled_projection,loss_credit,6,1.2567516372917835,2.057663480519882,3,3,0.6273493200697492
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,shuffled_projection,parameter_jacobian_nonroot,24,3.157803480355681,5.881541367338725,8,11,0.289892105361933
frozen_algebraic_replay,127200,matching,1,compatible,sgd,0.03,shuffled_projection,parameter_gradient_nonroot,24,5.226889247877907,4.763208478091083,8,10,0.3628102688129435
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.003,broadcast,path_q,6,0.8311053422192263,2.0456242514460565,3,3,0.6338371935111584
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.003,broadcast,loss_credit,6,1.2851569669429057,2.051911361067165,3,3,0.6290536998763011
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.003,broadcast,parameter_jacobian_nonroot,24,3.200839216562469,5.904357228873395,8,11,0.2891736066580001
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.003,broadcast,parameter_gradient_nonroot,24,5.323598718455703,4.779904646140444,8,10,0.3618324611243735
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.01,exact,path_q,6,0.7832610456080702,2.014588343843541,3,3,0.6431372558323513
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.01,exact,loss_credit,6,1.1620114986740555,2.0311611296800174,3,3,0.6357845398279298
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.01,exact,parameter_jacobian_nonroot,24,2.978912260147353,5.836753588758881,8,11,0.2921302690834029
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.01,exact,parameter_gradient_nonroot,24,4.723453115899451,4.8649634311127965,8,10,0.3540160201594252
frozen_algebraic_replay,127200,matching,1,compatible,adam,0.01,global_projection,path_q,6,0.8206031172156469,2.0746791524774606,3,3,0.626683742838482
