optimizer,rule,step,dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds,status
adam,broadcast,0,ancestry_K6,eligibility_weighted_update_fidelity,quartet_minus_matching,0.0,0.0,0.0,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K6,population_gradient_cosine_nonroot,quartet_minus_matching,4.4408920985006264e-17,-5.551115123125783e-17,1.554312234475219e-16,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K6,population_gradient_cosine_full,quartet_minus_matching,-1.1102230246251566e-17,-1.1102230246251565e-16,8.881784197001253e-17,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,ancestry_K6,population_nmse,quartet_minus_matching,0.30945669375190377,-0.14998622035501816,0.8786998979936584,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,field_energy_fidelity,quartet_minus_matching,0.11505620063268807,-0.008962024344378967,0.22817433926010755,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,mean_per_example_fidelity,quartet_minus_matching,0.08469160146883345,-0.044694987826604145,0.20440340092286619,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,error_weighted_energy_fidelity,quartet_minus_matching,0.10723536298652037,0.007069227641684073,0.2072161221751451,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,eligibility_weighted_update_fidelity,quartet_minus_matching,0.08626607948922838,-0.03003135814066673,0.2032310910931417,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,population_gradient_cosine_nonroot,quartet_minus_matching,0.03145708605978341,-0.028419249795608413,0.09844850541514925,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,population_gradient_cosine_full,quartet_minus_matching,-0.008117404171331295,-0.038518399596293856,0.024180911041990646,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_error,population_nmse,quartet_minus_matching,0.30945669375190377,-0.16052777580552358,0.8984855658628668,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,field_energy_fidelity,quartet_minus_matching,0.09951757712658045,-0.010677824887028193,0.20198603597703874,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,mean_per_example_fidelity,quartet_minus_matching,0.09502663959139272,-0.02000110867551925,0.204653312071642,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,error_weighted_energy_fidelity,quartet_minus_matching,0.11934885996043583,-0.001291788167354166,0.232197518728951,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,eligibility_weighted_update_fidelity,quartet_minus_matching,0.1032559055331375,-0.025811597965650163,0.23555094075628294,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,population_gradient_cosine_nonroot,quartet_minus_matching,0.05748830794045821,-0.03046304376945595,0.16488212850682804,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,population_gradient_cosine_full,quartet_minus_matching,0.005932585495766365,-0.04267627173569052,0.06094829026671674,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,best_fixed_rank1_q,population_nmse,quartet_minus_matching,0.30945669375190377,-0.16138761501342347,0.8768883514790468,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,field_energy_fidelity,quartet_minus_matching,0.037825716303687903,-0.1334298975123745,0.20496035038326113,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,0,initial_mean_fixed,mean_per_example_fidelity,quartet_minus_matching,0.07348514809175297,-0.796543510092368,1.0733028119264139,20,posthoc descriptive; no multiplicity adjustment
