family,optimizer,rule,step,dictionary,field_energy_fidelity_mean,field_energy_fidelity_std,field_energy_fidelity_count,mean_per_example_fidelity_mean,mean_per_example_fidelity_std,mean_per_example_fidelity_count,error_weighted_energy_fidelity_mean,error_weighted_energy_fidelity_std,error_weighted_energy_fidelity_count,eligibility_weighted_update_fidelity_mean,eligibility_weighted_update_fidelity_std,eligibility_weighted_update_fidelity_count,population_gradient_cosine_nonroot_mean,population_gradient_cosine_nonroot_std,population_gradient_cosine_nonroot_count,population_gradient_cosine_full_mean,population_gradient_cosine_full_std,population_gradient_cosine_full_count,population_nmse_mean,population_nmse_std,population_nmse_count
matching,adam,broadcast,0,ancestry_K2,0.26287523830894194,0.18219775547803874,20,0.26681302317499156,0.1875900923819576,20,0.26696164789730337,0.19891620221539236,20,0.20008468118518655,0.23482014355174244,20,0.3867829289059314,0.3483163546627749,20,0.6991024973700821,0.22689302689516197,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,ancestry_K3,0.4570417166977362,0.21976783391004504,20,0.44749852928888867,0.21638072860676547,20,0.462489824519473,0.2365524657849239,20,0.42081275682240155,0.23649705145329986,20,0.6199644600366799,0.2751929965113446,20,0.8121418139477544,0.1653426448636865,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,ancestry_K4,0.6567939530240962,0.24545459549941076,20,0.6579259433939345,0.2384616684370489,20,0.6648942501108112,0.2523003497051538,20,0.6523673381192366,0.263596784351441,20,0.788990334646767,0.21927616215538595,20,0.8889294932285401,0.146885697676686,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,ancestry_K5,0.7981319502110875,0.2183949377442907,20,0.7963267737149031,0.21670449345513837,20,0.8075950553518624,0.20888806859344092,20,0.8039319941393455,0.21006345139614105,20,0.868215767565547,0.19506644506965626,20,0.9203279406915531,0.14093284457116872,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,ancestry_K6,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,1.7646315836095689e-16,20,1.0,1.4408156546142918e-16,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,best_fixed_rank1_error,0.6554177544222758,0.20953406275418024,20,0.6249254381259953,0.2246882277424405,20,0.7110026542504578,0.1827931614505562,20,0.6986868140173667,0.2011985373014892,20,0.8719202798964941,0.1281126448963722,20,0.936136224301306,0.05943113296531437,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,best_fixed_rank1_q,0.6869847779302319,0.18736247765499223,20,0.6507614274220596,0.2137504352189483,20,0.6775147889821078,0.207235627268864,20,0.6543975416796975,0.24211802739901564,20,0.8213860737551315,0.2272399083719081,20,0.9041331418999778,0.13774460079128872,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,initial_mean_fixed,0.5612899616653318,0.2886608698772128,20,0.004014058230899192,1.783023362312155,20,0.5457824983874034,0.2955378633350105,20,0.5677608071600097,0.2918908985573395,20,0.7830424551146711,0.25216354587924134,20,0.9101771761469303,0.08292551112471304,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,initial_mean_projection,0.6713824296166333,0.20347896455463457,20,0.6641022486466,0.20151770011080514,20,0.6626859245606659,0.2175228845955033,20,0.6644616811344415,0.2150814332814641,20,0.8542158139026501,0.15313145412366924,20,0.9218569936019172,0.08967348919064515,20,1.4186700506404941,0.4662106803515907,20
matching,adam,broadcast,0,uniform_projection,0.1497505242731211,0.12361781048998144,20,0.15148429598670599,0.12526527222208073,20,0.1501166726312881,0.13230259670423572,20,0.12298372941759421,0.13595173641163008,20,0.3085341361900166,0.32690232294769195,20,0.6747759628302625,0.22499837115752805,20,1.4186700506404941,0.4662106803515907,20
