cohort,seed,task_group,optimizer,step,dictionary,sites,field_energy_capture,mean_per_example_capture,error_weighted_capture,test_nmse,source_sha256
saved_conductance,15400,0,sgd,0,unit_projection,6,0.5813969782323118,0.577633311495459,0.5740111968782389,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,0,initial_profile_projection,6,0.9881167608669807,0.9876038430954532,0.98602310967733,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,0,best_fixed_rank1_q,6,0.988149183096863,0.9875554712875164,0.9857326653161679,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,0,best_fixed_rank1_error,6,0.9872019952828088,0.9870172893403072,0.9866767766786209,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,1000,unit_projection,6,0.7445689905768855,0.7418880821114795,0.7593647411311587,0.0006599012164437365,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,1000,initial_profile_projection,6,0.7737276099173698,0.7736003868249076,0.776767758725184,0.0006599012164437365,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,1000,best_fixed_rank1_q,6,0.9917002988046619,0.9913794854239953,0.9932678150626445,0.0006599012164437365,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,sgd,1000,best_fixed_rank1_error,6,0.9913934057162974,0.990977907444011,0.9935756680833827,0.0006599012164437365,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,0,unit_projection,6,0.5813969782323118,0.577633311495459,0.5740111968782389,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,0,initial_profile_projection,6,0.9881167608669807,0.9876038430954532,0.98602310967733,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,0,best_fixed_rank1_q,6,0.988149183096863,0.9875554712875164,0.9857326653161679,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,0,best_fixed_rank1_error,6,0.9872019952828088,0.9870172893403072,0.9866767766786209,1.5482867034679917,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,1000,unit_projection,6,0.7464044544265359,0.7436952520122511,0.7597037399179164,0.00043782833152679893,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,1000,initial_profile_projection,6,0.7718530328523846,0.7717421703127724,0.7723439605508047,0.00043782833152679893,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,1000,best_fixed_rank1_q,6,0.9916387278679553,0.991310613222442,0.9931593650234963,0.00043782833152679893,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,0,adam,1000,best_fixed_rank1_error,6,0.9914265296913791,0.9910121187891993,0.9933721236875105,0.00043782833152679893,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,0,unit_projection,6,0.5813969782323118,0.577633311495459,0.5798902230297958,1.8110778592567789,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,0,initial_profile_projection,6,0.9881167608669807,0.9876038430954532,0.9875674198637023,1.8110778592567789,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,0,best_fixed_rank1_q,6,0.988149183096863,0.9875554712875164,0.9874550323966098,1.8110778592567789,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,0,best_fixed_rank1_error,6,0.9879303109549175,0.9875203210077512,0.9876736615533048,1.8110778592567789,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,1000,unit_projection,6,0.7463105195720408,0.7435910584949627,0.7605472403302505,0.00039713906092757393,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,1000,initial_profile_projection,6,0.7801889314619147,0.7800426979215545,0.7826842761736961,0.00039713906092757393,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,1000,best_fixed_rank1_q,6,0.9916100200694139,0.991287612357612,0.9931697447731614,0.00039713906092757393,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,sgd,1000,best_fixed_rank1_error,6,0.9913389220583522,0.9909233841110537,0.9934416435948901,0.00039713906092757393,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
saved_conductance,15400,1,adam,0,unit_projection,6,0.5813969782323118,0.577633311495459,0.5798902230297958,1.8110778592567789,42f988c3d1f3b443ae2b72ed1b72eae9e9949dd675881d7c2c81f895f3819f74
