dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds
uniform_projection,field_energy_fidelity,quartet_minus_matching,0.04623607641412012,-0.024993068267415725,0.10977889816355002,20
uniform_projection,error_weighted_energy_fidelity,quartet_minus_matching,0.04315446584509426,-0.035316665916051634,0.11348014005095196,20
uniform_projection,eligibility_weighted_update_fidelity,quartet_minus_matching,0.053698081754117034,-0.03137494997628289,0.13301280997674908,20
best_fixed_rank1_q,field_energy_fidelity,quartet_minus_matching,-0.5362594481442546,-0.5808061975392432,-0.4874080447095591,20
best_fixed_rank1_q,error_weighted_energy_fidelity,quartet_minus_matching,-0.5395302027617477,-0.5867739080014667,-0.48888662935721466,20
best_fixed_rank1_q,eligibility_weighted_update_fidelity,quartet_minus_matching,-0.5247104998818802,-0.5791547449625302,-0.4685972512694697,20
ancestry_K2,field_energy_fidelity,quartet_minus_matching,-0.046431990422138955,-0.16965231558678964,0.07132616995500658,20
ancestry_K2,error_weighted_energy_fidelity,quartet_minus_matching,-0.05877792926405319,-0.19137314859853546,0.06284940233932884,20
ancestry_K2,eligibility_weighted_update_fidelity,quartet_minus_matching,-0.0474626188273163,-0.18824164817778216,0.08149629351711288,20
ancestry_K4,field_energy_fidelity,quartet_minus_matching,-0.011363096712085593,-0.1054919849163236,0.07566650650760304,20
ancestry_K4,error_weighted_energy_fidelity,quartet_minus_matching,-0.02855734702010566,-0.1340247023046436,0.06590616251914348,20
ancestry_K4,eligibility_weighted_update_fidelity,quartet_minus_matching,-0.027728659485386664,-0.13909130176389098,0.07174876628289231,20
