cohort,seed,family,optimizer,rule,rate,step,source_state,field,index,eigenvalue,fraction
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,1,0.5330056292102479,0.6357840010467848
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,2,0.23653622861770102,0.28214701980897494
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,3,0.0674105438728548,0.08040917946725398
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,4,0.0013517888430726716,0.0016124514866617534
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,5,2.6478778817614444e-05,3.1584626909925496e-05
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,path_q,6,1.3215286988253315e-05,1.576356341456002e-05
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,1,0.820879786556899,0.6306745012519568
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,2,0.37959047309755883,0.2916359206564571
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,3,0.0989207246123418,0.07599989630643258
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,4,0.002144853028537936,0.0016478711453058168
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,5,3.375051244551708e-05,2.5930212866922677e-05
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,loss_credit,6,2.0669809045098617e-05,1.5880426980872155e-05
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,1,0.9360849367737791,0.28922582572669014
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,2,0.6149383314289913,0.189999902457062
counterfactual_same_state,127200,matching,sgd,reference_matching_exact,0.03,0,same_initial,parameter_jacobian_nonroot,3,0.535994309367812,0.16560825906033833
