cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,dictionary,channels,is_projection,population_nmse,sites,field_energy_fidelity,mean_per_example_fidelity,error_weighted_energy_fidelity,nonzero_field_examples,eligibility_weighted_update_fidelity,population_gradient_cosine_nonroot,population_gradient_cosine_full,population_gradient_relative_error_nonroot,population_gradient_norm_nonroot
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,unit_broadcast_fixed,1,False,0.7222775963101632,6,-17.148070068748314,-177.6340056460362,-19.402987352198547,256,-20.442650773378915,-0.1279790759922541,0.2311953224194627,5.82197354321682,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,initial_mean_fixed,1,False,0.7222775963101632,6,0.44139263719741195,-3.4558199650302956,0.42524710739759164,256,0.41939597521125394,0.7316485182878119,0.9419511783322886,0.7387819077013806,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,initial_mean_projection,1,True,0.7222775963101632,6,0.7353998348601238,0.5544395457672507,0.7284891573398212,256,0.703818721919842,0.829138254636572,0.9591253914268858,0.629565661401415,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,best_fixed_rank1_q,1,True,0.7222775963101632,6,0.7560134832060528,0.5195723651212165,0.7455421437528723,256,0.7149770206521959,0.8264086708144717,0.960961664976234,0.6092884079916207,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,best_fixed_rank1_error,1,True,0.7222775963101632,6,0.7555242144852499,0.5241800504341594,0.7460226019882155,256,0.7148028902170616,0.8274572805127598,0.9611094550613144,0.6083420948234535,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,uniform_projection,1,True,0.7222775963101632,6,0.0464944869735312,0.06663908760662099,0.05046407838822364,256,0.03759586325464104,0.09400424947598636,0.887276923084725,0.99827113751987,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,ancestry_K2,2,True,0.7222775963101632,6,0.18215422909139523,0.17947328266065085,0.19287258898911586,256,0.21894755535146493,0.502686028297462,0.916762400638135,0.8644901350403472,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,ancestry_K3,3,True,0.7222775963101632,6,0.18384538346928359,0.18032077162703963,0.1945327443220517,256,0.22874401912196252,0.5136798753407401,0.9180646981906414,0.8579913344377763,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,ancestry_K4,4,True,0.7222775963101632,6,0.6894954459100335,0.5898710338246862,0.6955882675311138,256,0.6920501030563238,0.8071784444014951,0.9620714777351785,0.5904320493208475,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,ancestry_K5,5,True,0.7222775963101632,6,0.9011578551435478,0.7847589002398997,0.900614496347988,256,0.8792624228033737,0.9327512366815951,0.9856047554683427,0.3673657589736627,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,ancestry_K6,6,True,0.7222775963101632,6,1.0,1.0,1.0,256,1.0,0.9999999999999999,1.0000000000000002,4.145317830235998e-15,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,unit_broadcast_fixed,1,False,0.7222775963101632,6,-17.148070068748314,-177.6340056460362,-19.402987352198547,256,-20.442650773378915,-0.1279790759922541,0.2311953224194627,5.82197354321682,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,initial_mean_fixed,1,False,0.7222775963101632,6,0.44139263719741195,-3.4558199650302956,0.42524710739759164,256,0.41939597521125394,0.7316485182878119,0.9419511783322886,0.7387819077013806,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,initial_mean_projection,1,True,0.7222775963101632,6,0.7353998348601238,0.5544395457672507,0.7284891573398212,256,0.703818721919842,0.829138254636572,0.9591253914268858,0.629565661401415,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,best_fixed_rank1_q,1,True,0.7222775963101632,6,0.7560134832060528,0.5195723651212165,0.7455421437528723,256,0.7149770206521959,0.8264086708144717,0.960961664976234,0.6092884079916207,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,best_fixed_rank1_error,1,True,0.7222775963101632,6,0.7555242144852499,0.5241800504341594,0.7460226019882155,256,0.7148028902170616,0.8274572805127598,0.9611094550613144,0.6083420948234535,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,uniform_projection,1,True,0.7222775963101632,6,0.0464944869735312,0.06663908760662099,0.05046407838822364,256,0.03759586325464104,0.09400424947598636,0.887276923084725,0.99827113751987,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,ancestry_K2,2,True,0.7222775963101632,6,0.18215422909139523,0.17947328266065085,0.19287258898911586,256,0.21894755535146493,0.502686028297462,0.916762400638135,0.8644901350403472,0.20657707850407142
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,ancestry_K3,3,True,0.7222775963101632,6,0.18384538346928359,0.18032077162703963,0.1945327443220517,256,0.22874401912196252,0.5136798753407401,0.9180646981906414,0.8579913344377763,0.20657707850407142
