family,optimizer,rule,rate,selected_rate,common_rate,step,dictionary,field_energy_fidelity,error_weighted_energy_fidelity,eligibility_weighted_update_fidelity,population_gradient_cosine_nonroot,population_nmse
matching,adam,calibrated_broadcast,0.003,False,True,0,ancestry_K2,0.3083582524673032,0.2973966259416334,0.24846543778421964,0.523086435353941,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,ancestry_K3,0.4685330879015724,0.46822168825946153,0.4393112297084353,0.6843914017985346,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,ancestry_K4,0.6771816499392043,0.6675946471057911,0.6482608748635483,0.8250851877227223,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,ancestry_K5,0.8243736893381384,0.826924151486202,0.8187873243389321,0.9053408013437622,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,ancestry_K6,1.0,1.0,1.0,1.0,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,best_fixed_rank1_error,0.7541662576003328,0.790313183747259,0.7584250579192309,0.8850269221861945,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,best_fixed_rank1_q,0.7637297203220822,0.7720548244719874,0.7353574758093365,0.8603346623017011,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,initial_mean_fixed,0.5420018821304391,0.5395803841021466,0.5276623638152905,0.7740700815443589,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,initial_mean_projection,0.6954598426394072,0.6760573872980016,0.6440620109151715,0.8267581768803032,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,uniform_projection,0.1449354674848665,0.13775560406139797,0.10625292972602633,0.3530227125207723,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,0,unit_broadcast_fixed,-6.198103180492853,-6.0111950896056365,-7.254775238279183,0.0937586679048554,1.2663796137084464
matching,adam,calibrated_broadcast,0.003,False,True,1,ancestry_K2,0.30855953500682354,0.2972029201143118,0.247530901878492,0.5208466030771226,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,ancestry_K3,0.46874710972807154,0.46822278460247846,0.4384492446379852,0.6835762640991384,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,ancestry_K4,0.6768431647319116,0.6671133076647523,0.6469949582150766,0.8243249304862346,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,ancestry_K5,0.8240510375066649,0.8265273266756923,0.817748627781864,0.904656478448459,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,ancestry_K6,1.0,1.0,1.0,1.0,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,best_fixed_rank1_error,0.7554590961128567,0.7916304821513994,0.7605248889526333,0.8861229131208012,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,best_fixed_rank1_q,0.7650305759149492,0.7733761520153638,0.7381010784706635,0.8610986210702233,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,initial_mean_fixed,0.5437249908038138,0.5415081683974428,0.5295136715811054,0.7743368194785429,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,initial_mean_projection,0.6974957691438426,0.678407628692993,0.6462895496427273,0.8287670486437266,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,uniform_projection,0.1446123239468362,0.1371767431163899,0.10542628351535314,0.3507225048197061,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,1,unit_broadcast_fixed,-6.257748814920509,-6.073951573133411,-7.34322741258906,0.09287806584067157,1.2585439796823177
matching,adam,calibrated_broadcast,0.003,False,True,16,ancestry_K2,0.312875865522826,0.3020102536349683,0.24359946548000902,0.49408417950854533,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,ancestry_K3,0.4669822453987786,0.46675954663699465,0.4260911442939114,0.6620182202975972,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,ancestry_K4,0.6721266758368196,0.6637523701847701,0.6329511847792213,0.8106908683883098,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,ancestry_K5,0.8200318187830813,0.821681377366685,0.80474817351087,0.895490084309238,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,ancestry_K6,1.0,1.0,1.0,1.0,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,best_fixed_rank1_error,0.7735594920169798,0.8006510438611502,0.7703071517387856,0.8783460570553272,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,best_fixed_rank1_q,0.7810373413858089,0.7884231742447463,0.7556501858473615,0.8599060464508858,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,initial_mean_fixed,0.5585408126170565,0.5587219843704316,0.5432393158368855,0.7816510892792297,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,initial_mean_projection,0.710895920667232,0.6956817046440412,0.6600260190614298,0.8381904194979569,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,uniform_projection,0.1469174162346945,0.1401499899231204,0.10635039246756658,0.3266589127374644,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,16,unit_broadcast_fixed,-6.951769676643993,-6.9339446385521555,-8.662159497051515,0.09689091175164984,1.141965093150587
matching,adam,calibrated_broadcast,0.003,False,True,64,ancestry_K2,0.32370325435777686,0.3141363557101014,0.24131337669427322,0.4303855430035465,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,ancestry_K3,0.4648250829025355,0.4656636525864755,0.40639018048632,0.5939136832261678,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,ancestry_K4,0.6633741030648215,0.6621097631952487,0.6112488049497407,0.7609031396021505,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,ancestry_K5,0.8183861245613988,0.817572553385171,0.7829079906282197,0.8604931659529097,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,ancestry_K6,1.0,1.0,1.0,1.0,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,best_fixed_rank1_error,0.8104703993568059,0.8241788597342744,0.7994780995459696,0.9110068315327394,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,best_fixed_rank1_q,0.8163416940657806,0.8168732418169302,0.7904996317044165,0.8992878964692093,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,initial_mean_fixed,0.5504306068725746,0.5575947079460498,0.5258830052768466,0.7457898887112682,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,initial_mean_projection,0.7221844459955349,0.718187715497103,0.6804866085515349,0.8474568901279668,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,uniform_projection,0.1442330635407465,0.138129594195991,0.10147239404925246,0.21400128265781548,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,64,unit_broadcast_fixed,-8.048157901816996,-8.127463006435843,-10.191433716294432,0.11324499020461096,0.9121500396166272
matching,adam,calibrated_broadcast,0.003,False,True,256,ancestry_K2,0.2979717812607921,0.29793904584646,0.2565732241653534,0.4088651352976919,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,ancestry_K3,0.45333895013790493,0.45201039413991956,0.42013647473856136,0.562836274669511,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,ancestry_K4,0.6334377939160991,0.6317314355871162,0.5955083614126779,0.7404644888362365,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,ancestry_K5,0.8467232581747982,0.8464755246946011,0.827346040719237,0.9046677018058004,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,ancestry_K6,1.0,1.0,1.0,1.0,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,best_fixed_rank1_error,0.9626813691697211,0.962241896022579,0.9632381746254677,0.9781796038584142,0.3573263559919476
matching,adam,calibrated_broadcast,0.003,False,True,256,best_fixed_rank1_q,0.9632207014619389,0.9617046329219916,0.9626402228880091,0.9770426565361305,0.3573263559919476
