cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,total_energy,effective_rank,rank95,rank99,leading_fraction
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,exact,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,exact,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,unit_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,True,algebraic,adam,0.003,sign_broadcast,False,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,0,compatible,False,algebraic,adam,0.01,sign_broadcast,True,5.999999999999998,1.924995668914405,4,4,0.6974107376133744
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,exact,True,5.999999999999998,1.8819137062152658,4,4,0.7075500498655852
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,6.000000000000005,1.9157663847365376,4,4,0.699702265395422
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,6.0,1.8991207249506752,4,4,0.7038260395539875
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,5.999999999999997,1.8861162276239078,4,4,0.7065962547098428
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,5.999999999999997,1.9056258264703645,4,4,0.7018074581714849
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,6.0,1.8689759345024528,4,4,0.7102312607432677
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,exact,True,6.0,1.8862525243136572,4,4,0.7063285391052906
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,unit_broadcast,True,6.000000000000001,1.903739940680394,4,4,0.7023886826707062
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,5.999999999999996,1.8984120455425215,4,4,0.7035350828068523
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,5.999999999999999,1.8410917623224523,4,4,0.7169769768576418
matched_fresh_algebraic,211200,matching,1,compatible,True,algebraic,adam,0.003,sign_broadcast,False,5.999999999999999,1.8984120449025323,4,4,0.7035350829259014
matched_fresh_algebraic,211200,matching,1,compatible,False,algebraic,adam,0.01,sign_broadcast,True,6.000000000000002,1.8410917611147295,4,4,0.7169769770534643
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,exact,True,6.000000000000003,1.5313512002386465,3,4,0.79837582735226
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,unit_broadcast,True,6.0,1.8120244839822204,4,4,0.724815231602307
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,unit_broadcast,False,6.000000000000001,1.8919049485813648,3,4,0.703259850053868
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,calibrated_broadcast,True,5.999999999999998,1.5782909571839954,3,4,0.7850684494620247
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,sgd,0.01,sign_broadcast,True,6.0,1.7103604912531007,3,4,0.7492843637265887
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,sgd,0.03,sign_broadcast,False,5.999999999999999,1.418924823234239,3,4,0.8326817412555529
