family,optimizer,rule,step,field,effective_rank,rank95,rank99,leading_fraction
matching,adam,broadcast,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,adam,broadcast,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,adam,broadcast,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,adam,broadcast,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,adam,broadcast,1,loss_credit,1.89981077572364,2.85,3.75,0.7106164828659367
matching,adam,broadcast,1,parameter_gradient_nonroot,4.8951605144619155,9.2,12.2,0.38464191078708676
matching,adam,broadcast,1,parameter_jacobian_nonroot,6.645314136959489,10.05,12.7,0.27725945481585634
matching,adam,broadcast,1,path_q,2.0084877219011807,3.0,3.9,0.6868612520952546
matching,adam,broadcast,16,loss_credit,1.9177217258812913,2.8,3.75,0.7073836948070198
matching,adam,broadcast,16,parameter_gradient_nonroot,5.01861995852179,9.2,12.1,0.3727068757595356
matching,adam,broadcast,16,parameter_jacobian_nonroot,6.718710246592524,10.1,12.7,0.27405641426643346
matching,adam,broadcast,16,path_q,2.0057124706250447,3.0,3.9,0.6889571181412733
matching,adam,broadcast,64,loss_credit,1.8810980474653056,2.8,3.75,0.7209849279003048
matching,adam,broadcast,64,parameter_gradient_nonroot,5.411969289621447,9.45,12.35,0.34939315468854804
matching,adam,broadcast,64,parameter_jacobian_nonroot,7.0342577734663365,10.2,12.95,0.2669945523849052
matching,adam,broadcast,64,path_q,1.9838300617535567,2.9,3.9,0.702022552442233
matching,adam,broadcast,256,loss_credit,1.3388314872045928,2.1,2.9,0.8860286097893418
matching,adam,broadcast,256,parameter_gradient_nonroot,6.147988977027936,9.25,12.3,0.2904871560574994
matching,adam,broadcast,256,parameter_jacobian_nonroot,6.423824412044167,9.6,12.8,0.2794775696740876
matching,adam,broadcast,256,path_q,1.349951147219654,2.1,2.9,0.8838866745495304
matching,adam,broadcast,1024,loss_credit,1.0040797918946824,1.0,1.1,0.9980463186164886
matching,adam,broadcast,1024,parameter_gradient_nonroot,7.553005967786008,11.3,13.85,0.2512938793443007
matching,adam,broadcast,1024,parameter_jacobian_nonroot,8.546731503927905,12.05,14.55,0.22163634457547418
matching,adam,broadcast,1024,path_q,1.0069934088608428,1.05,1.1,0.9967584659402835
matching,adam,exact,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,adam,exact,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,adam,exact,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,adam,exact,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,adam,exact,1,loss_credit,1.8992205539701021,2.75,3.75,0.7124077796516014
matching,adam,exact,1,parameter_gradient_nonroot,5.000375360039832,9.2,12.15,0.37520241975746815
matching,adam,exact,1,parameter_jacobian_nonroot,6.620989675006818,10.1,12.65,0.2773027166356291
matching,adam,exact,1,path_q,1.9840394523368072,2.95,3.9,0.6927095192592704
matching,adam,exact,16,loss_credit,1.6971343555124778,2.75,3.75,0.7666896297057426
matching,adam,exact,16,parameter_gradient_nonroot,6.042256600130747,9.75,12.65,0.3009627352945551
matching,adam,exact,16,parameter_jacobian_nonroot,6.676910982620759,10.45,13.15,0.28402068671742264
matching,adam,exact,16,path_q,1.6847225372717172,2.65,3.8,0.7687543066275713
matching,adam,exact,64,loss_credit,1.2430386827093278,1.8,3.1,0.8981579765135882
matching,adam,exact,64,parameter_gradient_nonroot,6.355650402633682,10.4,12.95,0.30078754778278655
matching,adam,exact,64,parameter_jacobian_nonroot,6.7202244057581,10.8,13.45,0.28953217257964586
matching,adam,exact,64,path_q,1.245631812240929,1.85,3.25,0.8968937390720466
matching,adam,exact,256,loss_credit,1.009006422349295,1.0,1.2,0.9956971705267772
matching,adam,exact,256,parameter_gradient_nonroot,5.74947987627676,11.65,14.05,0.3634801235170635
matching,adam,exact,256,parameter_jacobian_nonroot,7.411517519857616,12.55,14.7,0.2924164626276863
matching,adam,exact,256,path_q,1.0090470911765421,1.0,1.2,0.9956710169063989
matching,adam,exact,1024,loss_credit,1.002029160502541,1.0,1.05,0.9989932391618186
matching,adam,exact,1024,parameter_gradient_nonroot,5.5337055163135265,11.45,14.2,0.3696577668621715
matching,adam,exact,1024,parameter_jacobian_nonroot,7.448936116610538,12.5,14.6,0.2920504692412397
matching,adam,exact,1024,path_q,1.0024372241237136,1.0,1.05,0.9987937883131025
matching,adam,global_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,adam,global_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,adam,global_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,adam,global_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,adam,global_projection,1,loss_credit,1.8993183861565779,2.8,3.75,0.7109187022454401
matching,adam,global_projection,1,parameter_gradient_nonroot,4.9369499241067105,9.15,12.1,0.37995087862720955
matching,adam,global_projection,1,parameter_jacobian_nonroot,6.631772103082552,10.1,12.75,0.27668452837765123
matching,adam,global_projection,1,path_q,1.9976495521326025,2.95,3.9,0.6895696365559885
matching,adam,global_projection,16,loss_credit,1.745764480684431,2.8,3.75,0.7510495391870766
matching,adam,global_projection,16,parameter_gradient_nonroot,5.3683112073254176,9.6,12.45,0.3439723736894169
matching,adam,global_projection,16,parameter_jacobian_nonroot,6.666965707916892,10.3,12.85,0.28307922346998243
matching,adam,global_projection,16,path_q,1.8263613964075003,2.85,3.85,0.7415282532248648
matching,adam,global_projection,64,loss_credit,1.4148363086112847,2.2,3.15,0.8557426187438171
matching,adam,global_projection,64,parameter_gradient_nonroot,5.848832484076701,9.5,12.7,0.33566388884913356
matching,adam,global_projection,64,parameter_jacobian_nonroot,6.4393389822613925,10.25,13.1,0.3009377067446596
matching,adam,global_projection,64,path_q,1.4550110980469166,2.3,3.35,0.8472631221384553
matching,adam,global_projection,256,loss_credit,1.0520479782936663,1.2,1.4,0.9787802418743796
matching,adam,global_projection,256,parameter_gradient_nonroot,5.64586376934705,10.45,13.25,0.34843054415635155
matching,adam,global_projection,256,parameter_jacobian_nonroot,7.336373345730979,11.45,14.25,0.26294663558751585
matching,adam,global_projection,256,path_q,1.0721158171161689,1.2,1.45,0.9726389157877527
matching,adam,global_projection,1024,loss_credit,1.017382092925586,1.05,1.1,0.9926423636264966
matching,adam,global_projection,1024,parameter_gradient_nonroot,5.107611015880746,10.95,14.05,0.3861378217739749
matching,adam,global_projection,1024,parameter_jacobian_nonroot,7.782278715107635,11.9,14.65,0.23822528803970258
matching,adam,global_projection,1024,path_q,1.0140657190514735,1.05,1.1,0.993799316330745
matching,adam,shuffled_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,adam,shuffled_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,adam,shuffled_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,adam,shuffled_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,adam,shuffled_projection,1,loss_credit,1.902394002634649,2.8,3.75,0.7107056363056736
matching,adam,shuffled_projection,1,parameter_gradient_nonroot,4.970015255332555,9.15,12.15,0.37784285144328433
matching,adam,shuffled_projection,1,parameter_jacobian_nonroot,6.615725215695548,10.1,12.65,0.2779636630582954
matching,adam,shuffled_projection,1,path_q,1.994549126249283,2.95,3.9,0.6894394778585069
matching,adam,shuffled_projection,16,loss_credit,1.7644005865912866,2.75,3.65,0.7471532766259938
matching,adam,shuffled_projection,16,parameter_gradient_nonroot,5.561368112076076,9.45,12.35,0.33228523399361554
matching,adam,shuffled_projection,16,parameter_jacobian_nonroot,6.484366315462198,10.15,12.8,0.28937348255210715
matching,adam,shuffled_projection,16,path_q,1.7849335754220081,2.85,3.75,0.741481598249771
matching,adam,shuffled_projection,64,loss_credit,1.3636885813552682,2.15,3.2,0.8570504603840415
matching,adam,shuffled_projection,64,parameter_gradient_nonroot,5.870516985350365,9.45,12.35,0.310857495284863
matching,adam,shuffled_projection,64,parameter_jacobian_nonroot,6.146340909620796,9.65,12.6,0.30539157593681765
matching,adam,shuffled_projection,64,path_q,1.3715655078292517,2.2,3.25,0.8557421939216105
matching,adam,shuffled_projection,256,loss_credit,1.0432139118563137,1.15,1.2,0.9810014463339684
matching,adam,shuffled_projection,256,parameter_gradient_nonroot,5.476171224756689,10.05,13.1,0.34958051684259783
matching,adam,shuffled_projection,256,parameter_jacobian_nonroot,6.775018918625324,10.85,13.8,0.2912857036617248
matching,adam,shuffled_projection,256,path_q,1.0271476789453022,1.1,1.2,0.9878267582356101
matching,adam,shuffled_projection,1024,loss_credit,1.000903489761425,1.0,1.0,0.9995492236528418
matching,adam,shuffled_projection,1024,parameter_gradient_nonroot,5.007722549118593,10.3,13.85,0.3800238723475582
matching,adam,shuffled_projection,1024,parameter_jacobian_nonroot,6.946379831242922,11.3,14.3,0.28365458702262264
matching,adam,shuffled_projection,1024,path_q,1.0008660522891808,1.0,1.0,0.9995678853028934
matching,adam,subtree_projection,0,loss_credit,1.8986177198439962,2.85,3.75,0.7110026542504578
matching,adam,subtree_projection,0,parameter_gradient_nonroot,4.890377558416441,9.2,12.2,0.38520594596287094
matching,adam,subtree_projection,0,parameter_jacobian_nonroot,6.6482294699547975,10.1,12.65,0.2771955437311606
matching,adam,subtree_projection,0,path_q,2.008240710747031,3.0,3.95,0.6869847779302319
matching,adam,subtree_projection,1,loss_credit,1.8898162418822004,2.75,3.8,0.7132958839747415
matching,adam,subtree_projection,1,parameter_gradient_nonroot,5.015872535212614,9.1,12.1,0.3679960853062906
matching,adam,subtree_projection,1,parameter_jacobian_nonroot,6.601425608585039,10.05,12.7,0.275860223755704
matching,adam,subtree_projection,1,path_q,1.9769154341261423,2.9,3.9,0.6940529767926958
matching,adam,subtree_projection,16,loss_credit,1.639765018199931,2.75,3.75,0.7842584788825782
matching,adam,subtree_projection,16,parameter_gradient_nonroot,5.860541294844673,9.1,12.2,0.31836500909261706
matching,adam,subtree_projection,16,parameter_jacobian_nonroot,6.189601581598462,9.65,12.45,0.3085037323628198
matching,adam,subtree_projection,16,path_q,1.60773542865661,2.8,3.8,0.7924955677609786
matching,adam,subtree_projection,64,loss_credit,1.326239083815592,1.85,2.8,0.8747887551394168
matching,adam,subtree_projection,64,parameter_gradient_nonroot,5.3828242150507,9.05,11.9,0.3339514635759634
matching,adam,subtree_projection,64,parameter_jacobian_nonroot,5.764283530636623,9.35,12.55,0.31307339177069693
matching,adam,subtree_projection,64,path_q,1.3188635118475334,1.95,2.85,0.8753174250046127
matching,adam,subtree_projection,256,loss_credit,1.020707593043225,1.1,1.35,0.9902249012333044
matching,adam,subtree_projection,256,parameter_gradient_nonroot,4.28102876209733,8.75,12.6,0.4305960592100336
matching,adam,subtree_projection,256,parameter_jacobian_nonroot,5.713615813374446,9.75,13.35,0.3238810098380123
matching,adam,subtree_projection,256,path_q,1.0204270961707416,1.1,1.3,0.9903305677295746
matching,adam,subtree_projection,1024,loss_credit,1.0130536176191185,1.0,1.2,0.993668974903469
