seed,quantity,matching_quartet_identical
211200,initial_parameters,True
211200,left_children,True
211200,right_children,True
211200,evaluation_inputs,True
211200,initial_profiles,True
211200,input_spectrum,True
211201,initial_parameters,True
211201,left_children,True
211201,right_children,True
211201,evaluation_inputs,True
211201,initial_profiles,True
211201,input_spectrum,True
211202,initial_parameters,True
211202,left_children,True
211202,right_children,True
211202,evaluation_inputs,True
211202,initial_profiles,True
211202,input_spectrum,True
211203,initial_parameters,True
211203,left_children,True
211203,right_children,True
211203,evaluation_inputs,True
211203,initial_profiles,True
211203,input_spectrum,True
211204,initial_parameters,True
211204,left_children,True
211204,right_children,True
211204,evaluation_inputs,True
211204,initial_profiles,True
211204,input_spectrum,True
211205,initial_parameters,True
211205,left_children,True
211205,right_children,True
211205,evaluation_inputs,True
211205,initial_profiles,True
211205,input_spectrum,True
211206,initial_parameters,True
211206,left_children,True
211206,right_children,True
211206,evaluation_inputs,True
211206,initial_profiles,True
211206,input_spectrum,True
211207,initial_parameters,True
211207,left_children,True
211207,right_children,True
211207,evaluation_inputs,True
211207,initial_profiles,True
211207,input_spectrum,True
211208,initial_parameters,True
211208,left_children,True
211208,right_children,True
211208,evaluation_inputs,True
211208,initial_profiles,True
211208,input_spectrum,True
211209,initial_parameters,True
211209,left_children,True
211209,right_children,True
211209,evaluation_inputs,True
211209,initial_profiles,True
211209,input_spectrum,True
211210,initial_parameters,True
211210,left_children,True
211210,right_children,True
211210,evaluation_inputs,True
211210,initial_profiles,True
211210,input_spectrum,True
211211,initial_parameters,True
211211,left_children,True
211211,right_children,True
211211,evaluation_inputs,True
211211,initial_profiles,True
211211,input_spectrum,True
211212,initial_parameters,True
211212,left_children,True
211212,right_children,True
211212,evaluation_inputs,True
211212,initial_profiles,True
211212,input_spectrum,True
211213,initial_parameters,True
211213,left_children,True
211213,right_children,True
211213,evaluation_inputs,True
211213,initial_profiles,True
211213,input_spectrum,True
211214,initial_parameters,True
211214,left_children,True
211214,right_children,True
211214,evaluation_inputs,True
211214,initial_profiles,True
211214,input_spectrum,True
211215,initial_parameters,True
211215,left_children,True
211215,right_children,True
211215,evaluation_inputs,True
211215,initial_profiles,True
211215,input_spectrum,True
211216,initial_parameters,True
211216,left_children,True
211216,right_children,True
211216,evaluation_inputs,True
211216,initial_profiles,True
211216,input_spectrum,True
211217,initial_parameters,True
211217,left_children,True
211217,right_children,True
211217,evaluation_inputs,True
211217,initial_profiles,True
211217,input_spectrum,True
211218,initial_parameters,True
211218,left_children,True
211218,right_children,True
211218,evaluation_inputs,True
211218,initial_profiles,True
211218,input_spectrum,True
211219,initial_parameters,True
211219,left_children,True
211219,right_children,True
211219,evaluation_inputs,True
211219,initial_profiles,True
211219,input_spectrum,True
