membrane_resistance_ohm_cm2,background_leak_multiplier,dose_scheme,dose_value,metric,n_cells,mean_shunt_minus_additive,ci95_low,ci95_high,cells_positive
300,0,fixed_absolute_ns,0.05,localization_index,8,0.001041719538,0.0007962719034,0.001275380697,8
300,0,fixed_absolute_ns,0.05,signed_localization,8,-0.001905730287,-0.002054584184,-0.001763278193,0
300,0,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
300,0,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
300,0,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.004185229368,-0.004444160892,-0.003974419579,0
300,0,fixed_absolute_ns,0.5,localization_index,8,0.01035905013,0.007959986193,0.0126038223,8
300,0,fixed_absolute_ns,0.5,signed_localization,8,-0.01895936833,-0.02046510556,-0.01751314348,0
300,0,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
300,0,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
300,0,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.04168007156,-0.04414829629,-0.03964917379,0
300,0,fixed_absolute_ns,5,localization_index,8,0.09739680086,0.07678157123,0.1167067976,8
300,0,fixed_absolute_ns,5,signed_localization,8,-0.1797523118,-0.1935232493,-0.1658622071,0
300,0,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
300,0,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
300,0,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.3979005929,-0.4199106595,-0.3786392675,0
300,0,input_conductance_normalized,0.25,localization_index,8,0.1224502625,0.1072916721,0.1376247017,8
300,0,input_conductance_normalized,0.25,signed_localization,8,-0.2062062358,-0.2154753244,-0.1949321613,0
300,0,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,0,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,0,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4597515256,-0.4699655601,-0.4482395441,0
300,0,input_conductance_normalized,1,localization_index,8,0.3935947128,0.3460674105,0.4409803547,8
300,0,input_conductance_normalized,1,signed_localization,8,-0.6972095194,-0.7335221344,-0.6534949041,0
300,0,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
300,0,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
300,0,input_conductance_normalized,1,descendant_gradient_energy_ratio,8,-1.59053879,-1.683718623,-1.485069817,0
300,0,input_conductance_normalized,4,localization_index,8,0.9035907308,0.7858292309,1.027120112,8
300,0,input_conductance_normalized,4,signed_localization,8,-1.835113117,-1.942892852,-1.707064545,0
300,0,input_conductance_normalized,4,descendant_attenuated_fraction,8,1,1,1,8
300,0,input_conductance_normalized,4,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,input_conductance_normalized,4,descendant_sign_flip_fraction,8,0,0,0,0
300,0,input_conductance_normalized,4,descendant_gradient_energy_ratio,8,-6.844482882,-7.645089984,-5.968625817,0
300,0,relative_local,0.25,localization_index,8,0.01664007865,0.0103981674,0.02401032258,8
300,0,relative_local,0.25,signed_localization,8,-0.03639397788,-0.04611282894,-0.02736929027,0
300,0,relative_local,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,0,relative_local,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,relative_local,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,0,relative_local,0.25,descendant_gradient_energy_ratio,8,-0.07815888119,-0.09961459487,-0.05876758631,0
300,0,relative_local,1,localization_index,8,0.06317354647,0.04176691312,0.08754060528,8
300,0,relative_local,1,signed_localization,8,-0.1370255076,-0.1708141662,-0.1056163666,0
300,0,relative_local,1,descendant_attenuated_fraction,8,1,1,1,8
300,0,relative_local,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,relative_local,1,descendant_sign_flip_fraction,8,0,0,0,0
300,0,relative_local,1,descendant_gradient_energy_ratio,8,-0.3080299156,-0.3956179607,-0.228242275,0
300,0,relative_local,2,localization_index,8,0.1169431808,0.07984023995,0.1586693439,8
300,0,relative_local,2,signed_localization,8,-0.2542298882,-0.3135721225,-0.1991789645,0
300,0,relative_local,2,descendant_attenuated_fraction,8,1,1,1,8
300,0,relative_local,2,descendant_enhanced_fraction,8,-1,-1,-1,0
300,0,relative_local,2,descendant_sign_flip_fraction,8,0,0,0,0
300,0,relative_local,2,descendant_gradient_energy_ratio,8,-0.6108072307,-0.799917071,-0.4440309284,0
300,1,fixed_absolute_ns,0.05,localization_index,8,0.001227009291,0.001077034327,0.001381490208,8
300,1,fixed_absolute_ns,0.05,signed_localization,8,-0.001615010495,-0.001741295197,-0.001508015784,0
300,1,fixed_absolute_ns,0.05,descendant_attenuated_fraction,8,1,1,1,8
300,1,fixed_absolute_ns,0.05,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,fixed_absolute_ns,0.05,descendant_sign_flip_fraction,8,0,0,0,0
300,1,fixed_absolute_ns,0.05,descendant_gradient_energy_ratio,8,-0.003428214199,-0.003670218518,-0.003240521521,0
300,1,fixed_absolute_ns,0.5,localization_index,8,0.0121772047,0.01066207071,0.01370290499,8
300,1,fixed_absolute_ns,0.5,signed_localization,8,-0.0160484916,-0.01729895565,-0.01499268402,0
300,1,fixed_absolute_ns,0.5,descendant_attenuated_fraction,8,1,1,1,8
300,1,fixed_absolute_ns,0.5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,fixed_absolute_ns,0.5,descendant_sign_flip_fraction,8,0,0,0,0
300,1,fixed_absolute_ns,0.5,descendant_gradient_energy_ratio,8,-0.03395067491,-0.03627841444,-0.03209247713,0
300,1,fixed_absolute_ns,5,localization_index,8,0.1133048517,0.09971464407,0.1265963574,8
300,1,fixed_absolute_ns,5,signed_localization,8,-0.1511831015,-0.1622664951,-0.1411819337,0
300,1,fixed_absolute_ns,5,descendant_attenuated_fraction,8,1,1,1,8
300,1,fixed_absolute_ns,5,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,fixed_absolute_ns,5,descendant_sign_flip_fraction,8,0,0,0,0
300,1,fixed_absolute_ns,5,descendant_gradient_energy_ratio,8,-0.3104045175,-0.3290561636,-0.2953496737,0
300,1,input_conductance_normalized,0.25,localization_index,8,0.1641443626,0.1539383848,0.1732775004,8
300,1,input_conductance_normalized,0.25,signed_localization,8,-0.2113710002,-0.2173897146,-0.2044046328,0
300,1,input_conductance_normalized,0.25,descendant_attenuated_fraction,8,1,1,1,8
300,1,input_conductance_normalized,0.25,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,input_conductance_normalized,0.25,descendant_sign_flip_fraction,8,0,0,0,0
300,1,input_conductance_normalized,0.25,descendant_gradient_energy_ratio,8,-0.4331191097,-0.4387458739,-0.4271054215,0
300,1,input_conductance_normalized,1,localization_index,8,0.5156690154,0.4833343429,0.5462097155,8
300,1,input_conductance_normalized,1,signed_localization,8,-0.6923458913,-0.7163515736,-0.6652207574,0
300,1,input_conductance_normalized,1,descendant_attenuated_fraction,8,1,1,1,8
300,1,input_conductance_normalized,1,descendant_enhanced_fraction,8,-1,-1,-1,0
300,1,input_conductance_normalized,1,descendant_sign_flip_fraction,8,0,0,0,0
